Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,3,0,0,0,+0,0.000
03-23-2020,3,0,0,0,+0,1.000
03-24-2020,6,0,0,0,+3,2.000
03-25-2020,7,0,0,0,+1,1.167
03-26-2020,7,0,0,0,+0,1.000
03-27-2020,10,0,0,0,+3,1.429
03-28-2020,13,0,0,0,+3,1.300
03-29-2020,13,0,0,0,+0,1.000
03-30-2020,15,0,0,0,+2,1.154
03-31-2020,20,0,0,0,+5,1.333
04-01-2020,20,0,0,0,+0,1.000
04-02-2020,26,0,0,0,+6,1.300
04-03-2020,27,1,0,0,+1,1.038
04-04-2020,29,2,0,0,+2,1.074
04-05-2020,32,2,0,0,+3,1.103
04-06-2020,29,2,0,0,+-3,0.906
04-07-2020,35,2,0,0,+6,1.207
04-08-2020,41,2,0,0,+6,1.171
04-09-2020,50,2,0,0,+9,1.220
04-10-2020,58,2,0,0,+8,1.160
04-11-2020,66,2,0,0,+8,1.138
04-12-2020,66,2,0,64,+0,1.000
04-13-2020,66,2,0,64,+0,1.000
04-14-2020,72,2,0,70,+6,1.091
04-15-2020,76,3,0,73,+4,1.056
04-16-2020,81,3,0,78,+5,1.066
04-17-2020,82,3,0,79,+1,1.012
04-18-2020,83,3,0,80,+1,1.012
04-19-2020,83,3,0,80,+0,1.000
04-20-2020,90,3,0,87,+7,1.084
04-21-2020,100,4,0,96,+10,1.111
