Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,56,0,0,0,+0,0.000
03-23-2020,87,0,0,0,+31,1.554
03-24-2020,114,0,0,0,+27,1.310
03-25-2020,122,1,0,0,+8,1.070
03-26-2020,206,2,0,0,+84,1.689
03-27-2020,245,5,0,0,+39,1.189
03-28-2020,318,6,0,0,+73,1.298
03-29-2020,414,7,0,0,+96,1.302
03-30-2020,443,7,0,0,+29,1.070
03-31-2020,499,8,0,0,+56,1.126
04-01-2020,582,11,0,0,+83,1.166
04-02-2020,617,12,0,0,+35,1.060
04-03-2020,734,19,0,0,+117,1.190
04-04-2020,808,22,0,0,+74,1.101
04-05-2020,1059,27,0,0,+251,1.311
04-06-2020,1148,30,0,0,+89,1.084
04-07-2020,1234,39,0,0,+86,1.075
04-08-2020,1335,45,0,0,+101,1.082
04-09-2020,1432,51,0,0,+97,1.073
04-10-2020,1498,53,0,0,+66,1.046
04-11-2020,1506,53,0,0,+8,1.005
04-12-2020,1571,57,0,1514,+65,1.043
04-13-2020,1661,66,0,1595,+90,1.057
04-14-2020,1730,73,0,1657,+69,1.042
04-15-2020,1812,101,0,1711,+82,1.047
04-16-2020,1951,107,0,1844,+139,1.077
04-17-2020,2023,107,0,1916,+72,1.037
04-18-2020,2023,115,0,1908,+0,1.000
04-19-2020,2192,135,0,2057,+169,1.084
04-20-2020,2192,135,0,2057,+0,1.000
04-21-2020,2284,162,0,2122,+92,1.042
04-22-2020,2284,162,0,2122,+0,1.000
04-23-2020,2450,188,0,2262,+166,1.073
04-24-2020,2603,198,0,2405,+153,1.062
04-25-2020,2773,198,0,2575,+170,1.065
04-26-2020,2954,207,0,2747,+181,1.065
04-27-2020,3021,207,0,2814,+67,1.023
04-28-2020,3089,207,0,2882,+68,1.023
04-29-2020,3196,247,0,2949,+107,1.035
04-30-2020,3319,266,0,3053,+123,1.038
05-01-2020,3481,266,0,3215,+162,1.049
05-02-2020,3598,266,0,3332,+117,1.034
05-03-2020,3710,266,0,3444,+112,1.031
05-04-2020,3802,283,0,3519,+92,1.025
05-05-2020,3891,308,0,3583,+89,1.023
05-06-2020,4008,323,0,3685,+117,1.030
05-07-2020,4136,323,0,3813,+128,1.032
05-08-2020,4255,346,0,3909,+119,1.029
05-09-2020,4337,357,0,3980,+82,1.019
05-10-2020,4453,357,0,4096,+116,1.027
05-11-2020,4483,357,0,4126,+30,1.007
05-12-2020,4530,357,0,4173,+47,1.010
05-13-2020,4606,400,0,4206,+76,1.017
05-14-2020,4671,400,0,4271,+65,1.014
05-15-2020,4782,411,0,4371,+111,1.024
05-16-2020,4867,420,0,4447,+85,1.018
05-17-2020,4954,420,0,4534,+87,1.018
05-18-2020,4993,420,0,4573,+39,1.008
05-19-2020,5037,449,0,4588,+44,1.009
05-20-2020,5131,449,0,4682,+94,1.019
05-21-2020,5270,449,0,4821,+139,1.027
05-22-2020,5397,449,0,4948,+127,1.024
05-23-2020,5552,480,0,5072,+155,1.029
05-24-2020,5626,480,0,5146,+74,1.013
05-25-2020,5700,480,0,5220,+74,1.013
05-26-2020,5753,480,0,5273,+53,1.009
05-27-2020,5810,504,0,5306,+57,1.010
05-28-2020,5886,504,0,5382,+76,1.013
05-29-2020,5935,516,0,5419,+49,1.008
05-30-2020,6014,516,0,5498,+79,1.013
05-31-2020,6070,516,0,5554,+56,1.009
06-01-2020,6123,524,0,5599,+53,1.009
06-02-2020,6173,524,0,5649,+50,1.008
06-03-2020,6234,524,0,5710,+61,1.010
