Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,60,0,0,0,+0,0.000
03-23-2020,73,0,0,0,+13,1.217
03-24-2020,118,0,0,0,+45,1.616
03-25-2020,177,0,0,0,+59,1.500
03-26-2020,247,2,0,0,+70,1.395
03-27-2020,350,2,0,0,+103,1.417
03-28-2020,472,3,0,0,+122,1.349
03-29-2020,570,4,0,0,+98,1.208
03-30-2020,653,6,0,0,+83,1.146
03-31-2020,784,12,0,0,+131,1.201
04-01-2020,885,17,0,0,+101,1.129
04-02-2020,1039,18,0,0,+154,1.174
04-03-2020,1238,23,0,0,+199,1.192
04-04-2020,1400,25,0,0,+162,1.131
04-05-2020,1506,27,0,0,+106,1.076
04-06-2020,1653,29,0,0,+147,1.098
04-07-2020,1841,35,0,0,+188,1.114
