Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,172,4,0,0,+0,0.000
03-23-2020,273,4,0,0,+101,1.587
03-24-2020,342,4,0,0,+69,1.253
03-25-2020,381,4,0,0,+39,1.114
03-26-2020,609,4,0,0,+228,1.598
03-27-2020,826,4,0,0,+217,1.356
03-28-2020,1086,7,0,0,+260,1.315
03-29-2020,1227,13,0,0,+141,1.130
03-30-2020,1564,13,0,0,+337,1.275
03-31-2020,1900,4,0,0,+336,1.215
04-01-2020,2262,69,0,0,+362,1.191
04-02-2020,2617,99,0,0,+355,1.157
04-03-2020,3067,118,0,0,+450,1.172
04-04-2020,3584,155,0,0,+517,1.169
04-05-2020,4082,172,0,0,+498,1.139
04-06-2020,4493,186,0,0,+411,1.101
04-07-2020,5078,232,0,0,+585,1.130
04-08-2020,5598,276,0,0,+520,1.102
04-09-2020,6069,321,0,0,+471,1.084
04-10-2020,6580,352,0,0,+511,1.084
04-11-2020,7007,412,0,0,+427,1.065
04-12-2020,7410,428,0,6982,+403,1.058
04-13-2020,7634,433,0,7201,+224,1.030
04-14-2020,8212,535,0,7677,+578,1.076
04-15-2020,8579,590,0,7989,+367,1.045
04-16-2020,9084,642,0,8442,+505,1.059
04-17-2020,9672,684,0,8988,+588,1.065
04-18-2020,9901,732,0,9169,+229,1.024
04-19-2020,10304,740,0,9564,+403,1.041
04-20-2020,10729,751,0,9978,+425,1.041
04-21-2020,11128,751,0,10377,+399,1.037
