Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,31,1,0,0,+0,0.000
03-23-2020,43,1,0,0,+12,1.387
03-24-2020,46,1,0,0,+3,1.070
03-25-2020,76,1,0,0,+30,1.652
03-26-2020,79,1,0,0,+3,1.039
03-27-2020,124,1,0,0,+45,1.570
03-28-2020,156,2,0,0,+32,1.258
03-29-2020,188,2,0,0,+32,1.205
03-30-2020,224,2,0,0,+36,1.191
03-31-2020,244,2,0,0,+20,1.089
04-01-2020,288,2,0,0,+44,1.180
04-02-2020,328,2,0,0,+40,1.139
04-03-2020,372,2,0,0,+44,1.134
04-04-2020,387,2,0,0,+15,1.040
04-05-2020,426,2,0,0,+39,1.101
04-06-2020,488,2,0,0,+62,1.146
04-07-2020,532,2,0,0,+44,1.090
04-08-2020,570,9,0,0,+38,1.071
04-09-2020,690,16,0,0,+120,1.211
04-10-2020,777,19,0,0,+87,1.126
04-11-2020,946,20,0,0,+169,1.218
04-12-2020,1008,20,0,988,+62,1.066
04-13-2020,1164,20,0,1144,+156,1.155
04-14-2020,1207,20,0,1187,+43,1.037
04-15-2020,1298,21,0,1277,+91,1.075
04-16-2020,1375,31,0,1344,+77,1.059
04-17-2020,1476,37,0,1439,+101,1.073
04-18-2020,1633,37,0,1596,+157,1.106
04-19-2020,1809,37,0,1772,+176,1.108
04-20-2020,1925,37,0,1888,+116,1.064
04-21-2020,2077,37,0,2040,+152,1.079
