Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,208,5,0,0,+0,0.000
03-23-2020,270,6,0,0,+62,1.298
03-24-2020,384,7,0,0,+114,1.422
03-25-2020,546,12,0,0,+162,1.422
03-26-2020,607,13,0,0,+61,1.112
03-27-2020,752,15,0,0,+145,1.239
03-28-2020,908,20,0,0,+156,1.207
03-29-2020,1245,21,0,0,+337,1.371
03-30-2020,1445,21,0,0,+200,1.161
03-31-2020,1870,38,0,0,+425,1.294
04-01-2020,1986,46,0,0,+116,1.062
04-02-2020,2132,65,0,0,+146,1.074
04-03-2020,2716,75,0,0,+584,1.274
04-04-2020,2824,86,0,0,+108,1.040
04-05-2020,3050,96,0,0,+226,1.080
04-06-2020,3719,101,0,0,+669,1.219
04-07-2020,4136,132,0,0,+417,1.112
04-08-2020,4136,132,0,0,+0,1.000
04-09-2020,4882,178,0,0,+746,1.180
04-10-2020,5180,203,0,0,+298,1.061
04-11-2020,5407,220,0,0,+227,1.044
04-12-2020,5534,248,0,5286,+127,1.023
04-13-2020,6004,262,0,5742,+470,1.085
04-14-2020,6213,287,0,5926,+209,1.035
04-15-2020,6480,365,0,6115,+267,1.043
04-16-2020,6816,406,0,6410,+336,1.052
04-17-2020,7146,425,0,6721,+330,1.048
04-18-2020,7363,432,0,6931,+217,1.030
04-19-2020,7434,447,0,6987,+71,1.010
04-20-2020,8320,512,0,7808,+886,1.119
04-21-2020,8472,544,0,7928,+152,1.018
04-22-2020,9883,584,0,9299,+1411,1.167
04-23-2020,10008,615,0,9393,+125,1.013
04-24-2020,10227,662,0,9565,+219,1.022
04-25-2020,10373,689,0,9684,+146,1.014
04-26-2020,10529,707,0,9822,+156,1.015
04-27-2020,10763,727,0,10036,+234,1.022
04-28-2020,10874,747,0,10127,+111,1.010
04-29-2020,10985,774,0,10211,+111,1.010
04-30-2020,11294,810,0,10484,+309,1.028
05-01-2020,11612,839,0,10773,+318,1.028
05-02-2020,11801,865,0,10936,+189,1.016
05-03-2020,11801,865,0,10936,+0,1.000
05-04-2020,12245,910,0,11335,+444,1.038
05-05-2020,12360,935,0,11425,+115,1.009
05-06-2020,12455,952,0,11503,+95,1.008
05-07-2020,12679,977,0,11702,+224,1.018
05-08-2020,12879,1006,0,11873,+200,1.016
05-09-2020,13030,1017,0,12013,+151,1.012
05-10-2020,13236,1024,0,12212,+206,1.016
05-11-2020,13312,1034,0,12278,+76,1.006
05-12-2020,13488,1046,0,12442,+176,1.013
05-13-2020,13636,1068,0,12568,+148,1.011
05-14-2020,13836,1093,0,12743,+200,1.015
05-15-2020,14009,1109,0,12900,+173,1.013
05-16-2020,14140,1125,0,13015,+131,1.009
05-17-2020,14248,1146,0,13102,+108,1.008
05-18-2020,14439,1153,0,13286,+191,1.013
05-19-2020,14522,1160,0,13362,+83,1.006
05-20-2020,14719,1167,0,13552,+197,1.014
05-21-2020,14751,1180,0,13571,+32,1.002
05-22-2020,14889,1195,0,13694,+138,1.009
05-23-2020,14989,1208,0,13781,+100,1.007
05-24-2020,15114,1215,0,13899,+125,1.008
05-25-2020,15213,1221,0,13992,+99,1.007
05-26-2020,15355,1231,0,14124,+142,1.009
05-27-2020,15314,1242,0,14072,+-41,0.997
05-28-2020,15353,1246,0,14107,+39,1.003
05-29-2020,15409,1257,0,14152,+56,1.004
05-30-2020,15502,1267,0,14235,+93,1.006
05-31-2020,15549,1277,0,14272,+47,1.003
06-01-2020,15709,1288,0,14421,+160,1.010
06-02-2020,15776,1287,0,14489,+67,1.004
06-03-2020,15789,1289,0,14500,+13,1.001
