Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,12,0,0,0,+0,0.000
03-23-2020,12,0,0,0,+0,1.000
03-24-2020,14,0,0,0,+2,1.167
03-25-2020,15,0,0,0,+1,1.071
03-26-2020,17,0,0,0,+2,1.133
03-27-2020,24,0,0,0,+7,1.412
03-28-2020,33,0,0,0,+9,1.375
03-29-2020,35,0,0,0,+2,1.061
03-30-2020,40,0,0,0,+5,1.143
03-31-2020,42,1,0,0,+2,1.050
04-01-2020,57,1,0,0,+15,1.357
04-02-2020,63,1,0,0,+6,1.105
04-03-2020,80,1,0,0,+17,1.270
04-04-2020,88,1,0,0,+8,1.100
04-05-2020,89,2,0,0,+1,1.011
04-06-2020,99,2,0,0,+10,1.112
04-07-2020,106,2,0,0,+7,1.071
04-08-2020,108,2,0,0,+2,1.019
04-09-2020,113,3,0,0,+5,1.046
04-10-2020,111,3,0,0,+-2,0.982
04-11-2020,115,4,0,0,+4,1.036
04-12-2020,115,4,0,111,+0,1.000
04-13-2020,117,4,0,113,+2,1.017
04-14-2020,121,4,0,117,+4,1.034
04-15-2020,125,4,0,121,+4,1.033
04-16-2020,125,5,0,120,+0,1.000
04-17-2020,126,5,0,121,+1,1.008
04-18-2020,126,5,0,121,+0,1.000
04-19-2020,126,5,0,121,+0,1.000
04-20-2020,126,5,0,121,+0,1.000
04-21-2020,131,5,0,126,+5,1.040
04-22-2020,141,5,0,136,+10,1.076
04-23-2020,143,5,0,138,+2,1.014
04-24-2020,146,5,0,141,+3,1.021
04-25-2020,152,5,0,147,+6,1.041
04-26-2020,153,5,0,148,+1,1.007
04-27-2020,156,5,0,151,+3,1.020
04-28-2020,183,5,0,178,+27,1.173
04-29-2020,210,5,0,205,+27,1.148
04-30-2020,242,5,0,237,+32,1.152
05-01-2020,245,5,0,240,+3,1.012
05-02-2020,266,5,0,261,+21,1.086
05-03-2020,267,5,0,262,+1,1.004
05-04-2020,271,5,0,266,+4,1.015
05-05-2020,287,5,0,282,+16,1.059
05-06-2020,329,5,0,324,+42,1.146
05-07-2020,332,5,0,327,+3,1.009
05-08-2020,353,5,0,348,+21,1.063
05-09-2020,369,5,0,364,+16,1.045
05-10-2020,386,5,0,381,+17,1.046
05-11-2020,395,5,0,390,+9,1.023
05-12-2020,445,5,0,440,+50,1.127
05-13-2020,495,5,0,490,+50,1.112
05-14-2020,555,7,0,548,+60,1.121
05-15-2020,616,7,0,609,+61,1.110
05-16-2020,627,7,0,620,+11,1.018
05-17-2020,651,7,0,644,+24,1.038
05-18-2020,698,7,0,691,+47,1.072
05-19-2020,698,7,0,691,+0,1.000
05-20-2020,749,7,0,742,+51,1.073
05-21-2020,773,7,0,766,+24,1.032
05-22-2020,869,7,0,862,+96,1.124
05-23-2020,889,7,0,882,+20,1.023
05-24-2020,920,9,0,911,+31,1.035
05-25-2020,969,9,0,960,+49,1.053
05-26-2020,1012,9,0,1003,+43,1.044
05-27-2020,1022,9,0,1013,+10,1.010
05-28-2020,1081,9,0,1072,+59,1.058
05-29-2020,1207,11,0,1196,+126,1.117
05-30-2020,1253,11,0,1242,+46,1.038
05-31-2020,1347,11,0,1336,+94,1.075
06-01-2020,1441,11,0,1430,+94,1.070
06-02-2020,1441,13,0,1428,+0,1.000
06-03-2020,1517,14,0,1503,+76,1.053
