Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,29,0,0,0,+0,0.000
03-23-2020,29,0,0,0,+0,1.000
03-24-2020,46,0,0,0,+17,1.586
03-25-2020,46,0,0,0,+0,1.000
03-26-2020,86,0,0,0,+40,1.870
03-27-2020,101,1,0,0,+15,1.174
03-28-2020,101,1,0,0,+0,1.000
03-29-2020,119,1,0,0,+18,1.178
03-30-2020,119,1,0,0,+0,1.000
03-31-2020,163,2,0,0,+44,1.370
04-01-2020,163,2,0,0,+0,1.000
04-02-2020,194,2,0,0,+31,1.190
04-03-2020,221,2,0,0,+27,1.139
04-04-2020,255,2,0,0,+34,1.154
04-05-2020,268,5,0,0,+13,1.051
04-06-2020,318,6,0,0,+50,1.187
04-07-2020,318,6,0,0,+0,1.000
04-08-2020,417,6,0,0,+99,1.311
04-09-2020,437,7,0,0,+20,1.048
04-10-2020,485,10,0,0,+48,1.110
04-11-2020,518,11,0,0,+33,1.068
04-12-2020,536,11,0,525,+18,1.035
04-13-2020,543,11,0,532,+7,1.013
04-14-2020,543,12,0,531,+0,1.000
04-15-2020,627,15,0,612,+84,1.155
04-16-2020,627,15,0,612,+0,1.000
04-17-2020,656,16,0,640,+29,1.046
04-18-2020,755,17,0,738,+99,1.151
04-19-2020,755,17,0,738,+0,1.000
04-20-2020,783,17,0,766,+28,1.037
04-21-2020,808,18,0,790,+25,1.032
