Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,34,0,0,0,+0,0.000
03-23-2020,44,2,0,0,+10,1.294
03-24-2020,75,2,0,0,+31,1.705
03-25-2020,88,2,0,0,+13,1.173
03-26-2020,109,2,0,0,+21,1.239
03-27-2020,152,2,0,0,+43,1.394
03-28-2020,222,2,0,0,+70,1.461
03-29-2020,247,3,0,0,+25,1.113
03-30-2020,281,2,0,0,+34,1.138
03-31-2020,325,3,0,0,+44,1.157
04-01-2020,391,4,0,0,+66,1.203
04-02-2020,441,5,0,0,+50,1.128
04-03-2020,503,5,0,0,+62,1.141
04-04-2020,557,6,0,0,+54,1.107
04-05-2020,597,8,0,0,+40,1.072
04-06-2020,644,9,0,0,+47,1.079
04-07-2020,703,12,0,0,+59,1.092
04-08-2020,761,12,0,0,+58,1.083
04-09-2020,802,14,0,0,+41,1.054
04-10-2020,850,14,0,0,+48,1.060
04-11-2020,894,14,0,0,+44,1.052
04-12-2020,943,14,0,929,+49,1.055
04-13-2020,1012,15,0,997,+69,1.073
04-14-2020,1053,18,0,1035,+41,1.041
04-15-2020,1102,19,0,1083,+49,1.047
04-16-2020,1212,19,0,1193,+110,1.100
04-17-2020,1320,22,0,1298,+108,1.089
04-18-2020,1403,27,0,1376,+83,1.063
04-19-2020,1513,29,0,1484,+110,1.078
04-20-2020,1510,35,0,1475,+-3,0.998
04-21-2020,1557,37,0,1520,+47,1.031
04-22-2020,1598,42,0,1556,+41,1.026
04-23-2020,1673,46,0,1627,+75,1.047
04-24-2020,1768,48,0,1720,+95,1.057
04-25-2020,1839,50,0,1789,+71,1.040
04-26-2020,1942,53,0,1889,+103,1.056
04-27-2020,2005,57,0,1948,+63,1.032
04-28-2020,2090,62,0,2028,+85,1.042
04-29-2020,2216,71,0,2145,+126,1.060
04-30-2020,2441,73,0,2368,+225,1.102
05-01-2020,2589,76,0,2513,+148,1.061
05-02-2020,2698,78,0,2620,+109,1.042
05-03-2020,2905,79,0,2826,+207,1.077
05-04-2020,2988,84,0,2904,+83,1.029
05-05-2020,3097,87,0,3010,+109,1.036
05-06-2020,3237,99,0,3138,+140,1.045
05-07-2020,3377,107,0,3270,+140,1.043
05-08-2020,3615,108,0,3507,+238,1.070
05-09-2020,3710,114,0,3596,+95,1.026
05-10-2020,3777,119,0,3658,+67,1.018
05-11-2020,3881,124,0,3757,+104,1.028
05-12-2020,4002,138,0,3864,+121,1.031
05-13-2020,4113,148,0,3965,+111,1.028
05-14-2020,4227,150,0,4077,+114,1.028
05-15-2020,4330,156,0,4174,+103,1.024
05-16-2020,4420,169,0,4251,+90,1.021
05-17-2020,4493,170,0,4323,+73,1.017
05-18-2020,4574,177,0,4397,+81,1.018
05-19-2020,4706,193,0,4513,+132,1.029
05-20-2020,4793,200,0,4593,+87,1.018
05-21-2020,4885,205,0,4680,+92,1.019
05-22-2020,4996,215,0,4781,+111,1.023
05-23-2020,5097,224,0,4873,+101,1.020
05-24-2020,5188,228,0,4960,+91,1.018
05-25-2020,5310,237,0,5073,+122,1.024
05-26-2020,5414,239,0,5175,+104,1.020
05-27-2020,5486,243,0,5243,+72,1.013
05-28-2020,5566,253,0,5313,+80,1.015
05-29-2020,5674,256,0,5418,+108,1.019
05-30-2020,5773,260,0,5513,+99,1.017
05-31-2020,5862,262,0,5600,+89,1.015
06-01-2020,5933,271,0,5662,+71,1.012
06-02-2020,5996,279,0,5717,+63,1.011
06-03-2020,6112,290,0,5822,+116,1.019
