Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,1,0,0,0,+0,0.000
03-23-2020,4,0,0,0,+3,4.000
03-24-2020,4,0,0,0,+0,1.000
03-25-2020,7,0,0,0,+3,1.750
03-26-2020,14,0,0,0,+7,2.000
03-27-2020,15,0,0,0,+1,1.071
03-28-2020,22,0,0,0,+7,1.467
03-29-2020,24,0,0,0,+2,1.091
03-30-2020,26,0,0,0,+2,1.083
03-31-2020,33,0,0,0,+7,1.269
04-01-2020,35,1,0,0,+2,1.061
04-02-2020,45,3,0,0,+10,1.286
04-03-2020,54,3,0,0,+9,1.200
04-04-2020,73,3,0,0,+19,1.352
04-05-2020,120,3,0,0,+47,1.644
04-06-2020,138,4,0,0,+18,1.150
04-07-2020,151,4,0,0,+13,1.094
04-08-2020,199,4,0,0,+48,1.318
04-09-2020,233,4,0,0,+34,1.171
04-10-2020,289,9,0,0,+56,1.240
04-11-2020,341,11,0,0,+52,1.180
04-12-2020,368,12,0,356,+27,1.079
04-13-2020,417,12,0,405,+49,1.133
04-14-2020,441,14,0,427,+24,1.058
04-15-2020,442,20,0,422,+1,1.002
04-16-2020,497,22,0,475,+55,1.124
04-17-2020,525,23,0,502,+28,1.056
04-18-2020,557,31,0,526,+32,1.061
04-19-2020,591,30,0,561,+34,1.061
04-20-2020,616,30,0,586,+25,1.042
04-21-2020,632,33,0,599,+16,1.026
04-22-2020,658,35,0,623,+26,1.041
04-23-2020,690,36,0,654,+32,1.049
04-24-2020,765,41,0,724,+75,1.109
04-25-2020,814,45,0,769,+49,1.064
04-26-2020,834,45,0,789,+20,1.025
04-27-2020,865,48,0,817,+31,1.037
04-28-2020,870,48,0,822,+5,1.006
04-29-2020,893,51,0,842,+23,1.026
04-30-2020,918,56,0,862,+25,1.028
05-01-2020,942,56,0,886,+24,1.026
05-02-2020,976,59,0,917,+34,1.036
05-03-2020,1004,61,0,943,+28,1.029
05-04-2020,1038,62,0,976,+34,1.034
05-05-2020,1071,66,0,1005,+33,1.032
05-06-2020,1108,68,0,1040,+37,1.035
05-07-2020,1151,70,0,1081,+43,1.039
05-08-2020,1182,70,0,1112,+31,1.027
05-09-2020,1213,72,0,1141,+31,1.026
05-10-2020,1251,74,0,1177,+38,1.031
05-11-2020,1267,74,0,1193,+16,1.013
05-12-2020,1282,77,0,1205,+15,1.012
05-13-2020,1302,80,0,1222,+20,1.016
05-14-2020,1325,84,0,1241,+23,1.018
05-15-2020,1364,88,0,1276,+39,1.029
05-16-2020,1402,89,0,1313,+38,1.028
05-17-2020,1423,90,0,1333,+21,1.015
05-18-2020,1460,90,0,1370,+37,1.026
05-19-2020,1491,90,0,1401,+31,1.021
05-20-2020,1533,93,0,1440,+42,1.028
05-21-2020,1568,94,0,1474,+35,1.023
05-22-2020,1625,95,0,1530,+57,1.036
05-23-2020,1661,96,0,1565,+36,1.022
05-24-2020,1696,98,0,1598,+35,1.021
05-25-2020,1731,99,0,1632,+35,1.021
05-26-2020,1746,101,0,1645,+15,1.009
05-27-2020,1786,103,0,1683,+40,1.023
05-28-2020,1824,104,0,1720,+38,1.021
05-29-2020,1856,105,0,1751,+32,1.018
05-30-2020,1890,105,0,1785,+34,1.018
05-31-2020,1911,105,0,1806,+21,1.011
06-01-2020,1928,106,0,1822,+17,1.009
06-02-2020,1961,107,0,1854,+33,1.017
06-03-2020,2005,109,0,1896,+44,1.022
