Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,6,0,0,0,+0,0.000
03-23-2020,6,0,0,0,+0,1.000
03-24-2020,13,0,0,0,+7,2.167
03-25-2020,18,0,0,0,+5,1.385
03-26-2020,19,0,0,0,+1,1.056
03-27-2020,27,0,0,0,+8,1.421
03-28-2020,31,0,0,0,+4,1.148
03-29-2020,43,0,0,0,+12,1.387
03-30-2020,43,0,0,0,+0,1.000
03-31-2020,53,0,0,0,+10,1.233
04-01-2020,68,0,0,0,+15,1.283
04-02-2020,82,0,0,0,+14,1.206
04-03-2020,94,0,0,0,+12,1.146
04-04-2020,100,1,0,0,+6,1.064
04-05-2020,103,1,0,0,+3,1.030
04-06-2020,108,1,0,0,+5,1.049
04-07-2020,124,2,0,0,+16,1.148
04-08-2020,146,3,0,0,+22,1.177
04-09-2020,156,3,0,0,+10,1.068
04-10-2020,173,3,0,0,+17,1.109
04-11-2020,191,5,0,0,+18,1.104
04-12-2020,201,5,0,196,+10,1.052
04-13-2020,201,5,0,196,+0,1.000
04-14-2020,222,5,0,217,+21,1.104
04-15-2020,251,7,0,244,+29,1.131
04-16-2020,265,7,0,258,+14,1.056
04-17-2020,295,7,0,288,+30,1.113
04-18-2020,311,7,0,304,+16,1.054
04-19-2020,315,7,0,308,+4,1.013
04-20-2020,315,7,0,308,+0,1.000
04-21-2020,351,7,0,344,+36,1.114
04-22-2020,371,7,0,364,+20,1.057
04-23-2020,419,7,0,412,+48,1.129
04-24-2020,443,7,0,436,+24,1.057
04-25-2020,443,7,0,436,+0,1.000
04-26-2020,458,7,0,451,+15,1.034
04-27-2020,458,7,0,451,+0,1.000
04-28-2020,498,7,0,491,+40,1.087
04-29-2020,538,7,0,531,+40,1.080
04-30-2020,538,7,0,531,+0,1.000
05-01-2020,615,8,0,607,+77,1.143
05-02-2020,615,8,0,607,+0,1.000
05-03-2020,633,8,0,625,+18,1.029
05-04-2020,633,8,0,625,+0,1.000
05-05-2020,672,9,0,663,+39,1.062
05-06-2020,777,9,0,768,+105,1.156
05-07-2020,777,9,0,768,+0,1.000
05-08-2020,813,9,0,804,+36,1.046
05-09-2020,841,9,0,832,+28,1.034
05-10-2020,885,9,0,876,+44,1.052
05-11-2020,945,9,0,936,+60,1.068
05-12-2020,984,10,0,974,+39,1.041
05-13-2020,984,10,0,974,+0,1.000
05-14-2020,1074,13,0,1061,+90,1.091
05-15-2020,1074,13,0,1061,+0,1.000
05-16-2020,1156,16,0,1140,+82,1.076
05-17-2020,1192,16,0,1176,+36,1.031
05-18-2020,1192,16,0,1176,+0,1.000
05-19-2020,1287,17,0,1270,+95,1.080
05-20-2020,1338,20,0,1318,+51,1.040
05-21-2020,1338,20,0,1318,+0,1.000
05-22-2020,1372,22,0,1350,+34,1.025
05-23-2020,1417,22,0,1395,+45,1.033
05-24-2020,1448,22,0,1426,+31,1.022
05-25-2020,1482,22,0,1460,+34,1.023
05-26-2020,1482,22,0,1460,+0,1.000
05-27-2020,1535,26,0,1509,+53,1.036
05-28-2020,1658,32,0,1626,+123,1.080
05-29-2020,1658,32,0,1626,+0,1.000
05-30-2020,1714,35,0,1679,+56,1.034
05-31-2020,1743,35,0,1708,+29,1.017
06-01-2020,1743,35,0,1708,+0,1.000
06-02-2020,1882,36,0,1846,+139,1.080
06-03-2020,1914,37,0,1877,+32,1.017
