Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,111,2,0,0,+0,0.000
03-23-2020,145,2,0,0,+34,1.306
03-24-2020,184,2,0,0,+39,1.269
03-25-2020,198,2,0,0,+14,1.076
03-26-2020,211,2,0,0,+13,1.066
03-27-2020,307,2,0,0,+96,1.455
03-28-2020,373,12,0,0,+66,1.215
03-29-2020,407,13,0,0,+34,1.091
03-30-2020,463,14,0,0,+56,1.138
03-31-2020,570,17,0,0,+107,1.231
04-01-2020,624,19,0,0,+54,1.095
04-02-2020,712,22,0,0,+88,1.141
04-03-2020,882,23,0,0,+170,1.239
04-04-2020,941,26,0,0,+59,1.067
04-05-2020,962,27,0,0,+21,1.022
04-06-2020,1027,28,0,0,+65,1.068
04-07-2020,1124,36,0,0,+97,1.094
