Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,11,0,0,0,+0,0.000
03-23-2020,18,0,0,0,+7,1.636
03-24-2020,18,0,0,0,+0,1.000
03-25-2020,22,0,0,0,+4,1.222
03-26-2020,40,0,0,0,+18,1.818
03-27-2020,40,0,0,0,+0,1.000
03-28-2020,49,0,0,0,+9,1.225
03-29-2020,70,0,0,0,+21,1.429
03-30-2020,70,0,0,0,+0,1.000
03-31-2020,92,0,0,0,+22,1.314
04-01-2020,106,0,0,0,+14,1.152
04-02-2020,118,0,0,0,+12,1.113
04-03-2020,130,0,0,0,+12,1.102
04-04-2020,136,0,0,0,+6,1.046
04-05-2020,240,1,0,0,+104,1.765
04-06-2020,256,1,0,0,+16,1.067
04-07-2020,256,1,0,0,+0,1.000
04-08-2020,272,5,0,0,+16,1.062
04-09-2020,287,5,0,0,+15,1.055
04-10-2020,308,7,0,0,+21,1.073
04-11-2020,341,8,0,0,+33,1.107
04-12-2020,355,8,0,347,+14,1.041
04-13-2020,355,8,0,347,+0,1.000
04-14-2020,377,9,0,368,+22,1.062
04-15-2020,392,11,0,381,+15,1.040
04-16-2020,401,13,0,388,+9,1.023
04-17-2020,421,14,0,407,+20,1.050
04-18-2020,438,14,0,424,+17,1.040
04-19-2020,450,15,0,435,+12,1.027
04-20-2020,455,17,0,438,+5,1.011
04-21-2020,468,19,0,449,+13,1.029
