Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,14,0,0,0,+0,0.000
03-23-2020,23,0,0,0,+9,1.643
03-24-2020,34,0,0,0,+11,1.478
03-25-2020,46,0,0,0,+12,1.353
03-26-2020,63,2,0,0,+17,1.370
03-27-2020,91,4,0,0,+28,1.444
03-28-2020,110,5,0,0,+19,1.209
03-29-2020,127,5,0,0,+17,1.155
03-30-2020,150,7,0,0,+23,1.181
03-31-2020,185,7,0,0,+35,1.233
04-01-2020,249,8,0,0,+64,1.346
04-02-2020,349,10,0,0,+100,1.402
04-03-2020,422,11,0,0,+73,1.209
04-04-2020,464,15,0,0,+42,1.100
04-05-2020,504,18,0,0,+40,1.086
04-06-2020,568,26,0,0,+64,1.127
04-07-2020,638,33,0,0,+70,1.123
04-08-2020,713,39,0,0,+75,1.118
04-09-2020,755,48,0,0,+42,1.059
04-10-2020,828,57,0,0,+73,1.097
04-11-2020,919,62,0,0,+91,1.110
04-12-2020,955,68,0,887,+36,1.039
04-13-2020,988,77,0,911,+33,1.035
04-14-2020,1030,86,0,944,+42,1.043
04-15-2020,1084,89,0,995,+54,1.052
04-16-2020,1147,99,0,1048,+63,1.058
04-17-2020,1197,106,0,1091,+50,1.044
04-18-2020,1228,112,0,1116,+31,1.026
04-19-2020,1240,115,0,1125,+12,1.010
04-20-2020,1256,123,0,1133,+16,1.013
04-21-2020,1298,131,0,1167,+42,1.033
