Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,8,0,0,0,+0,0.000
03-23-2020,13,0,0,0,+5,1.625
03-24-2020,19,0,0,0,+6,1.462
03-25-2020,23,0,0,0,+4,1.211
03-26-2020,33,0,0,0,+10,1.435
03-27-2020,40,0,0,0,+7,1.212
03-28-2020,51,1,0,0,+11,1.275
03-29-2020,72,1,0,0,+21,1.412
03-30-2020,89,1,0,0,+17,1.236
03-31-2020,114,0,0,0,+25,1.281
04-01-2020,149,2,0,0,+35,1.307
04-02-2020,169,2,0,0,+20,1.134
04-03-2020,183,3,0,0,+14,1.083
04-04-2020,215,3,0,0,+32,1.175
04-05-2020,248,3,0,0,+33,1.153
04-06-2020,279,3,0,0,+31,1.125
04-07-2020,311,5,0,0,+32,1.115
04-08-2020,340,7,0,0,+29,1.093
04-09-2020,413,8,0,0,+73,1.215
04-10-2020,447,8,0,0,+34,1.082
04-11-2020,487,9,0,0,+40,1.089
04-12-2020,532,9,0,523,+45,1.092
04-13-2020,566,9,0,557,+34,1.064
04-14-2020,587,11,0,576,+21,1.037
04-15-2020,602,14,0,588,+15,1.026
04-16-2020,624,18,0,606,+22,1.037
04-17-2020,664,22,0,642,+40,1.064
04-18-2020,683,23,0,660,+19,1.029
04-19-2020,737,24,0,713,+54,1.079
04-20-2020,770,25,0,745,+33,1.045
04-21-2020,808,25,0,783,+38,1.049
04-22-2020,856,29,0,827,+48,1.059
04-23-2020,899,30,0,869,+43,1.050
04-24-2020,923,30,0,893,+24,1.027
04-25-2020,949,30,0,919,+26,1.028
04-26-2020,976,31,0,945,+27,1.028
04-27-2020,1111,33,0,1078,+135,1.138
04-28-2020,1179,38,0,1141,+68,1.061
04-29-2020,1208,40,0,1168,+29,1.025
04-30-2020,1251,46,0,1205,+43,1.036
05-01-2020,1282,48,0,1234,+31,1.025
05-02-2020,1334,50,0,1284,+52,1.041
05-03-2020,1384,51,0,1333,+50,1.037
05-04-2020,1433,51,0,1382,+49,1.035
05-05-2020,1467,61,0,1406,+34,1.024
05-06-2020,1499,63,0,1436,+32,1.022
05-07-2020,1548,66,0,1482,+49,1.033
05-08-2020,1593,72,0,1521,+45,1.029
05-09-2020,1631,79,0,1552,+38,1.024
05-10-2020,1654,81,0,1573,+23,1.014
05-11-2020,1690,83,0,1607,+36,1.022
05-12-2020,1710,90,0,1620,+20,1.012
05-13-2020,1728,92,0,1636,+18,1.011
05-14-2020,1756,98,0,1658,+28,1.016
05-15-2020,1788,106,0,1682,+32,1.018
05-16-2020,1811,113,0,1698,+23,1.013
05-17-2020,1832,116,0,1716,+21,1.012
05-18-2020,1907,117,0,1790,+75,1.041
05-19-2020,1935,125,0,1810,+28,1.015
05-20-2020,1966,127,0,1839,+31,1.016
05-21-2020,2002,129,0,1873,+36,1.018
05-22-2020,2031,132,0,1899,+29,1.014
05-23-2020,2044,134,0,1910,+13,1.006
05-24-2020,2066,134,0,1932,+22,1.011
05-25-2020,2089,138,0,1951,+23,1.011
05-26-2020,2103,138,0,1965,+14,1.007
05-27-2020,2130,140,0,1990,+27,1.013
05-28-2020,2165,143,0,2022,+35,1.016
05-29-2020,2198,147,0,2051,+33,1.015
05-30-2020,2217,147,0,2070,+19,1.009
05-31-2020,2234,147,0,2087,+17,1.008
06-01-2020,2245,148,0,2097,+11,1.005
06-02-2020,2262,148,0,2114,+17,1.008
06-03-2020,2278,149,0,2129,+16,1.007
