Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,19,0,0,0,+0,0.000
03-23-2020,31,0,0,0,+12,1.632
03-24-2020,39,0,0,0,+8,1.258
03-25-2020,50,0,0,0,+11,1.282
03-26-2020,50,0,0,0,+0,1.000
03-27-2020,51,1,0,0,+1,1.020
03-28-2020,57,1,0,0,+6,1.118
03-29-2020,71,1,0,0,+14,1.246
03-30-2020,88,1,0,0,+17,1.239
03-31-2020,106,1,0,0,+18,1.205
04-01-2020,129,1,0,0,+23,1.217
04-02-2020,154,1,0,0,+25,1.194
04-03-2020,174,2,0,0,+20,1.130
04-04-2020,183,2,0,0,+9,1.052
04-05-2020,186,2,0,0,+3,1.016
04-06-2020,204,2,0,0,+18,1.097
04-07-2020,214,3,0,0,+10,1.049
04-08-2020,214,3,0,0,+0,1.000
04-09-2020,254,3,0,0,+40,1.187
04-10-2020,308,6,0,0,+54,1.213
04-11-2020,325,7,0,0,+17,1.055
04-12-2020,339,8,0,331,+14,1.043
04-13-2020,346,8,0,338,+7,1.021
04-14-2020,373,10,0,363,+27,1.078
04-15-2020,400,11,0,389,+27,1.072
04-16-2020,436,11,0,425,+36,1.090
04-17-2020,447,11,0,436,+11,1.025
04-18-2020,486,11,0,475,+39,1.087
04-19-2020,492,11,0,481,+6,1.012
04-20-2020,498,11,0,487,+6,1.012
04-21-2020,498,11,0,487,+0,1.000
04-22-2020,536,13,0,523,+38,1.076
04-23-2020,558,13,0,545,+22,1.041
04-24-2020,557,15,0,542,+-1,0.998
04-25-2020,564,16,0,548,+7,1.013
04-26-2020,609,19,0,590,+45,1.080
04-27-2020,649,20,0,629,+40,1.066
04-28-2020,661,22,0,639,+12,1.018
04-29-2020,689,34,0,655,+28,1.042
04-30-2020,722,37,0,685,+33,1.048
05-01-2020,730,38,0,692,+8,1.011
05-02-2020,749,39,0,710,+19,1.026
05-03-2020,757,40,0,717,+8,1.011
05-04-2020,788,42,0,746,+31,1.041
05-05-2020,796,42,0,754,+8,1.010
05-06-2020,803,42,0,761,+7,1.009
05-07-2020,835,42,0,793,+32,1.040
05-08-2020,869,44,0,825,+34,1.041
05-09-2020,912,45,0,867,+43,1.049
05-10-2020,933,45,0,888,+21,1.023
05-11-2020,946,45,0,901,+13,1.014
05-12-2020,971,45,0,926,+25,1.026
05-13-2020,981,46,0,935,+10,1.010
05-14-2020,996,46,0,950,+15,1.015
05-15-2020,1021,46,0,975,+25,1.025
05-16-2020,1058,46,0,1012,+37,1.036
05-17-2020,1095,46,0,1049,+37,1.035
05-18-2020,1116,46,0,1070,+21,1.019
05-19-2020,1145,50,0,1095,+29,1.026
05-20-2020,1155,50,0,1105,+10,1.009
05-21-2020,1180,50,0,1130,+25,1.022
05-22-2020,1200,50,0,1150,+20,1.017
05-23-2020,1231,50,0,1181,+31,1.026
05-24-2020,1286,53,0,1233,+55,1.045
05-25-2020,1300,53,0,1247,+14,1.011
05-26-2020,1344,55,0,1289,+44,1.034
05-27-2020,1364,55,0,1309,+20,1.015
05-28-2020,1382,56,0,1326,+18,1.013
05-29-2020,1461,57,0,1404,+79,1.057
05-30-2020,1469,57,0,1412,+8,1.005
05-31-2020,1619,57,0,1562,+150,1.102
06-01-2020,1690,57,0,1633,+71,1.044
06-02-2020,1751,57,0,1694,+61,1.036
06-03-2020,1751,57,0,1694,+0,1.000
