Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,11,0,0,0,+0,0.000
03-23-2020,11,0,0,0,+0,1.000
03-24-2020,16,0,0,0,+5,1.455
03-25-2020,22,0,0,0,+6,1.375
03-26-2020,24,0,0,0,+2,1.091
03-27-2020,31,0,0,0,+7,1.292
03-28-2020,34,0,0,0,+3,1.097
03-29-2020,39,0,0,0,+5,1.147
03-30-2020,44,0,0,0,+5,1.128
03-31-2020,50,1,0,0,+6,1.136
04-01-2020,55,1,0,0,+5,1.100
04-02-2020,74,3,0,0,+19,1.345
04-03-2020,88,4,0,0,+14,1.189
04-04-2020,94,5,0,0,+6,1.068
04-05-2020,96,5,0,0,+2,1.021
04-06-2020,104,5,0,0,+8,1.083
04-07-2020,119,5,0,0,+15,1.144
04-08-2020,122,8,0,0,+3,1.025
04-09-2020,125,8,0,0,+3,1.025
04-10-2020,127,9,0,0,+2,1.016
04-11-2020,134,9,0,0,+7,1.055
04-12-2020,135,9,0,126,+1,1.007
04-13-2020,138,10,0,128,+3,1.022
04-14-2020,138,10,0,128,+0,1.000
04-15-2020,151,10,0,141,+13,1.094
04-16-2020,160,11,0,149,+9,1.060
04-17-2020,171,12,0,159,+11,1.069
04-18-2020,176,13,0,163,+5,1.029
04-19-2020,176,13,0,163,+0,1.000
04-20-2020,176,13,0,163,+0,1.000
04-21-2020,201,15,0,186,+25,1.142
04-22-2020,233,16,0,217,+32,1.159
04-23-2020,240,16,0,224,+7,1.030
04-24-2020,275,19,0,256,+35,1.146
04-25-2020,304,19,0,285,+29,1.105
04-26-2020,314,22,0,292,+10,1.033
04-27-2020,314,21,0,293,+0,1.000
04-28-2020,345,23,0,322,+31,1.099
04-29-2020,358,23,0,335,+13,1.038
04-30-2020,381,28,0,353,+23,1.064
05-01-2020,415,30,0,385,+34,1.089
05-02-2020,437,31,0,406,+22,1.053
05-03-2020,439,31,0,408,+2,1.005
05-04-2020,443,31,0,412,+4,1.009
05-05-2020,464,33,0,431,+21,1.047
05-06-2020,527,35,0,492,+63,1.136
05-07-2020,536,35,0,501,+9,1.017
05-08-2020,553,38,0,515,+17,1.032
05-09-2020,574,38,0,536,+21,1.038
05-10-2020,592,38,0,554,+18,1.031
05-11-2020,641,38,0,603,+49,1.083
05-12-2020,649,42,0,607,+8,1.012
05-13-2020,683,44,0,639,+34,1.052
05-14-2020,720,45,0,675,+37,1.054
05-15-2020,767,46,0,721,+47,1.065
05-16-2020,776,47,0,729,+9,1.012
05-17-2020,846,47,0,799,+70,1.090
05-18-2020,872,47,0,825,+26,1.031
05-19-2020,872,47,0,825,+0,1.000
05-20-2020,916,49,0,867,+44,1.050
05-21-2020,931,49,0,882,+15,1.016
05-22-2020,977,50,0,927,+46,1.049
05-23-2020,1033,52,0,981,+56,1.057
05-24-2020,1049,52,0,997,+16,1.015
05-25-2020,1073,52,0,1021,+24,1.023
05-26-2020,1092,53,0,1039,+19,1.018
05-27-2020,1143,54,0,1089,+51,1.047
05-28-2020,1173,56,0,1117,+30,1.026
05-29-2020,1195,65,0,1130,+22,1.019
05-30-2020,1227,65,0,1162,+32,1.027
05-31-2020,1264,65,0,1199,+37,1.030
06-01-2020,1288,65,0,1223,+24,1.019
06-02-2020,1318,65,0,1253,+30,1.023
06-03-2020,1415,71,0,1344,+97,1.074
