Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,27,1,0,0,+0,0.000
03-23-2020,34,1,0,0,+7,1.259
03-24-2020,45,1,0,0,+11,1.324
03-25-2020,48,1,0,0,+3,1.067
03-26-2020,75,1,0,0,+27,1.562
03-27-2020,102,1,0,0,+27,1.360
03-28-2020,129,1,0,0,+27,1.265
03-29-2020,143,1,0,0,+14,1.109
03-30-2020,158,1,0,0,+15,1.105
03-31-2020,238,2,0,0,+80,1.506
04-01-2020,250,4,0,0,+12,1.050
04-02-2020,282,6,0,0,+32,1.128
04-03-2020,329,8,0,0,+47,1.167
04-04-2020,364,8,0,0,+35,1.106
04-05-2020,408,8,0,0,+44,1.121
04-06-2020,443,10,0,0,+35,1.086
04-07-2020,525,10,0,0,+82,1.185
04-08-2020,565,15,0,0,+40,1.076
04-09-2020,603,17,0,0,+38,1.067
04-10-2020,646,17,0,0,+43,1.071
04-11-2020,675,18,0,0,+29,1.045
04-12-2020,690,18,0,672,+15,1.022
04-13-2020,739,22,0,717,+49,1.071
04-14-2020,815,29,0,786,+76,1.103
04-15-2020,852,29,0,823,+37,1.045
04-16-2020,896,32,0,864,+44,1.052
04-17-2020,1017,36,0,981,+121,1.135
04-18-2020,1050,36,0,1014,+33,1.032
04-19-2020,1099,38,0,1061,+49,1.047
04-20-2020,1181,42,0,1139,+82,1.075
04-21-2020,1222,42,0,1180,+41,1.035
04-22-2020,1273,46,0,1227,+51,1.042
04-23-2020,1351,46,0,1305,+78,1.061
04-24-2020,1382,46,0,1336,+31,1.023
04-25-2020,1460,46,0,1414,+78,1.056
04-26-2020,1504,47,0,1457,+44,1.030
04-27-2020,1545,52,0,1493,+41,1.027
04-28-2020,1603,54,0,1549,+58,1.038
04-29-2020,1720,55,0,1665,+117,1.073
04-30-2020,1787,57,0,1730,+67,1.039
05-01-2020,1846,58,0,1788,+59,1.033
05-02-2020,1934,58,0,1876,+88,1.048
05-03-2020,1976,58,0,1918,+42,1.022
05-04-2020,2056,65,0,1991,+80,1.040
05-05-2020,2102,77,0,2025,+46,1.022
05-06-2020,2222,81,0,2141,+120,1.057
05-07-2020,2253,84,0,2169,+31,1.014
05-08-2020,2323,87,0,2236,+70,1.031
05-09-2020,2403,87,0,2316,+80,1.034
05-10-2020,2447,87,0,2360,+44,1.018
05-11-2020,2475,92,0,2383,+28,1.011
05-12-2020,2496,101,0,2395,+21,1.008
05-13-2020,2510,101,0,2409,+14,1.006
05-14-2020,2552,101,0,2451,+42,1.017
05-15-2020,2597,101,0,2496,+45,1.018
05-16-2020,2597,102,0,2495,+0,1.000
05-17-2020,2594,102,0,2492,+-3,0.999
05-18-2020,2680,105,0,2575,+86,1.033
05-19-2020,2771,114,0,2657,+91,1.034
05-20-2020,2820,117,0,2703,+49,1.018
05-21-2020,2882,121,0,2761,+62,1.022
05-22-2020,2961,121,0,2840,+79,1.027
05-23-2020,2997,121,0,2876,+36,1.012
05-24-2020,3056,122,0,2934,+59,1.020
05-25-2020,3198,121,0,3077,+142,1.046
05-26-2020,3307,125,0,3182,+109,1.034
05-27-2020,3480,126,0,3354,+173,1.052
05-28-2020,3619,127,0,3492,+139,1.040
05-29-2020,3733,127,0,3606,+114,1.032
05-30-2020,3769,127,0,3642,+36,1.010
05-31-2020,3780,128,0,3652,+11,1.003
06-01-2020,3870,132,0,3738,+90,1.024
06-02-2020,3891,133,0,3758,+21,1.005
06-03-2020,4063,135,0,3928,+172,1.044
