Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,9,0,0,0,+0,0.000
03-23-2020,10,0,0,0,+1,1.111
03-24-2020,14,0,0,0,+4,1.400
03-25-2020,19,0,0,0,+5,1.357
03-26-2020,21,0,0,0,+2,1.105
03-27-2020,24,0,0,0,+3,1.143
03-28-2020,31,0,0,0,+7,1.292
03-29-2020,32,0,0,0,+1,1.032
03-30-2020,34,0,0,0,+2,1.062
03-31-2020,66,0,0,0,+32,1.941
04-01-2020,69,0,0,0,+3,1.045
04-02-2020,72,0,0,0,+3,1.043
04-03-2020,79,0,0,0,+7,1.097
04-04-2020,84,0,0,0,+5,1.063
04-05-2020,117,0,0,0,+33,1.393
04-06-2020,131,0,0,0,+14,1.120
04-07-2020,196,0,0,0,+65,1.496
04-08-2020,228,0,0,0,+32,1.163
04-09-2020,238,0,0,0,+10,1.044
04-10-2020,250,0,0,0,+12,1.050
04-11-2020,275,0,0,0,+25,1.100
04-12-2020,279,0,0,279,+4,1.015
04-13-2020,292,0,0,292,+13,1.047
04-14-2020,363,0,0,363,+71,1.243
04-15-2020,374,1,0,373,+11,1.030
04-16-2020,411,5,0,406,+37,1.099
04-17-2020,563,6,0,557,+152,1.370
04-18-2020,607,6,0,601,+44,1.078
04-19-2020,621,6,0,615,+14,1.023
04-20-2020,702,9,0,693,+81,1.130
04-21-2020,720,9,0,711,+18,1.026
04-22-2020,907,9,0,898,+187,1.260
04-23-2020,963,9,0,954,+56,1.062
04-24-2020,1022,9,0,1013,+59,1.061
04-25-2020,1032,9,0,1023,+10,1.010
04-26-2020,1033,11,0,1022,+1,1.001
04-27-2020,1098,12,0,1086,+65,1.063
04-28-2020,1183,16,0,1167,+85,1.077
04-29-2020,1242,20,0,1222,+59,1.050
04-30-2020,1332,21,0,1311,+90,1.072
05-01-2020,1482,22,0,1460,+150,1.113
05-02-2020,1694,22,0,1672,+212,1.143
05-03-2020,1700,23,0,1677,+6,1.004
05-04-2020,1776,23,0,1753,+76,1.045
05-05-2020,1846,26,0,1820,+70,1.039
05-06-2020,1914,27,0,1887,+68,1.037
05-07-2020,1958,27,0,1931,+44,1.023
05-08-2020,1997,28,0,1969,+39,1.020
05-09-2020,2002,28,0,1974,+5,1.003
05-10-2020,2012,28,0,1984,+10,1.005
05-11-2020,2039,29,0,2010,+27,1.013
05-12-2020,2060,35,0,2025,+21,1.010
05-13-2020,2112,37,0,2075,+52,1.025
05-14-2020,2125,40,0,2085,+13,1.006
05-15-2020,2140,40,0,2100,+15,1.007
05-16-2020,2146,40,0,2106,+6,1.003
05-17-2020,2152,40,0,2112,+6,1.003
05-18-2020,2164,42,0,2122,+12,1.006
05-19-2020,2191,40,0,2151,+27,1.012
05-20-2020,2230,40,0,2190,+39,1.018
05-21-2020,2248,41,0,2207,+18,1.008
05-22-2020,2269,41,0,2228,+21,1.009
05-23-2020,2305,41,0,2264,+36,1.016
05-24-2020,2322,41,0,2281,+17,1.007
05-25-2020,2327,41,0,2286,+5,1.002
05-26-2020,2378,41,0,2337,+51,1.022
05-27-2020,2422,42,0,2380,+44,1.019
05-28-2020,2450,46,0,2404,+28,1.012
05-29-2020,2465,47,0,2418,+15,1.006
05-30-2020,2467,47,0,2420,+2,1.001
05-31-2020,2467,47,0,2420,+0,1.000
06-01-2020,2507,49,0,2458,+40,1.016
06-02-2020,2508,50,0,2458,+1,1.000
06-03-2020,2539,50,0,2489,+31,1.012
