Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,0,0,0,0,+0,0.000
03-23-2020,0,0,0,0,+0,0.000
03-24-2020,0,0,0,0,+0,0.000
03-25-2020,0,0,0,0,+0,0.000
03-26-2020,0,0,0,0,+0,0.000
03-27-2020,0,0,0,0,+0,0.000
03-28-2020,3,1,0,0,+3,0.000
03-29-2020,3,1,0,0,+0,1.000
03-30-2020,6,1,0,0,+3,2.000
03-31-2020,8,1,0,0,+2,1.333
04-01-2020,15,1,0,0,+7,1.875
04-02-2020,17,1,0,0,+2,1.133
04-03-2020,26,1,0,0,+9,1.529
04-04-2020,40,1,0,0,+14,1.538
04-05-2020,44,1,0,0,+4,1.100
04-06-2020,55,1,0,0,+11,1.250
04-07-2020,58,1,0,0,+3,1.055
04-08-2020,69,2,0,0,+11,1.190
04-09-2020,84,2,0,0,+15,1.217
04-10-2020,116,2,0,0,+32,1.381
04-11-2020,129,4,0,0,+13,1.112
04-12-2020,159,4,0,155,+30,1.233
04-13-2020,161,4,0,157,+2,1.013
04-14-2020,214,4,0,210,+53,1.329
04-15-2020,214,4,0,210,+0,1.000
04-16-2020,231,4,0,227,+17,1.079
04-17-2020,247,4,0,243,+16,1.069
04-18-2020,403,4,0,399,+156,1.632
04-19-2020,457,4,0,453,+54,1.134
04-20-2020,531,4,0,527,+74,1.162
04-21-2020,554,4,0,550,+23,1.043
04-22-2020,588,4,0,584,+34,1.061
04-23-2020,647,12,0,635,+59,1.100
04-24-2020,734,12,0,722,+87,1.134
04-25-2020,797,12,0,785,+63,1.086
04-26-2020,876,12,0,864,+79,1.099
04-27-2020,908,12,0,896,+32,1.037
04-28-2020,908,12,0,896,+0,1.000
04-29-2020,943,12,0,931,+35,1.039
04-30-2020,1025,28,0,997,+82,1.087
05-01-2020,1111,28,0,1083,+86,1.084
05-02-2020,1160,28,0,1132,+49,1.044
05-03-2020,1256,28,0,1228,+96,1.083
05-04-2020,1281,28,0,1253,+25,1.020
05-05-2020,1284,28,0,1256,+3,1.002
05-06-2020,1287,28,0,1259,+3,1.002
05-07-2020,1306,28,0,1278,+19,1.015
05-08-2020,1311,28,0,1283,+5,1.004
05-09-2020,1325,28,0,1297,+14,1.011
05-10-2020,1328,28,0,1300,+3,1.002
05-11-2020,1332,28,0,1304,+4,1.003
05-12-2020,1344,28,0,1316,+12,1.009
05-13-2020,1377,28,0,1349,+33,1.025
05-14-2020,1392,28,0,1364,+15,1.011
05-15-2020,1409,28,0,1381,+17,1.012
05-16-2020,1424,28,0,1396,+15,1.011
05-17-2020,1430,28,0,1402,+6,1.004
05-18-2020,1433,28,0,1405,+3,1.002
05-19-2020,1435,28,0,1407,+2,1.001
05-20-2020,1441,39,0,1402,+6,1.004
05-21-2020,1452,39,0,1413,+11,1.008
05-22-2020,1458,39,0,1419,+6,1.004
05-23-2020,1460,39,0,1421,+2,1.001
05-24-2020,1464,39,0,1425,+4,1.003
05-25-2020,1466,39,0,1427,+2,1.001
05-26-2020,1470,39,0,1431,+4,1.003
05-27-2020,1472,39,0,1433,+2,1.001
05-28-2020,1476,39,0,1437,+4,1.003
05-29-2020,1484,39,0,1445,+8,1.005
05-30-2020,1495,39,0,1456,+11,1.007
05-31-2020,1503,39,0,1464,+8,1.005
06-01-2020,1515,39,0,1476,+12,1.008
06-02-2020,1522,39,0,1483,+7,1.005
06-03-2020,1525,39,0,1486,+3,1.002
