Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,18,0,0,0,+0,0.000
03-23-2020,18,0,0,0,+0,1.000
03-24-2020,25,0,0,0,+7,1.389
03-25-2020,30,0,0,0,+5,1.200
03-26-2020,40,0,0,0,+10,1.333
03-27-2020,52,0,0,0,+12,1.300
03-28-2020,64,0,0,0,+12,1.231
03-29-2020,83,0,0,0,+19,1.297
03-30-2020,106,0,0,0,+23,1.277
03-31-2020,127,0,0,0,+21,1.198
04-01-2020,179,4,0,0,+52,1.409
04-02-2020,207,4,0,0,+28,1.156
04-03-2020,220,4,0,0,+13,1.063
04-04-2020,265,4,0,0,+45,1.205
04-05-2020,300,5,0,0,+35,1.132
04-06-2020,335,5,0,0,+35,1.117
04-07-2020,363,10,0,0,+28,1.084
04-08-2020,392,15,0,0,+29,1.080
04-09-2020,395,16,0,0,+3,1.008
04-10-2020,431,19,0,0,+36,1.091
04-11-2020,443,22,0,0,+12,1.028
04-12-2020,478,23,0,455,+35,1.079
04-13-2020,490,24,0,466,+12,1.025
04-14-2020,499,27,0,472,+9,1.018
04-15-2020,510,27,0,483,+11,1.022
04-16-2020,520,29,0,491,+10,1.020
04-17-2020,542,31,0,511,+22,1.042
04-18-2020,563,35,0,528,+21,1.039
04-19-2020,583,35,0,548,+20,1.036
04-20-2020,598,35,0,563,+15,1.026
04-21-2020,615,39,0,576,+17,1.028
04-22-2020,624,41,0,583,+9,1.015
04-23-2020,645,42,0,603,+21,1.034
04-24-2020,670,44,0,626,+25,1.039
04-25-2020,699,50,0,649,+29,1.043
04-26-2020,704,51,0,653,+5,1.007
04-27-2020,720,52,0,668,+16,1.023
04-28-2020,729,58,0,671,+9,1.012
04-29-2020,746,60,0,686,+17,1.023
04-30-2020,755,62,0,693,+9,1.012
05-01-2020,794,67,0,727,+39,1.052
05-02-2020,810,68,0,742,+16,1.020
05-03-2020,824,69,0,755,+14,1.017
05-04-2020,845,72,0,773,+21,1.025
05-05-2020,859,74,0,785,+14,1.017
05-06-2020,882,77,0,805,+23,1.027
05-07-2020,894,78,0,816,+12,1.014
05-08-2020,902,78,0,824,+8,1.009
05-09-2020,920,80,0,840,+18,1.020
05-10-2020,925,80,0,845,+5,1.005
05-11-2020,936,82,0,854,+11,1.012
05-12-2020,956,84,0,872,+20,1.021
05-13-2020,960,84,0,876,+4,1.004
05-14-2020,968,84,0,884,+8,1.008
05-15-2020,977,87,0,890,+9,1.009
05-16-2020,1001,90,0,911,+24,1.025
05-17-2020,1021,90,0,931,+20,1.020
05-18-2020,1033,90,0,943,+12,1.012
05-19-2020,1042,92,0,950,+9,1.009
05-20-2020,1054,91,0,963,+12,1.012
05-21-2020,1071,91,0,980,+17,1.016
05-22-2020,1084,91,0,993,+13,1.012
05-23-2020,1092,91,0,1001,+8,1.007
05-24-2020,1096,91,0,1005,+4,1.004
05-25-2020,1099,92,0,1007,+3,1.003
05-26-2020,1115,92,0,1023,+16,1.015
05-27-2020,1123,91,0,1032,+8,1.007
05-28-2020,1132,92,0,1040,+9,1.008
05-29-2020,1156,93,0,1063,+24,1.021
05-30-2020,1154,93,0,1061,+-2,0.998
05-31-2020,1159,93,0,1066,+5,1.004
06-01-2020,1162,93,0,1069,+3,1.003
06-02-2020,1170,93,0,1077,+8,1.007
06-03-2020,1180,94,0,1086,+10,1.009
