Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,19,0,0,0,+0,0.000
03-23-2020,26,0,0,0,+7,1.368
03-24-2020,38,0,0,0,+12,1.462
03-25-2020,48,0,0,0,+10,1.263
03-26-2020,53,0,0,0,+5,1.104
03-27-2020,63,0,0,0,+10,1.189
03-28-2020,71,0,0,0,+8,1.127
03-29-2020,85,0,0,0,+14,1.197
03-30-2020,101,0,0,0,+16,1.188
03-31-2020,124,0,0,0,+23,1.228
04-01-2020,154,0,0,0,+30,1.242
04-02-2020,178,2,0,0,+24,1.156
04-03-2020,203,2,0,0,+25,1.140
04-04-2020,288,2,0,0,+85,1.419
04-05-2020,319,3,0,0,+31,1.108
04-06-2020,394,9,0,0,+75,1.235
04-07-2020,411,12,0,0,+17,1.043
04-08-2020,437,13,0,0,+26,1.063
04-09-2020,473,14,0,0,+36,1.082
04-10-2020,504,14,0,0,+31,1.066
04-11-2020,529,17,0,0,+25,1.050
04-12-2020,535,17,0,518,+6,1.011
04-13-2020,558,21,0,537,+23,1.043
04-14-2020,576,24,0,552,+18,1.032
04-15-2020,594,27,0,567,+18,1.031
04-16-2020,615,29,0,586,+21,1.035
04-17-2020,658,30,0,628,+43,1.070
04-18-2020,701,30,0,671,+43,1.065
04-19-2020,718,33,0,685,+17,1.024
04-20-2020,735,37,0,698,+17,1.024
04-21-2020,768,39,0,729,+33,1.045
04-22-2020,785,45,0,740,+17,1.022
04-23-2020,868,47,0,821,+83,1.106
04-24-2020,932,51,0,881,+64,1.074
04-25-2020,975,54,0,921,+43,1.046
04-26-2020,1005,56,0,949,+30,1.031
04-27-2020,1048,56,0,992,+43,1.043
04-28-2020,1091,58,0,1033,+43,1.041
04-29-2020,1150,68,0,1082,+59,1.054
04-30-2020,1218,71,0,1147,+68,1.059
05-01-2020,1297,75,0,1222,+79,1.065
05-02-2020,1353,78,0,1275,+56,1.043
05-03-2020,1380,80,0,1300,+27,1.020
05-04-2020,1434,80,0,1354,+54,1.039
05-05-2020,1480,83,0,1397,+46,1.032
05-06-2020,1527,93,0,1434,+47,1.032
05-07-2020,1572,93,0,1479,+45,1.029
05-08-2020,1664,100,0,1564,+92,1.059
05-09-2020,1731,99,0,1632,+67,1.040
05-10-2020,1757,101,0,1656,+26,1.015
05-11-2020,1823,101,0,1722,+66,1.038
05-12-2020,1859,102,0,1757,+36,1.020
05-13-2020,1886,105,0,1781,+27,1.015
05-14-2020,1927,105,0,1822,+41,1.022
05-15-2020,1961,109,0,1852,+34,1.018
05-16-2020,2007,111,0,1896,+46,1.023
05-17-2020,2047,111,0,1936,+40,1.020
05-18-2020,2082,112,0,1970,+35,1.017
05-19-2020,2138,117,0,2021,+56,1.027
05-20-2020,2167,117,0,2050,+29,1.014
05-21-2020,2228,123,0,2105,+61,1.028
05-22-2020,2279,124,0,2155,+51,1.023
05-23-2020,2349,128,0,2221,+70,1.031
05-24-2020,2403,128,0,2275,+54,1.023
05-25-2020,2458,128,0,2330,+55,1.023
05-26-2020,2492,128,0,2364,+34,1.014
05-27-2020,2523,131,0,2392,+31,1.012
05-28-2020,2555,135,0,2420,+32,1.013
05-29-2020,2603,147,0,2456,+48,1.019
05-30-2020,2642,148,0,2494,+39,1.015
05-31-2020,2672,150,0,2522,+30,1.011
06-01-2020,2698,151,0,2547,+26,1.010
06-02-2020,2721,156,0,2565,+23,1.009
06-03-2020,2739,164,0,2575,+18,1.007
