Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,4,0,0,0,+0,0.000
03-23-2020,6,0,0,0,+2,1.500
03-24-2020,8,0,0,0,+2,1.333
03-25-2020,11,0,0,0,+3,1.375
03-26-2020,17,0,0,0,+6,1.545
03-27-2020,20,0,0,0,+3,1.176
03-28-2020,30,0,0,0,+10,1.500
03-29-2020,37,0,0,0,+7,1.233
03-30-2020,46,0,0,0,+9,1.243
03-31-2020,69,1,0,0,+23,1.500
04-01-2020,81,1,0,0,+12,1.174
04-02-2020,102,2,0,0,+21,1.259
04-03-2020,114,3,0,0,+12,1.118
04-04-2020,125,3,0,0,+11,1.096
04-05-2020,128,3,0,0,+3,1.024
04-06-2020,147,3,0,0,+19,1.148
04-07-2020,158,3,0,0,+11,1.075
04-08-2020,164,3,0,0,+6,1.038
04-09-2020,177,3,0,0,+13,1.079
04-10-2020,194,3,0,0,+17,1.096
04-11-2020,204,5,0,0,+10,1.052
04-12-2020,219,6,0,213,+15,1.074
04-13-2020,224,6,0,218,+5,1.023
04-14-2020,233,6,0,227,+9,1.040
04-15-2020,239,6,0,233,+6,1.026
04-16-2020,248,6,0,242,+9,1.038
04-17-2020,258,6,0,252,+10,1.040
04-18-2020,306,7,0,299,+48,1.186
04-19-2020,317,7,0,310,+11,1.036
04-20-2020,317,7,0,310,+0,1.000
04-21-2020,337,10,0,327,+20,1.063
04-22-2020,345,10,0,335,+8,1.024
04-23-2020,367,10,0,357,+22,1.064
04-24-2020,396,10,0,386,+29,1.079
04-25-2020,412,20,0,392,+16,1.040
04-26-2020,427,20,0,407,+15,1.036
04-27-2020,443,26,0,417,+16,1.037
04-28-2020,509,27,0,482,+66,1.149
04-29-2020,531,26,0,505,+22,1.043
04-30-2020,546,30,0,516,+15,1.028
05-01-2020,546,32,0,514,+0,1.000
05-02-2020,549,33,0,516,+3,1.005
05-03-2020,559,36,0,523,+10,1.018
05-04-2020,563,36,0,527,+4,1.007
05-05-2020,575,47,0,528,+12,1.021
05-06-2020,580,47,0,533,+5,1.009
05-07-2020,595,48,0,547,+15,1.026
05-08-2020,654,48,0,606,+59,1.099
05-09-2020,659,50,0,609,+5,1.008
05-10-2020,676,55,0,621,+17,1.026
05-11-2020,688,57,0,631,+12,1.018
05-12-2020,702,57,0,645,+14,1.020
05-13-2020,708,64,0,644,+6,1.009
05-14-2020,724,66,0,658,+16,1.023
05-15-2020,738,67,0,671,+14,1.019
05-16-2020,751,69,0,682,+13,1.018
05-17-2020,767,72,0,695,+16,1.021
05-18-2020,774,72,0,702,+7,1.009
05-19-2020,780,73,0,707,+6,1.008
05-20-2020,792,76,0,716,+12,1.015
05-21-2020,806,76,0,730,+14,1.018
05-22-2020,812,76,0,736,+6,1.007
05-23-2020,819,77,0,742,+7,1.009
05-24-2020,830,78,0,752,+11,1.013
05-25-2020,834,80,0,754,+4,1.005
05-26-2020,840,82,0,758,+6,1.007
05-27-2020,843,82,0,761,+3,1.004
05-28-2020,845,83,0,762,+2,1.002
05-29-2020,853,86,0,767,+8,1.009
05-30-2020,855,88,0,767,+2,1.002
05-31-2020,855,89,0,766,+0,1.000
06-01-2020,886,89,0,797,+31,1.036
06-02-2020,883,90,0,793,+-3,0.997
06-03-2020,891,93,0,798,+8,1.009
