Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,74,1,0,0,+0,0.000
03-23-2020,78,1,0,0,+4,1.054
03-24-2020,134,1,0,0,+56,1.718
03-25-2020,185,1,0,0,+51,1.381
03-26-2020,203,2,0,0,+18,1.097
03-27-2020,229,2,0,0,+26,1.128
03-28-2020,445,2,0,0,+216,1.943
03-29-2020,526,3,0,0,+81,1.182
03-30-2020,563,5,0,0,+37,1.070
03-31-2020,680,6,0,0,+117,1.208
04-01-2020,847,6,0,0,+167,1.246
04-02-2020,955,6,0,0,+108,1.128
04-03-2020,1106,13,0,0,+151,1.158
04-04-2020,1284,17,0,0,+178,1.161
04-05-2020,1395,20,0,0,+111,1.086
04-06-2020,1809,22,0,0,+414,1.297
04-07-2020,2146,23,0,0,+337,1.186
04-08-2020,2341,31,0,0,+195,1.091
04-09-2020,3047,34,0,0,+706,1.302
04-10-2020,3261,40,0,0,+214,1.070
04-11-2020,3561,41,0,0,+300,1.092
04-12-2020,3629,44,0,3585,+68,1.019
04-13-2020,3744,46,0,3698,+115,1.032
04-14-2020,3907,52,0,3855,+163,1.044
04-15-2020,4097,58,0,4039,+190,1.049
04-16-2020,4306,63,0,4243,+209,1.051
04-17-2020,4460,67,0,4393,+154,1.036
04-18-2020,4653,71,0,4582,+193,1.043
04-19-2020,4823,75,0,4748,+170,1.037
04-20-2020,4977,78,0,4899,+154,1.032
04-21-2020,5143,79,0,5064,+166,1.033
04-22-2020,5211,80,0,5131,+68,1.013
04-23-2020,5330,82,0,5248,+119,1.023
04-24-2020,5482,84,0,5398,+152,1.029
04-25-2020,5482,84,0,5398,+0,1.000
04-26-2020,5628,84,0,5544,+146,1.027
04-27-2020,5628,84,0,5544,+0,1.000
04-28-2020,5827,98,0,5729,+199,1.035
04-29-2020,6161,109,0,6052,+334,1.057
04-30-2020,6356,114,0,6242,+195,1.032
05-01-2020,6551,122,0,6429,+195,1.031
05-02-2020,6708,129,0,6579,+157,1.024
05-03-2020,6838,133,0,6705,+130,1.019
05-04-2020,6967,140,0,6827,+129,1.019
05-05-2020,7128,144,0,6984,+161,1.023
05-06-2020,7244,150,0,7094,+116,1.016
05-07-2020,7377,154,0,7223,+133,1.018
05-08-2020,7594,160,0,7434,+217,1.029
05-09-2020,7803,168,0,7635,+209,1.028
05-10-2020,7878,172,0,7706,+75,1.010
05-11-2020,8176,179,0,7997,+298,1.038
05-12-2020,8416,183,0,8233,+240,1.029
05-13-2020,8621,188,0,8433,+205,1.024
05-14-2020,8817,193,0,8624,+196,1.023
05-15-2020,9050,193,0,8857,+233,1.026
05-16-2020,9126,204,0,8922,+76,1.008
05-17-2020,9465,204,0,9261,+339,1.037
05-18-2020,9635,205,0,9430,+170,1.018
05-19-2020,9859,207,0,9652,+224,1.023
05-20-2020,10095,210,0,9885,+236,1.024
05-21-2020,10283,216,0,10067,+188,1.019
05-22-2020,10526,217,0,10309,+243,1.024
05-23-2020,10770,219,0,10551,+244,1.023
05-24-2020,10921,220,0,10701,+151,1.014
05-25-2020,10995,221,0,10774,+74,1.007
05-26-2020,11281,221,0,11060,+286,1.026
05-27-2020,11542,223,0,11319,+261,1.023
05-28-2020,11770,224,0,11546,+228,1.020
05-29-2020,12009,228,0,11781,+239,1.020
05-30-2020,12220,231,0,11989,+211,1.018
05-31-2020,12276,232,0,12044,+56,1.005
06-01-2020,12664,235,0,12429,+388,1.032
06-02-2020,13027,236,0,12791,+363,1.029
06-03-2020,13268,241,0,13027,+241,1.019
