Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,54,1,0,0,+0,0.000
03-23-2020,61,2,0,0,+7,1.130
03-24-2020,88,2,0,0,+27,1.443
03-25-2020,116,2,0,0,+28,1.318
03-26-2020,138,2,0,0,+22,1.190
03-27-2020,189,2,0,0,+51,1.370
03-28-2020,228,2,0,0,+39,1.206
03-29-2020,276,2,0,0,+48,1.211
03-30-2020,330,3,0,0,+54,1.196
03-31-2020,393,7,0,0,+63,1.191
04-01-2020,469,11,0,0,+76,1.193
04-02-2020,539,13,0,0,+70,1.149
04-03-2020,679,18,0,0,+140,1.260
04-04-2020,726,26,0,0,+47,1.069
04-05-2020,751,29,0,0,+25,1.034
04-06-2020,882,31,0,0,+131,1.174
04-07-2020,1045,48,0,0,+163,1.185
04-08-2020,1045,48,0,0,+0,1.000
04-09-2020,1471,75,0,0,+426,1.408
04-10-2020,1615,88,0,0,+144,1.098
04-11-2020,1832,101,0,0,+217,1.134
04-12-2020,1914,116,0,1798,+82,1.045
04-13-2020,2243,133,0,2110,+329,1.172
04-14-2020,2370,153,0,2217,+127,1.057
04-15-2020,2570,213,0,2357,+200,1.084
04-16-2020,2859,243,0,2616,+289,1.112
04-17-2020,3015,266,0,2749,+156,1.055
04-18-2020,3196,289,0,2907,+181,1.060
04-19-2020,3351,295,0,3056,+155,1.048
04-20-2020,3823,369,0,3454,+472,1.141
04-21-2020,3951,402,0,3549,+128,1.033
04-22-2020,4128,442,0,3686,+177,1.045
04-23-2020,4303,469,0,3834,+175,1.042
04-24-2020,4570,511,0,4059,+267,1.062
04-25-2020,4761,553,0,4208,+191,1.042
04-26-2020,4989,579,0,4410,+228,1.048
04-27-2020,5157,612,0,4545,+168,1.034
04-28-2020,5224,643,0,4581,+67,1.013
04-29-2020,5388,670,0,4718,+164,1.031
04-30-2020,5601,698,0,4903,+213,1.040
05-01-2020,5931,715,0,5216,+330,1.059
05-02-2020,6112,741,0,5371,+181,1.031
05-03-2020,6112,741,0,5371,+0,1.000
05-04-2020,6173,773,0,5400,+61,1.010
05-05-2020,6351,804,0,5547,+178,1.029
05-06-2020,6530,842,0,5688,+179,1.028
05-07-2020,6750,867,0,5883,+220,1.034
05-08-2020,6904,884,0,6020,+154,1.023
05-09-2020,7105,901,0,6204,+201,1.029
05-10-2020,7263,909,0,6354,+158,1.022
05-11-2020,7358,921,0,6437,+95,1.013
05-12-2020,7528,931,0,6597,+170,1.023
05-13-2020,7732,963,0,6769,+204,1.027
05-14-2020,7935,999,0,6936,+203,1.026
05-15-2020,8126,1025,0,7101,+191,1.024
05-16-2020,8299,1044,0,7255,+173,1.021
05-17-2020,8723,1069,0,7654,+424,1.051
05-18-2020,8957,1084,0,7873,+234,1.027
05-19-2020,9050,1090,0,7960,+93,1.010
05-20-2020,9234,1116,0,8118,+184,1.020
05-21-2020,9299,1133,0,8166,+65,1.007
05-22-2020,9463,1155,0,8308,+164,1.018
05-23-2020,9545,1169,0,8376,+82,1.009
05-24-2020,9686,1175,0,8511,+141,1.015
05-25-2020,9841,1187,0,8654,+155,1.016
05-26-2020,9917,1193,0,8724,+76,1.008
05-27-2020,9962,1203,0,8759,+45,1.005
05-28-2020,10078,1208,0,8870,+116,1.012
05-29-2020,10146,1222,0,8924,+68,1.007
05-30-2020,10207,1238,0,8969,+61,1.006
05-31-2020,10296,1250,0,9046,+89,1.009
06-01-2020,10448,1259,0,9189,+152,1.015
06-02-2020,10536,1253,0,9283,+88,1.008
06-03-2020,10593,1259,0,9334,+57,1.005
