Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,7,0,0,0,+0,0.000
03-23-2020,7,0,0,0,+0,1.000
03-24-2020,7,0,0,0,+0,1.000
03-25-2020,10,0,0,0,+3,1.429
03-26-2020,11,0,0,0,+1,1.100
03-27-2020,13,0,0,0,+2,1.182
03-28-2020,13,0,0,0,+0,1.000
03-29-2020,13,0,0,0,+0,1.000
03-30-2020,16,0,0,0,+3,1.231
03-31-2020,38,0,0,0,+22,2.375
04-01-2020,42,0,0,0,+4,1.105
04-02-2020,42,0,0,0,+0,1.000
04-03-2020,47,0,0,0,+5,1.119
04-04-2020,50,0,0,0,+3,1.064
04-05-2020,54,0,0,0,+4,1.080
04-06-2020,59,0,0,0,+5,1.093
04-07-2020,61,0,0,0,+2,1.034
04-08-2020,75,0,0,0,+14,1.230
04-09-2020,77,0,0,0,+2,1.027
04-10-2020,79,0,0,0,+2,1.026
04-11-2020,82,0,0,0,+3,1.038
04-12-2020,82,0,0,82,+0,1.000
04-13-2020,82,0,0,82,+0,1.000
04-14-2020,93,1,0,92,+11,1.134
04-15-2020,103,1,0,102,+10,1.108
04-16-2020,109,1,0,108,+6,1.058
04-17-2020,117,1,0,116,+8,1.073
04-18-2020,121,1,0,120,+4,1.034
04-19-2020,121,1,0,120,+0,1.000
04-20-2020,128,1,0,127,+7,1.058
04-21-2020,128,1,0,127,+0,1.000
