Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,8,0,0,0,+0,0.000
03-23-2020,8,0,0,0,+0,1.000
03-24-2020,13,0,0,0,+5,1.625
03-25-2020,15,0,0,0,+2,1.154
03-26-2020,21,0,0,0,+6,1.400
03-27-2020,28,2,0,0,+7,1.333
03-28-2020,36,2,0,0,+8,1.286
03-29-2020,48,2,0,0,+12,1.333
03-30-2020,58,1,0,0,+10,1.208
03-31-2020,70,1,0,0,+12,1.207
04-01-2020,91,1,0,0,+21,1.300
04-02-2020,116,1,0,0,+25,1.275
04-03-2020,138,1,0,0,+22,1.190
04-04-2020,163,4,0,0,+25,1.181
04-05-2020,177,4,0,0,+14,1.086
04-06-2020,196,4,0,0,+19,1.107
04-07-2020,225,5,0,0,+29,1.148
04-08-2020,243,6,0,0,+18,1.080
04-09-2020,256,8,0,0,+13,1.053
04-10-2020,287,8,0,0,+31,1.121
04-11-2020,301,9,0,0,+14,1.049
04-12-2020,315,10,0,305,+14,1.047
04-13-2020,330,10,0,320,+15,1.048
04-14-2020,350,11,0,339,+20,1.061
04-15-2020,360,12,0,348,+10,1.029
04-16-2020,378,15,0,363,+18,1.050
04-17-2020,407,17,0,390,+29,1.077
04-18-2020,435,17,0,418,+28,1.069
04-19-2020,471,17,0,454,+36,1.083
04-20-2020,499,17,0,482,+28,1.059
04-21-2020,511,18,0,493,+12,1.024
04-22-2020,518,20,0,498,+7,1.014
04-23-2020,565,25,0,540,+47,1.091
04-24-2020,582,26,0,556,+17,1.030
04-25-2020,611,26,0,585,+29,1.050
04-26-2020,644,29,0,615,+33,1.054
04-27-2020,643,29,0,614,+-1,0.998
04-28-2020,645,31,0,614,+2,1.003
04-29-2020,658,33,0,625,+13,1.020
04-30-2020,667,34,0,633,+9,1.014
05-01-2020,701,40,0,661,+34,1.051
05-02-2020,745,41,0,704,+44,1.063
05-03-2020,764,41,0,723,+19,1.026
05-04-2020,774,41,0,733,+10,1.013
05-05-2020,785,44,0,741,+11,1.014
05-06-2020,883,46,0,837,+98,1.125
05-07-2020,893,49,0,844,+10,1.011
05-08-2020,927,52,0,875,+34,1.038
05-09-2020,951,53,0,898,+24,1.026
05-10-2020,958,53,0,905,+7,1.007
05-11-2020,973,54,0,919,+15,1.016
05-12-2020,984,55,0,929,+11,1.011
05-13-2020,989,56,0,933,+5,1.005
05-14-2020,997,57,0,940,+8,1.008
05-15-2020,1012,57,0,955,+15,1.015
05-16-2020,1020,60,0,960,+8,1.008
05-17-2020,1032,61,0,971,+12,1.012
05-18-2020,1039,61,0,978,+7,1.007
05-19-2020,1050,61,0,989,+11,1.011
05-20-2020,1060,61,0,999,+10,1.010
05-21-2020,1087,63,0,1024,+27,1.025
05-22-2020,1095,63,0,1032,+8,1.007
05-23-2020,1103,65,0,1038,+8,1.007
05-24-2020,1117,65,0,1052,+14,1.013
05-25-2020,1123,67,0,1056,+6,1.005
05-26-2020,1130,67,0,1063,+7,1.006
05-27-2020,1135,67,0,1068,+5,1.004
05-28-2020,1142,68,0,1074,+7,1.006
05-29-2020,1161,71,0,1090,+19,1.017
05-30-2020,1166,71,0,1095,+5,1.004
05-31-2020,1169,71,0,1098,+3,1.003
06-01-2020,1171,71,0,1100,+2,1.002
06-02-2020,1177,73,0,1104,+6,1.005
06-03-2020,1180,74,0,1106,+3,1.003
