Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,57,0,0,0,+0,0.000
03-23-2020,89,0,0,0,+32,1.561
03-24-2020,103,0,0,0,+14,1.157
03-25-2020,111,0,0,0,+8,1.078
03-26-2020,128,0,0,0,+17,1.153
03-27-2020,141,0,0,0,+13,1.102
03-28-2020,152,2,0,0,+11,1.078
03-29-2020,171,2,0,0,+19,1.125
03-30-2020,190,5,0,0,+19,1.111
03-31-2020,204,5,0,0,+14,1.074
04-01-2020,218,5,0,0,+14,1.069
04-02-2020,235,6,0,0,+17,1.078
04-03-2020,242,6,0,0,+7,1.030
04-04-2020,252,9,0,0,+10,1.041
04-05-2020,267,11,0,0,+15,1.060
04-06-2020,280,14,0,0,+13,1.049
04-07-2020,310,16,0,0,+30,1.107
04-08-2020,344,18,0,0,+34,1.110
04-09-2020,375,25,0,0,+31,1.090
04-10-2020,415,27,0,0,+40,1.107
04-11-2020,464,30,0,0,+49,1.118
04-12-2020,557,34,0,523,+93,1.200
04-13-2020,557,34,0,523,+0,1.000
04-14-2020,558,40,0,518,+1,1.002
04-15-2020,651,46,0,605,+93,1.167
04-16-2020,651,46,0,605,+0,1.000
04-17-2020,806,61,0,745,+155,1.238
04-18-2020,875,69,0,806,+69,1.086
04-19-2020,924,75,0,849,+49,1.056
04-20-2020,975,80,0,895,+51,1.055
04-21-2020,1013,95,0,918,+38,1.039
