Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,8,0,0,0,+0,0.000
03-23-2020,11,0,0,0,+3,1.375
03-24-2020,14,2,0,0,+3,1.273
03-25-2020,20,2,0,0,+6,1.429
03-26-2020,21,2,0,0,+1,1.050
03-27-2020,28,2,0,0,+7,1.333
03-28-2020,31,2,0,0,+3,1.107
03-29-2020,40,2,0,0,+9,1.290
03-30-2020,44,2,0,0,+4,1.100
03-31-2020,62,2,0,0,+18,1.409
04-01-2020,78,2,0,0,+16,1.258
04-02-2020,87,2,0,0,+9,1.115
04-03-2020,112,2,0,0,+25,1.287
04-04-2020,174,2,0,0,+62,1.554
04-05-2020,194,2,0,0,+20,1.115
04-06-2020,207,2,0,0,+13,1.067
04-07-2020,267,2,0,0,+60,1.290
04-08-2020,291,2,0,0,+24,1.090
04-09-2020,319,2,0,0,+28,1.096
04-10-2020,342,2,0,0,+23,1.072
04-11-2020,368,2,0,0,+26,1.076
04-12-2020,379,42,0,337,+11,1.030
04-13-2020,397,42,0,355,+18,1.047
04-14-2020,432,42,0,390,+35,1.088
04-15-2020,453,52,0,401,+21,1.049
04-16-2020,497,57,0,440,+44,1.097
04-17-2020,532,62,0,470,+35,1.070
04-18-2020,559,62,0,497,+27,1.051
04-19-2020,584,62,0,522,+25,1.045
04-20-2020,598,72,0,526,+14,1.024
04-21-2020,621,72,0,549,+23,1.038
04-22-2020,684,82,0,602,+63,1.101
04-23-2020,718,83,0,635,+34,1.050
04-24-2020,729,86,0,643,+11,1.015
04-25-2020,764,89,0,675,+35,1.048
04-26-2020,792,89,0,703,+28,1.037
04-27-2020,817,89,0,728,+25,1.032
04-28-2020,835,95,0,740,+18,1.022
04-29-2020,846,98,0,748,+11,1.013
04-30-2020,876,100,0,776,+30,1.035
05-01-2020,898,102,0,796,+22,1.025
05-02-2020,926,104,0,822,+28,1.031
05-03-2020,954,105,0,849,+28,1.030
05-04-2020,964,105,0,859,+10,1.010
05-05-2020,985,106,0,879,+21,1.022
05-06-2020,985,106,0,879,+0,1.000
05-07-2020,1025,109,0,916,+40,1.041
05-08-2020,1032,110,0,922,+7,1.007
05-09-2020,1054,109,0,945,+22,1.021
05-10-2020,1067,109,0,958,+13,1.012
05-11-2020,1083,110,0,973,+16,1.015
05-12-2020,1106,112,0,994,+23,1.021
05-13-2020,1146,112,0,1034,+40,1.036
05-14-2020,1174,112,0,1062,+28,1.024
05-15-2020,1198,113,0,1085,+24,1.020
05-16-2020,1226,113,0,1113,+28,1.023
05-17-2020,1252,113,0,1139,+26,1.021
05-18-2020,1272,113,0,1159,+20,1.016
05-19-2020,1299,114,0,1185,+27,1.021
05-20-2020,1321,114,0,1207,+22,1.017
05-21-2020,1339,114,0,1225,+18,1.014
05-22-2020,1375,117,0,1258,+36,1.027
05-23-2020,1411,118,0,1293,+36,1.026
05-24-2020,1446,118,0,1328,+35,1.025
05-25-2020,1492,118,0,1374,+46,1.032
05-26-2020,1546,118,0,1428,+54,1.036
05-27-2020,1579,119,0,1460,+33,1.021
05-28-2020,1624,131,0,1493,+45,1.028
05-29-2020,1678,133,0,1545,+54,1.033
05-30-2020,1754,133,0,1621,+76,1.045
05-31-2020,1820,133,0,1687,+66,1.038
06-01-2020,1858,134,0,1724,+38,1.021
06-02-2020,1919,135,0,1784,+61,1.033
06-03-2020,1933,134,0,1799,+14,1.007
