Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,2,0,0,0,+0,0.000
03-23-2020,2,0,0,0,+0,1.000
03-24-2020,2,0,0,0,+0,1.000
03-25-2020,7,0,0,0,+5,3.500
03-26-2020,9,0,0,0,+2,1.286
03-27-2020,11,0,0,0,+2,1.222
03-28-2020,18,0,0,0,+7,1.636
03-29-2020,27,0,0,0,+9,1.500
03-30-2020,28,0,0,0,+1,1.037
03-31-2020,38,0,0,0,+10,1.357
04-01-2020,46,0,0,0,+8,1.211
04-02-2020,62,0,0,0,+16,1.348
04-03-2020,79,0,0,0,+17,1.274
04-04-2020,86,0,0,0,+7,1.089
04-05-2020,86,0,0,0,+0,1.000
04-06-2020,99,0,0,0,+13,1.151
04-07-2020,113,0,0,0,+14,1.141
04-08-2020,128,1,0,0,+15,1.133
04-09-2020,139,1,0,0,+11,1.086
04-10-2020,146,1,0,0,+7,1.050
04-11-2020,181,1,0,0,+35,1.240
04-12-2020,190,1,0,189,+9,1.050
04-13-2020,190,1,0,189,+0,1.000
04-14-2020,198,1,0,197,+8,1.042
04-15-2020,217,1,0,216,+19,1.096
04-16-2020,225,2,0,223,+8,1.037
04-17-2020,235,3,0,232,+10,1.044
04-18-2020,242,3,0,239,+7,1.030
04-19-2020,255,3,0,252,+13,1.054
04-20-2020,261,3,0,258,+6,1.024
04-21-2020,268,3,0,265,+7,1.027
