Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,58,0,0,0,+0,0.000
03-23-2020,75,0,0,0,+17,1.293
03-24-2020,91,0,0,0,+16,1.213
03-25-2020,106,0,0,0,+15,1.165
03-26-2020,142,1,0,0,+36,1.340
03-27-2020,167,1,0,0,+25,1.176
03-28-2020,195,2,0,0,+28,1.168
03-29-2020,218,2,0,0,+23,1.118
03-30-2020,253,2,0,0,+35,1.161
03-31-2020,305,3,0,0,+52,1.206
04-01-2020,309,3,0,0,+4,1.013
04-02-2020,404,5,0,0,+95,1.307
04-03-2020,463,5,0,0,+59,1.146
04-04-2020,497,5,0,0,+34,1.073
04-05-2020,536,5,0,0,+39,1.078
04-06-2020,571,5,0,0,+35,1.065
04-07-2020,608,5,0,0,+37,1.065
04-08-2020,626,7,0,0,+18,1.030
04-09-2020,644,9,0,0,+18,1.029
04-10-2020,671,9,0,0,+27,1.042
04-11-2020,690,14,0,0,+19,1.028
04-12-2020,759,16,0,743,+69,1.100
04-13-2020,813,16,0,797,+54,1.071
04-14-2020,819,17,0,802,+6,1.007
04-15-2020,869,18,0,851,+50,1.061
04-16-2020,878,18,0,860,+9,1.010
04-17-2020,924,19,0,905,+46,1.052
04-18-2020,943,19,0,924,+19,1.021
04-19-2020,960,19,0,941,+17,1.018
04-20-2020,973,19,0,954,+13,1.014
04-21-2020,979,20,0,959,+6,1.006
04-22-2020,982,20,0,962,+3,1.003
04-23-2020,1008,21,0,987,+26,1.026
04-24-2020,1022,21,0,1001,+14,1.014
04-25-2020,1041,21,0,1020,+19,1.019
04-26-2020,1048,21,0,1027,+7,1.007
04-27-2020,1062,21,0,1041,+14,1.013
04-28-2020,1080,22,0,1058,+18,1.017
04-29-2020,1105,23,0,1082,+25,1.023
04-30-2020,1124,23,0,1101,+19,1.017
05-01-2020,1163,24,0,1139,+39,1.035
05-02-2020,1240,24,0,1216,+77,1.066
05-03-2020,1281,27,0,1254,+41,1.033
05-04-2020,1300,29,0,1271,+19,1.015
05-05-2020,1324,32,0,1292,+24,1.018
05-06-2020,1331,33,0,1298,+7,1.005
05-07-2020,1364,36,0,1328,+33,1.025
05-08-2020,1371,37,0,1334,+7,1.005
05-09-2020,1400,37,0,1363,+29,1.021
05-10-2020,1432,37,0,1395,+32,1.023
05-11-2020,1448,38,0,1410,+16,1.011
05-12-2020,1473,41,0,1432,+25,1.017
05-13-2020,1494,44,0,1450,+21,1.014
05-14-2020,1530,46,0,1484,+36,1.024
05-15-2020,1568,47,0,1521,+38,1.025
05-16-2020,1585,51,0,1534,+17,1.011
05-17-2020,1614,53,0,1561,+29,1.018
05-18-2020,1653,55,0,1598,+39,1.024
05-19-2020,1670,60,0,1610,+17,1.010
05-20-2020,1703,64,0,1639,+33,1.020
05-21-2020,1767,64,0,1703,+64,1.038
05-22-2020,1790,70,0,1720,+23,1.013
05-23-2020,1823,72,0,1751,+33,1.018
05-24-2020,1883,72,0,1811,+60,1.033
05-25-2020,1939,72,0,1867,+56,1.030
05-26-2020,1969,72,0,1897,+30,1.015
05-27-2020,1995,72,0,1923,+26,1.013
05-28-2020,2019,76,0,1943,+24,1.012
05-29-2020,2069,79,0,1990,+50,1.025
05-30-2020,2129,81,0,2048,+60,1.029
05-31-2020,2201,81,0,2120,+72,1.034
06-01-2020,2251,81,0,2170,+50,1.023
06-02-2020,2285,81,0,2204,+34,1.015
06-03-2020,2384,84,0,2300,+99,1.043
