Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,15,0,0,0,+0,0.000
03-23-2020,16,1,0,0,+1,1.067
03-24-2020,19,1,0,0,+3,1.188
03-25-2020,20,1,0,0,+1,1.053
03-26-2020,30,1,0,0,+10,1.500
03-27-2020,31,1,0,0,+1,1.033
03-28-2020,43,2,0,0,+12,1.387
03-29-2020,53,2,0,0,+10,1.233
03-30-2020,69,2,0,0,+16,1.302
03-31-2020,99,2,0,0,+30,1.435
04-01-2020,99,2,0,0,+0,1.000
04-03-2020,163,2,0,0,+64,1.646
04-04-2020,194,2,0,0,+31,1.190
04-05-2020,231,2,0,0,+37,1.191
04-06-2020,272,2,0,0,+41,1.177
04-07-2020,272,2,0,0,+0,1.000
04-08-2020,288,2,0,0,+16,1.059
04-09-2020,303,2,0,0,+15,1.052
04-10-2020,303,2,0,0,+0,1.000
04-11-2020,344,2,0,0,+41,1.135
04-12-2020,367,2,0,365,+23,1.067
04-13-2020,385,2,0,383,+18,1.049
04-14-2020,271,0,0,271,+-114,0.704
04-15-2020,458,2,0,456,+187,1.690
04-16-2020,458,2,0,456,+0,1.000
04-17-2020,525,2,0,523,+67,1.146
04-18-2020,552,2,0,550,+27,1.051
04-19-2020,581,2,0,579,+29,1.053
04-20-2020,604,2,0,602,+23,1.040
04-21-2020,626,2,0,624,+22,1.036
04-22-2020,681,2,0,679,+55,1.088
04-23-2020,721,2,0,719,+40,1.059
04-24-2020,753,2,0,751,+32,1.044
04-25-2020,780,2,0,778,+27,1.036
04-26-2020,824,2,0,822,+44,1.056
04-27-2020,859,2,0,857,+35,1.042
04-28-2020,896,2,0,894,+37,1.043
04-29-2020,931,2,0,929,+35,1.039
04-30-2020,964,31,0,933,+33,1.035
05-01-2020,1012,31,0,981,+48,1.050
05-02-2020,1058,31,0,1027,+46,1.045
05-03-2020,1109,31,0,1078,+51,1.048
05-04-2020,1157,31,0,1126,+48,1.043
05-05-2020,1181,31,0,1150,+24,1.021
05-06-2020,1252,31,0,1221,+71,1.060
05-07-2020,1308,40,0,1268,+56,1.045
05-08-2020,1375,40,0,1335,+67,1.051
05-09-2020,1404,40,0,1364,+29,1.021
05-10-2020,1438,40,0,1398,+34,1.024
05-11-2020,1496,40,0,1456,+58,1.040
05-12-2020,1551,40,0,1511,+55,1.037
05-13-2020,1592,40,0,1552,+41,1.026
05-14-2020,1624,54,0,1570,+32,1.020
05-15-2020,1680,54,0,1626,+56,1.034
05-16-2020,1723,54,0,1669,+43,1.026
05-17-2020,1747,54,0,1693,+24,1.014
05-18-2020,1764,54,0,1710,+17,1.010
05-19-2020,1820,54,0,1766,+56,1.032
05-20-2020,1932,54,0,1878,+112,1.062
05-21-2020,1963,81,0,1882,+31,1.016
05-22-2020,2004,81,0,1923,+41,1.021
05-23-2020,2049,81,0,1968,+45,1.022
05-24-2020,2095,81,0,2014,+46,1.022
05-25-2020,2132,81,0,2051,+37,1.018
05-26-2020,2149,81,0,2068,+17,1.008
05-27-2020,2183,81,0,2102,+34,1.016
05-28-2020,2254,81,0,2173,+71,1.033
05-29-2020,2342,134,0,2208,+88,1.039
05-30-2020,2342,134,0,2208,+0,1.000
05-31-2020,2464,139,0,2325,+122,1.052
06-01-2020,2486,139,0,2347,+22,1.009
06-02-2020,2528,148,0,2380,+42,1.017
06-03-2020,2554,155,0,2399,+26,1.010
