Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,20,0,0,0,+0,0.000
03-23-2020,24,0,0,0,+4,1.200
03-24-2020,31,0,0,0,+7,1.292
03-25-2020,38,0,0,0,+7,1.226
03-26-2020,43,0,0,0,+5,1.132
03-27-2020,50,0,0,0,+7,1.163
03-28-2020,58,0,0,0,+8,1.160
03-29-2020,66,0,0,0,+8,1.138
03-30-2020,66,0,0,0,+0,1.000
03-31-2020,90,0,0,0,+24,1.364
04-01-2020,109,0,0,0,+19,1.211
04-02-2020,118,0,0,0,+9,1.083
04-03-2020,139,0,0,0,+21,1.178
04-04-2020,140,0,0,0,+1,1.007
04-05-2020,154,0,0,0,+14,1.100
04-06-2020,158,0,0,0,+4,1.026
04-07-2020,169,0,0,0,+11,1.070
04-08-2020,178,1,0,0,+9,1.053
04-09-2020,203,2,0,0,+25,1.140
04-10-2020,219,2,0,0,+16,1.079
04-11-2020,234,2,0,0,+15,1.068
04-12-2020,247,2,0,245,+13,1.056
04-13-2020,259,2,0,257,+12,1.049
04-14-2020,263,2,0,261,+4,1.015
04-15-2020,280,4,0,276,+17,1.065
04-16-2020,301,4,0,297,+21,1.075
04-17-2020,314,5,0,309,+13,1.043
04-18-2020,325,5,0,320,+11,1.035
04-19-2020,337,5,0,332,+12,1.037
04-20-2020,347,5,0,342,+10,1.030
04-21-2020,357,6,0,351,+10,1.029
04-22-2020,377,6,0,371,+20,1.056
04-23-2020,383,6,0,377,+6,1.016
04-24-2020,401,6,0,395,+18,1.047
04-25-2020,412,7,0,405,+11,1.027
04-26-2020,415,7,0,408,+3,1.007
04-27-2020,421,7,0,414,+6,1.014
04-28-2020,435,7,0,428,+14,1.033
04-29-2020,450,7,0,443,+15,1.034
04-30-2020,470,8,0,462,+20,1.044
05-01-2020,496,8,0,488,+26,1.055
05-02-2020,505,8,0,497,+9,1.018
05-03-2020,507,8,0,499,+2,1.004
05-04-2020,542,9,0,533,+35,1.069
05-05-2020,565,9,0,556,+23,1.042
05-06-2020,588,11,0,577,+23,1.041
05-07-2020,600,11,0,589,+12,1.020
05-08-2020,657,11,0,646,+57,1.095
05-09-2020,663,15,0,648,+6,1.009
05-10-2020,670,15,0,655,+7,1.011
05-11-2020,675,15,0,660,+5,1.007
05-12-2020,681,17,0,664,+6,1.009
05-13-2020,698,17,0,681,+17,1.025
05-14-2020,717,18,0,699,+19,1.027
05-15-2020,745,20,0,725,+28,1.039
05-16-2020,768,22,0,746,+23,1.031
05-17-2020,773,22,0,751,+5,1.007
05-18-2020,772,22,0,750,+-1,0.999
05-19-2020,786,22,0,764,+14,1.018
05-20-2020,800,23,0,777,+14,1.018
05-21-2020,825,24,0,801,+25,1.031
05-22-2020,855,24,0,831,+30,1.036
05-23-2020,877,24,0,853,+22,1.026
05-24-2020,893,24,0,869,+16,1.018
05-25-2020,898,24,0,874,+5,1.006
05-26-2020,904,24,0,880,+6,1.007
05-27-2020,920,24,0,896,+16,1.018
05-28-2020,959,24,0,935,+39,1.042
05-29-2020,971,25,0,946,+12,1.013
05-30-2020,999,25,0,974,+28,1.029
05-31-2020,1006,25,0,981,+7,1.007
06-01-2020,1028,26,0,1002,+22,1.022
06-02-2020,1035,26,0,1009,+7,1.007
06-03-2020,1066,26,0,1040,+31,1.030
