Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,24,0,0,0,+0,0.000
03-23-2020,26,0,0,0,+2,1.083
03-24-2020,30,0,0,0,+4,1.154
03-25-2020,35,0,0,0,+5,1.167
03-26-2020,49,0,0,0,+14,1.400
03-27-2020,62,0,0,0,+13,1.265
03-28-2020,73,0,0,0,+11,1.177
03-29-2020,81,0,0,0,+8,1.110
03-30-2020,96,1,0,0,+15,1.185
03-31-2020,117,2,0,0,+21,1.219
04-01-2020,142,2,0,0,+25,1.214
04-02-2020,152,2,0,0,+10,1.070
04-03-2020,166,2,0,0,+14,1.092
04-04-2020,180,3,0,0,+14,1.084
04-05-2020,199,3,0,0,+19,1.106
04-06-2020,214,3,0,0,+15,1.075
04-07-2020,236,3,0,0,+22,1.103
04-08-2020,274,3,0,0,+38,1.161
04-09-2020,299,5,0,0,+25,1.091
04-10-2020,319,5,0,0,+20,1.067
04-11-2020,351,6,0,0,+32,1.100
04-12-2020,371,6,0,365,+20,1.057
04-13-2020,386,8,0,378,+15,1.040
04-14-2020,403,9,0,394,+17,1.044
04-15-2020,424,9,0,415,+21,1.052
04-16-2020,451,10,0,441,+27,1.064
04-17-2020,475,10,0,465,+24,1.053
04-18-2020,508,12,0,496,+33,1.069
04-19-2020,515,12,0,503,+7,1.014
04-20-2020,538,13,0,525,+23,1.045
04-21-2020,565,13,0,552,+27,1.050
04-22-2020,592,14,0,578,+27,1.048
04-23-2020,618,15,0,603,+26,1.044
04-24-2020,642,15,0,627,+24,1.039
04-25-2020,686,16,0,670,+44,1.069
04-26-2020,707,16,0,691,+21,1.031
04-27-2020,778,17,0,761,+71,1.100
04-28-2020,802,18,0,784,+24,1.031
04-29-2020,831,19,0,812,+29,1.036
04-30-2020,867,19,0,848,+36,1.043
05-01-2020,896,19,0,877,+29,1.033
05-02-2020,931,20,0,911,+35,1.039
05-03-2020,969,20,0,949,+38,1.041
05-04-2020,992,22,0,970,+23,1.024
05-05-2020,1010,23,0,987,+18,1.018
05-06-2020,1061,25,0,1036,+51,1.050
05-07-2020,1098,27,0,1071,+37,1.035
05-08-2020,1138,27,0,1111,+40,1.036
05-09-2020,1170,29,0,1141,+32,1.028
05-10-2020,1205,29,0,1176,+35,1.030
05-11-2020,1223,31,0,1192,+18,1.015
05-12-2020,1234,35,0,1199,+11,1.009
05-13-2020,1258,38,0,1220,+24,1.019
05-14-2020,1285,40,0,1245,+27,1.021
05-15-2020,1313,40,0,1273,+28,1.022
05-16-2020,1352,43,0,1309,+39,1.030
05-17-2020,1378,43,0,1335,+26,1.019
05-18-2020,1416,45,0,1371,+38,1.028
05-19-2020,1465,49,0,1416,+49,1.035
05-20-2020,1494,50,0,1444,+29,1.020
05-21-2020,1548,49,0,1499,+54,1.036
05-22-2020,1586,50,0,1536,+38,1.025
05-23-2020,1638,52,0,1586,+52,1.033
05-24-2020,1667,52,0,1615,+29,1.018
05-25-2020,1716,52,0,1664,+49,1.029
05-26-2020,1732,53,0,1679,+16,1.009
05-27-2020,1760,54,0,1706,+28,1.016
05-28-2020,1815,56,0,1759,+55,1.031
05-29-2020,1868,58,0,1810,+53,1.029
05-30-2020,1905,58,0,1847,+37,1.020
05-31-2020,1928,58,0,1870,+23,1.012
06-01-2020,1944,61,0,1883,+16,1.008
06-02-2020,1975,61,0,1914,+31,1.016
06-03-2020,2004,61,0,1943,+29,1.015
