Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,126,1,0,0,+0,0.000
03-23-2020,190,1,0,0,+64,1.508
03-24-2020,234,1,0,0,+44,1.232
03-25-2020,260,1,0,0,+26,1.111
03-26-2020,441,1,0,0,+181,1.696
03-27-2020,594,2,0,0,+153,1.347
03-28-2020,771,4,0,0,+177,1.298
03-29-2020,974,6,0,0,+203,1.263
03-30-2020,1314,7,0,0,+340,1.349
03-31-2020,1606,2,0,0,+292,1.222
04-01-2020,1910,29,0,0,+304,1.189
04-02-2020,2270,44,0,0,+360,1.188
04-03-2020,2835,59,0,0,+565,1.249
04-04-2020,3491,78,0,0,+656,1.231
04-05-2020,3924,87,0,0,+433,1.124
04-06-2020,4395,92,0,0,+471,1.120
04-07-2020,4949,103,0,0,+554,1.126
04-08-2020,5437,122,0,0,+488,1.099
04-09-2020,5879,132,0,0,+442,1.081
04-10-2020,6411,163,0,0,+532,1.090
04-11-2020,6851,183,0,0,+440,1.069
04-12-2020,7469,226,0,7243,+618,1.090
04-13-2020,7879,236,0,7643,+410,1.055
04-14-2020,8242,277,0,7965,+363,1.046
04-15-2020,8511,312,0,8199,+269,1.033
04-16-2020,9165,365,0,8800,+654,1.077
04-17-2020,9636,420,0,9216,+471,1.051
04-18-2020,9956,434,0,9522,+320,1.033
04-19-2020,10486,612,0,9874,+530,1.053
04-20-2020,11150,612,0,10538,+664,1.063
04-21-2020,11221,636,0,10585,+71,1.006
04-22-2020,12088,657,0,11431,+867,1.077
04-23-2020,12681,666,0,12015,+593,1.049
04-24-2020,13011,706,0,12305,+330,1.026
04-25-2020,13367,706,0,12661,+356,1.027
04-26-2020,13708,661,0,13047,+341,1.026
04-27-2020,13925,673,0,13252,+217,1.016
04-28-2020,14309,722,0,13587,+384,1.028
04-29-2020,14596,758,0,13838,+287,1.020
04-30-2020,14916,798,0,14118,+320,1.022
05-01-2020,15148,819,0,14329,+232,1.016
05-02-2020,15401,834,0,14567,+253,1.017
05-03-2020,15769,845,0,14924,+368,1.024
05-04-2020,15881,845,0,15036,+112,1.007
05-05-2020,16099,870,0,15229,+218,1.014
05-06-2020,16197,903,0,15294,+98,1.006
05-07-2020,17142,935,0,16207,+945,1.058
05-08-2020,17365,945,0,16420,+223,1.013
05-09-2020,17365,954,0,16411,+0,1.000
05-10-2020,17513,969,0,16544,+148,1.009
05-11-2020,17801,996,0,16805,+288,1.016
05-12-2020,17677,1000,0,16677,+-124,0.993
05-13-2020,17451,1007,0,16444,+-226,0.987
05-14-2020,17602,1032,0,16570,+151,1.009
05-15-2020,18048,1042,0,17006,+446,1.025
05-16-2020,18048,1045,0,17003,+0,1.000
05-17-2020,18498,1057,0,17441,+450,1.025
05-18-2020,18498,1068,0,17430,+0,1.000
05-19-2020,18679,1082,0,17597,+181,1.010
05-20-2020,18880,1106,0,17774,+201,1.011
05-21-2020,18880,1121,0,17759,+0,1.000
05-22-2020,18880,1134,0,17746,+0,1.000
05-23-2020,18959,1138,0,17821,+79,1.004
05-24-2020,18879,1139,0,17740,+-80,0.996
05-25-2020,18879,1137,0,17742,+0,1.000
05-26-2020,18927,1143,0,17784,+48,1.003
05-27-2020,18606,1158,0,17448,+-321,0.983
05-28-2020,18660,1161,0,17499,+54,1.003
05-29-2020,18919,1168,0,17751,+259,1.014
05-30-2020,18919,1173,0,17746,+0,1.000
05-31-2020,18767,1183,0,17584,+-152,0.992
06-01-2020,18801,1183,0,17618,+34,1.002
06-02-2020,18822,1188,0,17634,+21,1.001
06-03-2020,18852,1192,0,17660,+30,1.002
