Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,16,0,0,0,+0,0.000
03-23-2020,18,0,0,0,+2,1.125
03-24-2020,25,0,0,0,+7,1.389
03-25-2020,25,0,0,0,+0,1.000
03-26-2020,39,0,0,0,+14,1.560
03-27-2020,52,0,0,0,+13,1.333
03-28-2020,61,0,0,0,+9,1.173
03-29-2020,66,0,0,0,+5,1.082
03-30-2020,79,0,0,0,+13,1.197
03-31-2020,97,0,0,0,+18,1.228
04-01-2020,117,0,0,0,+20,1.206
04-02-2020,130,0,0,0,+13,1.111
04-03-2020,148,0,0,0,+18,1.138
04-04-2020,171,1,0,0,+23,1.155
04-05-2020,189,2,0,0,+18,1.105
04-06-2020,211,2,0,0,+22,1.116
04-07-2020,234,2,0,0,+23,1.109
04-08-2020,255,2,0,0,+21,1.090
04-09-2020,286,4,0,0,+31,1.122
04-10-2020,293,7,0,0,+7,1.024
04-11-2020,301,11,0,0,+8,1.027
04-12-2020,314,11,0,303,+13,1.043
04-13-2020,325,11,0,314,+11,1.035
04-14-2020,349,11,0,338,+24,1.074
04-15-2020,356,14,0,342,+7,1.020
04-16-2020,373,15,0,358,+17,1.048
04-17-2020,385,16,0,369,+12,1.032
04-18-2020,391,17,0,374,+6,1.016
04-19-2020,407,18,0,389,+16,1.041
04-20-2020,419,18,0,401,+12,1.029
04-21-2020,423,18,0,405,+4,1.010
04-22-2020,434,21,0,413,+11,1.026
04-23-2020,464,22,0,442,+30,1.069
04-24-2020,490,22,0,468,+26,1.056
04-25-2020,505,23,0,482,+15,1.031
04-26-2020,536,23,0,513,+31,1.061
04-27-2020,564,23,0,541,+28,1.052
04-28-2020,573,24,0,549,+9,1.016
04-29-2020,583,24,0,559,+10,1.017
04-30-2020,603,29,0,574,+20,1.034
05-01-2020,608,31,0,577,+5,1.008
05-02-2020,622,35,0,587,+14,1.023
05-03-2020,661,37,0,624,+39,1.063
05-04-2020,665,37,0,628,+4,1.006
05-05-2020,679,38,0,641,+14,1.021
05-06-2020,682,39,0,643,+3,1.004
05-07-2020,685,43,0,642,+3,1.004
05-08-2020,701,44,0,657,+16,1.023
05-09-2020,706,46,0,660,+5,1.007
05-10-2020,714,46,0,668,+8,1.011
05-11-2020,723,45,0,678,+9,1.013
05-12-2020,729,45,0,684,+6,1.008
05-13-2020,732,47,0,685,+3,1.004
05-14-2020,764,48,0,716,+32,1.044
05-15-2020,777,49,0,728,+13,1.017
05-16-2020,795,49,0,746,+18,1.023
05-17-2020,808,52,0,756,+13,1.016
05-18-2020,846,52,0,794,+38,1.047
05-19-2020,885,53,0,832,+39,1.046
05-20-2020,920,55,0,865,+35,1.040
05-21-2020,925,55,0,870,+5,1.005
05-22-2020,938,55,0,883,+13,1.014
05-23-2020,938,57,0,881,+0,1.000
05-24-2020,960,57,0,903,+22,1.023
05-25-2020,966,57,0,909,+6,1.006
05-26-2020,967,57,0,910,+1,1.001
05-27-2020,973,57,0,916,+6,1.006
05-28-2020,974,58,0,916,+1,1.001
05-29-2020,981,58,0,923,+7,1.007
05-30-2020,985,60,0,925,+4,1.004
05-31-2020,993,60,0,933,+8,1.008
06-01-2020,996,60,0,936,+3,1.003
06-02-2020,999,60,0,939,+3,1.003
06-03-2020,1006,61,0,945,+7,1.007
