Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,6,0,0,0,+0,0.000
03-23-2020,6,0,0,0,+0,1.000
03-24-2020,6,0,0,0,+0,1.000
03-25-2020,9,0,0,0,+3,1.500
03-26-2020,9,0,0,0,+0,1.000
03-27-2020,17,0,0,0,+8,1.889
03-28-2020,21,0,0,0,+4,1.235
03-29-2020,25,0,0,0,+4,1.190
03-30-2020,25,0,0,0,+0,1.000
03-31-2020,33,0,0,0,+8,1.320
04-01-2020,38,0,0,0,+5,1.152
04-02-2020,43,1,0,0,+5,1.132
04-03-2020,52,1,0,0,+9,1.209
04-04-2020,55,1,0,0,+3,1.058
04-05-2020,57,2,0,0,+2,1.036
04-06-2020,65,3,0,0,+8,1.140
04-07-2020,68,3,0,0,+3,1.046
04-08-2020,73,3,0,0,+5,1.074
04-09-2020,75,3,0,0,+2,1.027
04-10-2020,79,3,0,0,+4,1.053
04-11-2020,79,3,0,0,+0,1.000
04-12-2020,87,3,0,84,+8,1.101
04-13-2020,87,3,0,84,+0,1.000
04-14-2020,100,3,0,97,+13,1.149
04-15-2020,117,3,0,114,+17,1.170
04-16-2020,127,3,0,124,+10,1.085
04-17-2020,143,3,0,140,+16,1.126
04-18-2020,155,3,0,152,+12,1.084
04-19-2020,155,3,0,152,+0,1.000
04-20-2020,160,3,0,157,+5,1.032
04-21-2020,175,4,0,171,+15,1.094
04-22-2020,195,5,0,190,+20,1.114
04-23-2020,232,8,0,224,+37,1.190
04-24-2020,251,8,0,243,+19,1.082
04-25-2020,251,8,0,243,+0,1.000
04-26-2020,251,8,0,243,+0,1.000
04-27-2020,281,8,0,273,+30,1.120
04-28-2020,284,8,0,276,+3,1.011
04-29-2020,319,8,0,311,+35,1.123
04-30-2020,319,8,0,311,+0,1.000
05-01-2020,333,9,0,324,+14,1.044
05-02-2020,358,9,0,349,+25,1.075
05-03-2020,358,9,0,349,+0,1.000
05-04-2020,368,9,0,359,+10,1.028
05-05-2020,400,9,0,391,+32,1.087
05-06-2020,419,10,0,409,+19,1.048
05-07-2020,455,11,0,444,+36,1.086
05-08-2020,512,12,0,500,+57,1.125
05-09-2020,512,12,0,500,+0,1.000
05-10-2020,512,12,0,500,+0,1.000
05-11-2020,564,12,0,552,+52,1.102
05-12-2020,603,13,0,590,+39,1.069
05-13-2020,647,14,0,633,+44,1.073
05-14-2020,712,15,0,697,+65,1.100
05-15-2020,786,15,0,771,+74,1.104
05-16-2020,786,15,0,771,+0,1.000
05-17-2020,786,15,0,771,+0,1.000
05-18-2020,876,15,0,861,+90,1.115
05-19-2020,902,18,0,884,+26,1.030
05-20-2020,985,19,0,966,+83,1.092
05-21-2020,1076,21,0,1055,+91,1.092
05-22-2020,1076,21,0,1055,+0,1.000
05-23-2020,1145,23,0,1122,+69,1.064
05-24-2020,1145,23,0,1122,+0,1.000
05-25-2020,1274,23,0,1251,+129,1.113
05-26-2020,1352,24,0,1328,+78,1.061
05-27-2020,1352,24,0,1328,+0,1.000
05-28-2020,1443,26,0,1417,+91,1.067
05-29-2020,1634,27,0,1607,+191,1.132
05-30-2020,1634,27,0,1607,+0,1.000
05-31-2020,1634,27,0,1607,+0,1.000
06-01-2020,1751,29,0,1722,+117,1.072
06-02-2020,1798,29,0,1769,+47,1.027
06-03-2020,2025,29,0,1996,+227,1.126
