Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,71,0,0,0,+0,0.000
03-23-2020,86,0,0,0,+15,1.211
03-24-2020,91,0,0,0,+5,1.058
03-25-2020,129,0,0,0,+38,1.418
03-26-2020,159,0,0,0,+30,1.233
03-27-2020,177,0,0,0,+18,1.113
03-28-2020,195,0,0,0,+18,1.102
03-29-2020,245,0,0,0,+50,1.256
03-30-2020,254,0,0,0,+9,1.037
03-31-2020,270,0,0,0,+16,1.063
04-01-2020,292,4,0,0,+22,1.081
04-02-2020,314,4,0,0,+22,1.075
04-03-2020,351,6,0,0,+37,1.118
04-04-2020,373,9,0,0,+22,1.063
04-05-2020,416,9,0,0,+43,1.115
04-06-2020,423,10,0,0,+7,1.017
04-07-2020,457,12,0,0,+34,1.080
04-08-2020,479,13,0,0,+22,1.048
04-09-2020,507,14,0,0,+28,1.058
04-10-2020,536,14,0,0,+29,1.057
04-11-2020,579,15,0,0,+43,1.080
04-12-2020,597,15,0,582,+18,1.031
04-13-2020,612,15,0,597,+15,1.025
04-14-2020,620,16,0,604,+8,1.013
04-15-2020,625,17,0,608,+5,1.008
04-16-2020,634,22,0,612,+9,1.014
04-17-2020,651,24,0,627,+17,1.027
04-18-2020,671,25,0,646,+20,1.031
04-19-2020,682,25,0,657,+11,1.016
04-20-2020,688,26,0,662,+6,1.009
04-21-2020,698,26,0,672,+10,1.015
04-22-2020,726,31,0,695,+28,1.040
04-23-2020,778,32,0,746,+52,1.072
04-24-2020,797,33,0,764,+19,1.024
04-25-2020,797,33,0,764,+0,1.000
04-26-2020,839,33,0,806,+42,1.053
04-27-2020,839,36,0,803,+0,1.000
04-28-2020,861,41,0,820,+22,1.026
04-29-2020,880,43,0,837,+19,1.022
04-30-2020,886,46,0,840,+6,1.007
05-01-2020,929,48,0,881,+43,1.049
05-02-2020,946,48,0,898,+17,1.018
05-03-2020,969,48,0,921,+23,1.024
05-04-2020,992,48,0,944,+23,1.024
05-05-2020,1020,49,0,971,+28,1.028
05-06-2020,1048,53,0,995,+28,1.027
05-07-2020,1065,57,0,1008,+17,1.016
05-08-2020,1094,59,0,1035,+29,1.027
05-09-2020,1109,60,0,1049,+15,1.014
05-10-2020,1121,60,0,1061,+12,1.011
05-11-2020,1131,61,0,1070,+10,1.009
05-12-2020,1153,62,0,1091,+22,1.019
05-13-2020,1199,64,0,1135,+46,1.040
05-14-2020,1237,69,0,1168,+38,1.032
05-15-2020,1258,71,0,1187,+21,1.017
05-16-2020,1299,73,0,1226,+41,1.033
05-17-2020,1333,74,0,1259,+34,1.026
05-18-2020,1355,74,0,1281,+22,1.017
05-19-2020,1367,78,0,1289,+12,1.009
05-20-2020,1433,83,0,1350,+66,1.048
05-21-2020,1453,85,0,1368,+20,1.014
05-22-2020,1498,88,0,1410,+45,1.031
05-23-2020,1573,88,0,1485,+75,1.050
05-24-2020,1614,88,0,1526,+41,1.026
05-25-2020,1630,91,0,1539,+16,1.010
05-26-2020,1645,96,0,1549,+15,1.009
05-27-2020,1673,97,0,1576,+28,1.017
05-28-2020,1712,100,0,1612,+39,1.023
05-29-2020,1744,102,0,1642,+32,1.019
05-30-2020,1780,102,0,1678,+36,1.021
05-31-2020,1837,102,0,1735,+57,1.032
06-01-2020,1859,103,0,1756,+22,1.012
06-02-2020,1882,103,0,1779,+23,1.012
06-03-2020,1884,103,0,1781,+2,1.001
