Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,51,0,0,0,+0,0.000
03-23-2020,55,0,0,0,+4,1.078
03-24-2020,55,0,0,0,+0,1.000
03-25-2020,93,2,0,0,+38,1.691
03-26-2020,131,2,0,0,+38,1.409
03-27-2020,131,2,0,0,+0,1.000
03-28-2020,158,5,0,0,+27,1.206
03-29-2020,213,5,0,0,+55,1.348
03-30-2020,213,5,0,0,+0,1.000
03-31-2020,304,6,0,0,+91,1.427
04-01-2020,304,6,0,0,+0,1.000
04-02-2020,356,7,0,0,+52,1.171
04-03-2020,385,9,0,0,+29,1.081
04-04-2020,440,13,0,0,+55,1.143
04-05-2020,519,17,0,0,+79,1.180
04-06-2020,540,18,0,0,+21,1.040
04-07-2020,579,18,0,0,+39,1.072
04-08-2020,610,23,0,0,+31,1.054
04-09-2020,610,23,0,0,+0,1.000
04-10-2020,660,23,0,0,+50,1.082
04-11-2020,683,25,0,0,+23,1.035
04-12-2020,763,29,0,734,+80,1.117
04-13-2020,787,30,0,757,+24,1.031
04-14-2020,809,31,0,778,+22,1.028
04-15-2020,809,31,0,778,+0,1.000
04-16-2020,837,32,0,805,+28,1.035
04-17-2020,860,33,0,827,+23,1.027
04-18-2020,888,35,0,853,+28,1.033
04-19-2020,957,36,0,921,+69,1.078
04-20-2020,957,36,0,921,+0,1.000
04-21-2020,1011,40,0,971,+54,1.056
