Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,25,1,0,0,+0,0.000
03-23-2020,33,1,0,0,+8,1.320
03-24-2020,33,1,0,0,+0,1.000
03-25-2020,35,2,0,0,+2,1.061
03-26-2020,35,2,0,0,+0,1.000
03-27-2020,35,2,0,0,+0,1.000
03-28-2020,103,3,0,0,+68,2.943
03-29-2020,97,3,0,0,+-6,0.942
03-30-2020,116,3,0,0,+19,1.196
03-31-2020,206,3,0,0,+90,1.776
04-01-2020,206,7,0,0,+0,1.000
04-02-2020,228,7,0,0,+22,1.107
04-03-2020,228,11,0,0,+0,1.000
04-04-2020,299,11,0,0,+71,1.311
04-05-2020,304,17,0,0,+5,1.017
04-06-2020,304,17,0,0,+0,1.000
04-07-2020,319,22,0,0,+15,1.049
04-08-2020,319,22,0,0,+0,1.000
04-09-2020,380,26,0,0,+61,1.191
04-10-2020,380,26,0,0,+0,1.000
04-11-2020,380,26,0,0,+0,1.000
04-12-2020,495,26,0,469,+115,1.303
04-13-2020,550,42,0,508,+55,1.111
04-14-2020,531,46,0,485,+-19,0.965
04-15-2020,573,46,0,527,+42,1.079
04-16-2020,600,56,0,544,+27,1.047
04-17-2020,599,60,0,539,+-1,0.998
04-18-2020,689,60,0,629,+90,1.150
04-19-2020,814,60,0,754,+125,1.181
04-20-2020,867,67,0,800,+53,1.065
04-21-2020,925,70,0,855,+58,1.067
04-22-2020,954,76,0,878,+29,1.031
04-23-2020,1008,78,0,930,+54,1.057
04-24-2020,1121,78,0,1043,+113,1.112
04-25-2020,1121,81,0,1040,+0,1.000
04-26-2020,1120,81,0,1039,+-1,0.999
04-27-2020,1140,83,0,1057,+20,1.018
04-28-2020,1224,85,0,1139,+84,1.074
04-29-2020,1281,90,0,1191,+57,1.047
04-30-2020,1307,91,0,1216,+26,1.020
05-01-2020,1352,93,0,1259,+45,1.034
05-02-2020,1352,93,0,1259,+0,1.000
05-03-2020,1403,95,0,1308,+51,1.038
05-04-2020,1419,101,0,1318,+16,1.011
05-05-2020,1497,105,0,1392,+78,1.055
05-06-2020,1535,106,0,1429,+38,1.025
05-07-2020,1578,107,0,1471,+43,1.028
05-08-2020,1610,108,0,1502,+32,1.020
05-09-2020,1642,109,0,1533,+32,1.020
05-10-2020,1642,109,0,1533,+0,1.000
05-11-2020,1691,112,0,1579,+49,1.030
05-12-2020,1713,115,0,1598,+22,1.013
05-13-2020,1713,115,0,1598,+0,1.000
05-14-2020,1741,115,0,1626,+28,1.016
05-15-2020,1772,116,0,1656,+31,1.018
05-16-2020,1865,117,0,1748,+93,1.052
05-17-2020,1865,117,0,1748,+0,1.000
05-18-2020,1916,129,0,1787,+51,1.027
05-19-2020,1959,131,0,1828,+43,1.022
05-20-2020,1968,137,0,1831,+9,1.005
05-21-2020,1994,139,0,1855,+26,1.013
05-22-2020,2021,141,0,1880,+27,1.014
05-23-2020,2050,141,0,1909,+29,1.014
05-24-2020,2050,141,0,1909,+0,1.000
05-25-2020,2050,141,0,1909,+0,1.000
05-26-2020,2219,142,0,2077,+169,1.082
05-27-2020,2253,144,0,2109,+34,1.015
05-28-2020,2267,145,0,2122,+14,1.006
05-29-2020,2329,145,0,2184,+62,1.027
05-30-2020,2437,153,0,2284,+108,1.046
05-31-2020,2437,153,0,2284,+0,1.000
06-01-2020,2519,156,0,2363,+82,1.034
06-02-2020,2562,157,0,2405,+43,1.017
06-03-2020,2612,160,0,2452,+50,1.020
