Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,166,3,0,0,+0,0.000
03-23-2020,252,5,0,0,+86,1.518
03-24-2020,293,6,0,0,+41,1.163
03-25-2020,359,7,0,0,+66,1.225
03-26-2020,458,12,0,0,+99,1.276
03-27-2020,548,24,0,0,+90,1.197
03-28-2020,744,26,0,0,+196,1.358
03-29-2020,761,28,0,0,+17,1.023
03-30-2020,838,37,0,0,+77,1.101
03-31-2020,1193,57,0,0,+355,1.424
04-01-2020,1433,64,0,0,+240,1.201
04-02-2020,2178,73,0,0,+745,1.520
04-03-2020,2495,85,0,0,+317,1.146
04-04-2020,3008,95,0,0,+513,1.206
04-05-2020,3088,113,0,0,+80,1.027
04-06-2020,3530,121,0,0,+442,1.143
04-07-2020,3922,137,0,0,+392,1.111
04-08-2020,4092,149,0,0,+170,1.043
04-09-2020,4480,158,0,0,+388,1.095
04-10-2020,4678,165,0,0,+198,1.044
04-11-2020,4877,166,0,0,+199,1.043
04-12-2020,4990,173,0,4817,+113,1.023
04-13-2020,5088,186,0,4902,+98,1.020
