Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,3,0,0,0,+0,0.000
03-23-2020,6,0,0,0,+3,2.000
03-24-2020,6,0,0,0,+0,1.000
03-25-2020,6,0,0,0,+0,1.000
03-26-2020,7,1,0,0,+1,1.167
03-27-2020,8,1,0,0,+1,1.143
03-28-2020,12,1,0,0,+4,1.500
03-29-2020,16,1,0,0,+4,1.333
03-30-2020,18,1,0,0,+2,1.125
03-31-2020,18,1,0,0,+0,1.000
04-01-2020,27,1,0,0,+9,1.500
04-02-2020,31,1,0,0,+4,1.148
04-03-2020,40,1,0,0,+9,1.290
04-04-2020,40,1,0,0,+0,1.000
04-05-2020,58,2,0,0,+18,1.450
04-06-2020,59,2,0,0,+1,1.017
04-07-2020,78,2,0,0,+19,1.322
04-08-2020,78,2,0,0,+0,1.000
04-09-2020,87,5,0,0,+9,1.115
04-10-2020,94,5,0,0,+7,1.080
04-11-2020,100,5,0,0,+6,1.064
04-12-2020,100,5,0,95,+0,1.000
04-13-2020,127,6,0,121,+27,1.270
04-14-2020,134,6,0,128,+7,1.055
04-15-2020,140,6,0,134,+6,1.045
04-16-2020,143,6,0,137,+3,1.021
04-17-2020,157,7,0,150,+14,1.098
04-18-2020,171,9,0,162,+14,1.089
04-19-2020,171,9,0,162,+0,1.000
04-20-2020,180,10,0,170,+9,1.053
04-21-2020,196,10,0,186,+16,1.089
