Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,12,1,0,0,+0,0.000
03-23-2020,12,1,0,0,+0,1.000
03-24-2020,18,3,0,0,+6,1.500
03-25-2020,24,3,0,0,+6,1.333
03-26-2020,36,3,0,0,+12,1.500
03-27-2020,42,3,0,0,+6,1.167
03-28-2020,52,3,0,0,+10,1.238
03-29-2020,71,3,0,0,+19,1.365
03-30-2020,81,3,0,0,+10,1.141
03-31-2020,101,3,0,0,+20,1.247
04-01-2020,118,3,0,0,+17,1.168
04-02-2020,126,3,0,0,+8,1.068
04-03-2020,136,4,0,0,+10,1.079
04-04-2020,153,6,0,0,+17,1.125
04-05-2020,167,6,0,0,+14,1.092
04-06-2020,195,6,0,0,+28,1.168
04-07-2020,212,7,0,0,+17,1.087
04-08-2020,230,8,0,0,+18,1.085
04-09-2020,248,11,0,0,+18,1.078
04-10-2020,270,16,0,0,+22,1.089
04-11-2020,287,19,0,0,+17,1.063
04-12-2020,317,20,0,297,+30,1.105
04-13-2020,327,20,0,307,+10,1.032
04-14-2020,329,21,0,308,+2,1.006
04-15-2020,347,25,0,322,+18,1.055
04-16-2020,358,30,0,328,+11,1.032
04-17-2020,371,30,0,341,+13,1.036
04-18-2020,393,31,0,362,+22,1.059
04-19-2020,411,32,0,379,+18,1.046
04-20-2020,426,33,0,393,+15,1.036
04-21-2020,451,39,0,412,+25,1.059
04-22-2020,456,40,0,416,+5,1.011
04-23-2020,478,43,0,435,+22,1.048
04-24-2020,511,48,0,463,+33,1.069
04-25-2020,530,50,0,480,+19,1.037
04-26-2020,533,51,0,482,+3,1.006
04-27-2020,538,51,0,487,+5,1.009
04-28-2020,548,58,0,490,+10,1.019
04-29-2020,563,62,0,501,+15,1.027
04-30-2020,579,62,0,517,+16,1.028
05-01-2020,616,67,0,549,+37,1.064
05-02-2020,668,69,0,599,+52,1.084
05-03-2020,706,72,0,634,+38,1.057
05-04-2020,718,72,0,646,+12,1.017
05-05-2020,730,75,0,655,+12,1.017
05-06-2020,746,77,0,669,+16,1.022
05-07-2020,754,77,0,677,+8,1.011
05-08-2020,769,83,0,686,+15,1.020
05-09-2020,790,85,0,705,+21,1.027
05-10-2020,807,85,0,722,+17,1.022
05-11-2020,827,90,0,737,+20,1.025
05-12-2020,840,91,0,749,+13,1.016
05-13-2020,838,91,0,747,+-2,0.998
05-14-2020,952,91,0,861,+114,1.136
05-15-2020,959,93,0,866,+7,1.007
05-16-2020,980,94,0,886,+21,1.022
05-17-2020,992,94,0,898,+12,1.012
05-18-2020,1002,94,0,908,+10,1.010
05-19-2020,1016,97,0,919,+14,1.014
05-20-2020,1029,99,0,930,+13,1.013
05-21-2020,1049,102,0,947,+20,1.019
05-22-2020,1052,102,0,950,+3,1.003
05-23-2020,1065,102,0,963,+13,1.012
05-24-2020,1080,104,0,976,+15,1.014
05-25-2020,1082,104,0,978,+2,1.002
05-26-2020,1086,104,0,982,+4,1.004
05-27-2020,1092,104,0,988,+6,1.006
05-28-2020,1092,106,0,986,+0,1.000
05-29-2020,1093,108,0,985,+1,1.001
05-30-2020,1097,108,0,989,+4,1.004
05-31-2020,1105,108,0,997,+8,1.007
06-01-2020,1115,109,0,1006,+10,1.009
06-02-2020,1117,110,0,1007,+2,1.002
06-03-2020,1120,110,0,1010,+3,1.003
