Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,13,0,0,0,+0,0.000
03-23-2020,18,0,0,0,+5,1.385
03-24-2020,24,0,0,0,+6,1.333
03-25-2020,38,1,0,0,+14,1.583
03-26-2020,38,1,0,0,+0,1.000
03-27-2020,75,2,0,0,+37,1.974
03-28-2020,90,4,0,0,+15,1.200
03-29-2020,100,6,0,0,+10,1.111
03-30-2020,113,6,0,0,+13,1.130
03-31-2020,128,7,0,0,+15,1.133
04-01-2020,142,8,0,0,+14,1.109
04-02-2020,154,8,0,0,+12,1.085
04-03-2020,176,9,0,0,+22,1.143
04-04-2020,207,12,0,0,+31,1.176
04-05-2020,220,15,0,0,+13,1.063
04-06-2020,234,15,0,0,+14,1.064
04-07-2020,234,15,0,0,+0,1.000
04-08-2020,296,19,0,0,+62,1.265
04-09-2020,296,19,0,0,+0,1.000
04-10-2020,339,22,0,0,+43,1.145
04-11-2020,376,22,0,0,+37,1.109
04-12-2020,403,23,0,380,+27,1.072
04-13-2020,421,24,0,397,+18,1.045
04-14-2020,448,24,0,424,+27,1.064
04-15-2020,463,24,0,439,+15,1.033
04-16-2020,490,25,0,465,+27,1.058
04-17-2020,538,28,0,510,+48,1.098
04-18-2020,582,29,0,553,+44,1.082
04-19-2020,605,30,0,575,+23,1.040
04-20-2020,638,31,0,607,+33,1.055
04-21-2020,684,33,0,651,+46,1.072
04-22-2020,764,37,0,727,+80,1.117
04-23-2020,863,39,0,824,+99,1.130
04-24-2020,962,39,0,923,+99,1.115
04-25-2020,1049,38,0,1011,+87,1.090
04-26-2020,1109,39,0,1070,+60,1.057
04-27-2020,1185,39,0,1146,+76,1.069
04-28-2020,1308,41,0,1267,+123,1.104
04-29-2020,1412,45,0,1367,+104,1.080
04-30-2020,1526,48,0,1478,+114,1.081
05-01-2020,1677,52,0,1625,+151,1.099
05-02-2020,1803,54,0,1749,+126,1.075
05-03-2020,1935,57,0,1878,+132,1.073
05-04-2020,2115,57,0,2058,+180,1.093
05-05-2020,2206,65,0,2141,+91,1.043
05-06-2020,2331,74,0,2257,+125,1.057
05-07-2020,2498,77,0,2421,+167,1.072
05-08-2020,2668,84,0,2584,+170,1.068
05-09-2020,2818,88,0,2730,+150,1.056
05-10-2020,3003,89,0,2914,+185,1.066
05-11-2020,3126,90,0,3036,+123,1.041
05-12-2020,3592,93,0,3499,+466,1.149
05-13-2020,3744,98,0,3646,+152,1.042
05-14-2020,3995,104,0,3891,+251,1.067
05-15-2020,4159,107,0,4052,+164,1.041
05-16-2020,4263,109,0,4154,+104,1.025
05-17-2020,4396,115,0,4281,+133,1.031
05-18-2020,4584,115,0,4469,+188,1.043
05-19-2020,4682,120,0,4562,+98,1.021
05-20-2020,4813,136,0,4677,+131,1.028
05-21-2020,4981,145,0,4836,+168,1.035
05-22-2020,5327,150,0,5177,+346,1.069
05-23-2020,5484,152,0,5332,+157,1.029
05-24-2020,5645,152,0,5493,+161,1.029
05-25-2020,5761,152,0,5609,+116,1.021
05-26-2020,5866,153,0,5713,+105,1.018
05-27-2020,5947,162,0,5785,+81,1.014
05-28-2020,6083,167,0,5916,+136,1.023
05-29-2020,6188,170,0,6018,+105,1.017
05-30-2020,6259,176,0,6083,+71,1.011
05-31-2020,6338,178,0,6160,+79,1.013
06-01-2020,6404,178,0,6226,+66,1.010
06-02-2020,6467,186,0,6281,+63,1.010
06-03-2020,6518,192,0,6326,+51,1.008
