Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-23-2020,17,0,0,0,+0,0.000
03-24-2020,21,0,0,0,+4,1.235
03-25-2020,43,0,0,0,+22,2.048
03-26-2020,64,0,0,0,+21,1.488
03-27-2020,78,0,0,0,+14,1.219
03-28-2020,94,0,0,0,+16,1.205
03-29-2020,102,0,0,0,+8,1.085
03-30-2020,100,0,0,0,+-2,0.980
03-31-2020,119,0,0,0,+19,1.190
04-01-2020,128,0,0,0,+9,1.076
04-02-2020,139,0,0,0,+11,1.086
04-03-2020,139,2,0,0,+0,1.000
04-04-2020,172,2,0,0,+33,1.237
04-05-2020,172,2,0,0,+0,1.000
04-06-2020,212,0,0,0,+40,1.233
04-07-2020,234,5,0,0,+22,1.104
04-08-2020,234,7,0,0,+0,1.000
04-09-2020,249,7,0,0,+15,1.064
04-10-2020,300,8,0,0,+51,1.205
04-11-2020,300,8,0,0,+0,1.000
04-12-2020,308,8,0,300,+8,1.027
04-13-2020,329,8,0,321,+21,1.068
04-14-2020,346,12,0,334,+17,1.052
04-15-2020,351,12,0,339,+5,1.014
04-16-2020,386,12,0,374,+35,1.100
04-17-2020,401,13,0,388,+15,1.039
04-18-2020,412,13,0,399,+11,1.027
04-19-2020,418,13,0,405,+6,1.015
04-20-2020,420,13,0,407,+2,1.005
04-21-2020,438,13,0,425,+18,1.043
04-22-2020,448,13,0,435,+10,1.023
04-23-2020,461,14,0,447,+13,1.029
04-24-2020,475,15,0,460,+14,1.030
04-25-2020,486,15,0,471,+11,1.023
04-26-2020,493,15,0,478,+7,1.014
04-27-2020,500,15,0,485,+7,1.014
04-28-2020,511,16,0,495,+11,1.022
04-29-2020,520,16,0,504,+9,1.018
04-30-2020,545,16,0,529,+25,1.048
05-01-2020,578,16,0,562,+33,1.061
05-02-2020,597,16,0,581,+19,1.033
05-03-2020,609,16,0,593,+12,1.020
05-04-2020,659,16,0,643,+50,1.082
05-05-2020,683,16,0,667,+24,1.036
05-06-2020,706,16,0,690,+23,1.034
05-07-2020,723,16,0,707,+17,1.024
05-08-2020,739,16,0,723,+16,1.022
05-09-2020,752,16,0,736,+13,1.018
05-10-2020,767,16,0,751,+15,1.020
05-11-2020,783,16,0,767,+16,1.021
05-12-2020,791,16,0,775,+8,1.010
05-13-2020,808,16,0,792,+17,1.021
05-14-2020,838,17,0,821,+30,1.037
05-15-2020,848,18,0,830,+10,1.012
05-16-2020,863,18,0,845,+15,1.018
05-17-2020,895,19,0,876,+32,1.037
05-18-2020,901,20,0,881,+6,1.007
05-19-2020,902,21,0,881,+1,1.001
05-20-2020,924,23,0,901,+22,1.024
05-21-2020,927,23,0,904,+3,1.003
05-22-2020,967,24,0,943,+40,1.043
05-23-2020,991,24,0,967,+24,1.025
05-24-2020,1024,24,0,1000,+33,1.033
05-25-2020,1050,25,0,1025,+26,1.025
05-26-2020,1071,25,0,1046,+21,1.020
05-27-2020,1086,19,0,1067,+15,1.014
05-28-2020,1105,26,0,1079,+19,1.017
05-29-2020,1117,26,0,1091,+12,1.011
05-30-2020,1149,26,0,1123,+32,1.029
05-31-2020,1182,26,0,1156,+33,1.029
06-01-2020,1219,26,0,1193,+37,1.031
06-02-2020,1315,27,0,1288,+96,1.079
06-03-2020,1366,27,0,1339,+51,1.039
