Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,10,0,0,0,+0,0.000
03-23-2020,12,0,0,0,+2,1.200
03-24-2020,13,0,0,0,+1,1.083
03-25-2020,14,0,0,0,+1,1.077
03-26-2020,19,0,0,0,+5,1.357
03-27-2020,23,0,0,0,+4,1.211
03-28-2020,24,0,0,0,+1,1.043
03-29-2020,29,0,0,0,+5,1.208
03-30-2020,30,0,0,0,+1,1.034
03-31-2020,37,0,0,0,+7,1.233
04-01-2020,54,0,0,0,+17,1.459
04-02-2020,67,0,0,0,+13,1.241
04-03-2020,81,0,0,0,+14,1.209
04-04-2020,81,0,0,0,+0,1.000
04-05-2020,98,1,0,0,+17,1.210
04-06-2020,104,1,0,0,+6,1.061
04-07-2020,112,1,0,0,+8,1.077
04-08-2020,127,1,0,0,+15,1.134
04-09-2020,135,1,0,0,+8,1.063
04-10-2020,147,1,0,0,+12,1.089
04-11-2020,163,1,0,0,+16,1.109
04-12-2020,173,2,0,171,+10,1.061
04-13-2020,182,4,0,178,+9,1.052
04-14-2020,186,3,0,183,+4,1.022
04-15-2020,204,4,0,200,+18,1.097
04-16-2020,208,5,0,203,+4,1.020
04-17-2020,218,5,0,213,+10,1.048
04-18-2020,236,5,0,231,+18,1.083
04-19-2020,248,5,0,243,+12,1.051
04-20-2020,257,5,0,252,+9,1.036
04-21-2020,264,6,0,258,+7,1.027
04-22-2020,278,6,0,272,+14,1.053
04-23-2020,294,6,0,288,+16,1.058
04-24-2020,314,7,0,307,+20,1.068
04-25-2020,329,7,0,322,+15,1.048
04-26-2020,339,7,0,332,+10,1.030
04-27-2020,340,7,0,333,+1,1.003
04-28-2020,348,9,0,339,+8,1.024
04-29-2020,363,11,0,352,+15,1.043
04-30-2020,391,12,0,379,+28,1.077
05-01-2020,477,13,0,464,+86,1.220
05-02-2020,521,13,0,508,+44,1.092
05-03-2020,534,14,0,520,+13,1.025
05-04-2020,546,14,0,532,+12,1.022
05-05-2020,571,14,0,557,+25,1.046
05-06-2020,580,14,0,566,+9,1.016
05-07-2020,610,14,0,596,+30,1.052
05-08-2020,627,15,0,612,+17,1.028
05-09-2020,651,15,0,636,+24,1.038
05-10-2020,682,15,0,667,+31,1.048
05-11-2020,693,16,0,677,+11,1.016
05-12-2020,716,16,0,700,+23,1.033
05-13-2020,736,17,0,719,+20,1.028
05-14-2020,762,17,0,745,+26,1.035
05-15-2020,780,17,0,763,+18,1.024
05-16-2020,820,18,0,802,+40,1.051
05-17-2020,838,18,0,820,+18,1.022
05-18-2020,848,18,0,830,+10,1.012
05-19-2020,866,19,0,847,+18,1.021
05-20-2020,889,21,0,868,+23,1.027
05-21-2020,921,21,0,900,+32,1.036
05-22-2020,948,22,0,926,+27,1.029
05-23-2020,983,22,0,961,+35,1.037
05-24-2020,998,22,0,976,+15,1.015
05-25-2020,1001,22,0,979,+3,1.003
05-26-2020,1008,22,0,986,+7,1.007
05-27-2020,1033,24,0,1009,+25,1.025
05-28-2020,1088,25,0,1063,+55,1.053
05-29-2020,1131,27,0,1104,+43,1.040
05-30-2020,1165,30,0,1135,+34,1.030
05-31-2020,1168,30,0,1138,+3,1.003
06-01-2020,1178,30,0,1148,+10,1.009
06-02-2020,1201,30,0,1171,+23,1.020
06-03-2020,1217,30,0,1187,+16,1.013
