Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,5,0,0,0,+0,0.000
03-23-2020,6,0,0,0,+1,1.200
03-24-2020,10,0,0,0,+4,1.667
03-25-2020,14,0,0,0,+4,1.400
03-26-2020,17,0,0,0,+3,1.214
03-27-2020,21,0,0,0,+4,1.235
03-28-2020,25,2,0,0,+4,1.190
03-29-2020,25,3,0,0,+0,1.000
03-30-2020,27,3,0,0,+2,1.080
03-31-2020,34,3,0,0,+7,1.259
04-01-2020,41,3,0,0,+7,1.206
04-02-2020,43,2,0,0,+2,1.049
04-03-2020,54,2,0,0,+11,1.256
04-04-2020,68,2,0,0,+14,1.259
04-05-2020,86,2,0,0,+18,1.265
04-06-2020,128,3,0,0,+42,1.488
04-07-2020,147,4,0,0,+19,1.148
04-08-2020,201,4,0,0,+54,1.367
04-09-2020,214,4,0,0,+13,1.065
04-10-2020,230,4,0,0,+16,1.075
04-11-2020,255,4,0,0,+25,1.109
04-12-2020,281,4,0,277,+26,1.102
04-13-2020,288,6,0,282,+7,1.025
04-14-2020,329,7,0,322,+41,1.142
04-15-2020,345,7,0,338,+16,1.049
04-16-2020,352,9,0,343,+7,1.020
04-17-2020,384,9,0,375,+32,1.091
04-18-2020,417,10,0,407,+33,1.086
04-19-2020,417,10,0,407,+0,1.000
04-20-2020,430,13,0,417,+13,1.031
04-21-2020,459,14,0,445,+29,1.067
04-22-2020,503,15,0,488,+44,1.096
04-23-2020,539,15,0,524,+36,1.072
04-24-2020,558,15,0,543,+19,1.035
04-25-2020,579,18,0,561,+21,1.038
04-26-2020,625,22,0,603,+46,1.079
04-27-2020,652,23,0,629,+27,1.043
04-28-2020,728,23,0,705,+76,1.117
04-29-2020,743,25,0,718,+15,1.021
04-30-2020,759,26,0,733,+16,1.022
05-01-2020,773,27,0,746,+14,1.018
05-02-2020,793,29,0,764,+20,1.026
05-03-2020,821,30,0,791,+28,1.035
05-04-2020,833,30,0,803,+12,1.015
05-05-2020,847,32,0,815,+14,1.017
05-06-2020,891,33,0,858,+44,1.052
05-07-2020,945,34,0,911,+54,1.061
05-08-2020,963,36,0,927,+18,1.019
05-09-2020,985,38,0,947,+22,1.023
05-10-2020,985,38,0,947,+0,1.000
05-11-2020,1044,39,0,1005,+59,1.060
05-12-2020,1060,43,0,1017,+16,1.015
05-13-2020,1084,45,0,1039,+24,1.023
05-14-2020,1115,46,0,1069,+31,1.029
05-15-2020,1146,48,0,1098,+31,1.028
05-16-2020,1176,52,0,1124,+30,1.026
05-17-2020,1197,52,0,1145,+21,1.018
05-18-2020,1219,52,0,1167,+22,1.018
05-19-2020,1238,53,0,1185,+19,1.016
05-20-2020,1253,55,0,1198,+15,1.012
05-21-2020,1281,55,0,1226,+28,1.022
05-22-2020,1296,56,0,1240,+15,1.012
05-23-2020,1296,56,0,1240,+0,1.000
05-24-2020,1340,56,0,1284,+44,1.034
05-25-2020,1356,56,0,1300,+16,1.012
05-26-2020,1368,57,0,1311,+12,1.009
05-27-2020,1374,61,0,1313,+6,1.004
05-28-2020,1392,61,0,1331,+18,1.013
05-29-2020,1401,62,0,1339,+9,1.006
05-30-2020,1432,63,0,1369,+31,1.022
05-31-2020,1436,63,0,1373,+4,1.003
06-01-2020,1440,63,0,1377,+4,1.003
06-02-2020,1450,66,0,1384,+10,1.007
06-03-2020,1451,66,0,1385,+1,1.001
