Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,22,1,0,0,+0,0.000
03-23-2020,28,1,0,0,+6,1.273
03-24-2020,31,1,0,0,+3,1.107
03-25-2020,36,1,0,0,+5,1.161
03-26-2020,41,1,0,0,+5,1.139
03-27-2020,45,1,0,0,+4,1.098
03-28-2020,53,1,0,0,+8,1.178
03-29-2020,72,1,0,0,+19,1.358
03-30-2020,96,1,0,0,+24,1.333
03-31-2020,108,1,0,0,+12,1.125
04-01-2020,119,2,0,0,+11,1.102
04-02-2020,125,2,0,0,+6,1.050
04-03-2020,136,2,0,0,+11,1.088
04-04-2020,153,2,0,0,+17,1.125
04-05-2020,165,3,0,0,+12,1.078
04-06-2020,177,5,0,0,+12,1.073
04-07-2020,187,6,0,0,+10,1.056
04-08-2020,207,8,0,0,+20,1.107
04-09-2020,233,9,0,0,+26,1.126
04-10-2020,250,13,0,0,+17,1.073
04-11-2020,270,13,0,0,+20,1.080
04-12-2020,287,13,0,274,+17,1.063
04-13-2020,311,13,0,298,+24,1.084
04-14-2020,325,14,0,311,+14,1.045
04-15-2020,354,16,0,338,+29,1.089
04-16-2020,385,16,0,369,+31,1.088
04-17-2020,430,20,0,410,+45,1.117
04-18-2020,460,23,0,437,+30,1.070
04-19-2020,503,25,0,478,+43,1.093
04-20-2020,550,24,0,526,+47,1.093
04-21-2020,626,25,0,601,+76,1.138
04-22-2020,757,25,0,732,+131,1.209
04-23-2020,815,27,0,788,+58,1.077
04-24-2020,906,29,0,877,+91,1.112
04-25-2020,929,32,0,897,+23,1.025
04-26-2020,1031,32,0,999,+102,1.110
04-27-2020,1100,34,0,1066,+69,1.067
04-28-2020,1305,34,0,1271,+205,1.186
04-29-2020,1395,33,0,1362,+90,1.069
04-30-2020,1479,33,0,1446,+84,1.060
05-01-2020,1600,36,0,1564,+121,1.082
05-02-2020,1697,36,0,1661,+97,1.061
05-03-2020,1786,39,0,1747,+89,1.052
05-04-2020,1854,39,0,1815,+68,1.038
05-05-2020,1914,40,0,1874,+60,1.032
05-06-2020,2016,40,0,1976,+102,1.053
05-07-2020,2076,41,0,2035,+60,1.030
05-08-2020,2135,41,0,2094,+59,1.028
05-09-2020,2213,41,0,2172,+78,1.037
05-10-2020,2281,41,0,2240,+68,1.031
05-11-2020,2332,42,0,2290,+51,1.022
05-12-2020,2416,45,0,2371,+84,1.036
05-13-2020,2446,47,0,2399,+30,1.012
05-14-2020,2627,48,0,2579,+181,1.074
05-15-2020,2705,53,0,2652,+78,1.030
05-16-2020,2766,54,0,2712,+61,1.023
05-17-2020,2825,55,0,2770,+59,1.021
05-18-2020,2868,56,0,2812,+43,1.015
05-19-2020,2934,58,0,2876,+66,1.023
05-20-2020,3036,60,0,2976,+102,1.035
05-21-2020,3145,62,0,3083,+109,1.036
05-22-2020,3231,65,0,3166,+86,1.027
05-23-2020,3308,67,0,3241,+77,1.024
05-24-2020,3359,67,0,3292,+51,1.015
05-25-2020,3385,68,0,3317,+26,1.008
05-26-2020,3420,72,0,3348,+35,1.010
05-27-2020,3454,76,0,3378,+34,1.010
05-28-2020,3540,79,0,3461,+86,1.025
05-29-2020,3596,80,0,3516,+56,1.016
05-30-2020,3642,84,0,3558,+46,1.013
05-31-2020,3715,85,0,3630,+73,1.020
06-01-2020,3748,89,0,3659,+33,1.009
06-02-2020,3777,93,0,3684,+29,1.008
06-03-2020,3815,93,0,3722,+38,1.010
