Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,7,0,0,0,+0,0.000
03-23-2020,7,0,0,0,+0,1.000
03-24-2020,7,0,0,0,+0,1.000
03-25-2020,7,0,0,0,+0,1.000
03-26-2020,9,0,0,0,+2,1.286
03-27-2020,9,0,0,0,+0,1.000
03-28-2020,9,0,0,0,+0,1.000
03-29-2020,27,0,0,0,+18,3.000
03-30-2020,27,0,0,0,+0,1.000
03-31-2020,31,0,0,0,+4,1.148
04-01-2020,39,0,0,0,+8,1.258
04-02-2020,59,0,0,0,+20,1.513
04-03-2020,59,0,0,0,+0,1.000
04-04-2020,59,0,0,0,+0,1.000
04-05-2020,82,0,0,0,+23,1.390
04-06-2020,92,0,0,0,+10,1.122
04-07-2020,105,0,0,0,+13,1.141
04-08-2020,137,0,0,0,+32,1.305
04-09-2020,137,0,0,0,+0,1.000
04-10-2020,151,0,0,0,+14,1.102
04-11-2020,169,0,0,0,+18,1.119
04-12-2020,169,0,0,169,+0,1.000
04-13-2020,169,0,0,169,+0,1.000
04-14-2020,169,0,0,169,+0,1.000
04-15-2020,244,0,0,244,+75,1.444
04-16-2020,249,0,0,249,+5,1.020
04-17-2020,299,0,0,299,+50,1.201
04-18-2020,299,0,0,299,+0,1.000
04-19-2020,316,0,0,316,+17,1.057
04-20-2020,366,0,0,366,+50,1.158
04-21-2020,386,0,0,386,+20,1.055
04-22-2020,412,0,0,412,+26,1.067
04-23-2020,432,0,0,432,+20,1.049
04-24-2020,466,0,0,466,+34,1.079
04-25-2020,496,0,0,496,+30,1.064
04-26-2020,526,0,0,526,+30,1.060
04-27-2020,565,0,0,565,+39,1.074
04-28-2020,574,0,0,574,+9,1.016
04-29-2020,598,0,0,598,+24,1.042
04-30-2020,622,0,0,622,+24,1.040
05-01-2020,638,0,0,638,+16,1.026
05-02-2020,675,0,0,675,+37,1.058
05-03-2020,697,0,0,697,+22,1.033
05-04-2020,703,0,0,703,+6,1.009
05-05-2020,703,0,0,703,+0,1.000
05-06-2020,703,0,0,703,+0,1.000
05-07-2020,703,0,0,703,+0,1.000
05-08-2020,703,0,0,703,+0,1.000
05-09-2020,703,0,0,703,+0,1.000
05-10-2020,703,0,0,703,+0,1.000
05-11-2020,859,0,0,859,+156,1.222
05-12-2020,850,0,0,850,+-9,0.990
05-13-2020,883,0,0,883,+33,1.039
05-14-2020,883,0,0,883,+0,1.000
05-15-2020,883,0,0,883,+0,1.000
05-16-2020,883,0,0,883,+0,1.000
05-17-2020,883,0,0,883,+0,1.000
05-18-2020,883,0,0,883,+0,1.000
05-19-2020,883,0,0,883,+0,1.000
05-20-2020,958,0,0,958,+75,1.085
05-21-2020,974,0,0,974,+16,1.017
05-22-2020,985,0,0,985,+11,1.011
05-23-2020,1005,0,0,1005,+20,1.020
05-24-2020,1013,0,0,1013,+8,1.008
05-25-2020,1013,0,0,1013,+0,1.000
05-26-2020,1013,0,0,1013,+0,1.000
05-27-2020,1032,0,0,1032,+19,1.019
05-28-2020,1038,0,0,1038,+6,1.006
05-29-2020,1052,0,0,1052,+14,1.013
05-30-2020,1052,0,0,1052,+0,1.000
05-31-2020,1052,0,0,1052,+0,1.000
06-01-2020,1052,0,0,1052,+0,1.000
06-02-2020,1052,0,0,1052,+0,1.000
06-03-2020,1052,0,0,1052,+0,1.000
