Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,5,0,0,0,+0,0.000
03-23-2020,12,0,0,0,+7,2.400
03-24-2020,13,0,0,0,+1,1.083
03-25-2020,15,0,0,0,+2,1.154
03-26-2020,29,0,0,0,+14,1.933
03-27-2020,33,1,0,0,+4,1.138
03-28-2020,47,1,0,0,+14,1.424
03-29-2020,51,1,0,0,+4,1.085
03-30-2020,60,1,0,0,+9,1.176
03-31-2020,83,1,0,0,+23,1.383
04-01-2020,110,1,0,0,+27,1.325
04-02-2020,142,1,0,0,+32,1.291
04-03-2020,173,2,0,0,+31,1.218
04-04-2020,210,2,0,0,+37,1.214
04-05-2020,230,2,0,0,+20,1.095
04-06-2020,239,2,0,0,+9,1.039
04-07-2020,252,2,0,0,+13,1.054
04-08-2020,271,2,0,0,+19,1.075
04-09-2020,303,2,0,0,+32,1.118
04-10-2020,337,3,0,0,+34,1.112
04-11-2020,371,3,0,0,+34,1.101
04-12-2020,396,3,0,393,+25,1.067
04-13-2020,436,3,0,433,+40,1.101
04-14-2020,462,3,0,459,+26,1.060
04-15-2020,533,3,0,530,+71,1.154
04-16-2020,565,3,0,562,+32,1.060
04-17-2020,578,3,0,575,+13,1.023
04-18-2020,610,3,0,607,+32,1.055
04-19-2020,623,3,0,620,+13,1.021
04-20-2020,643,3,0,640,+20,1.032
04-21-2020,671,3,0,668,+28,1.044
04-22-2020,683,4,0,679,+12,1.018
04-23-2020,699,4,0,695,+16,1.023
04-24-2020,735,4,0,731,+36,1.052
04-25-2020,755,4,0,751,+20,1.027
04-26-2020,809,4,0,805,+54,1.072
04-27-2020,828,5,0,823,+19,1.023
04-28-2020,847,5,0,842,+19,1.023
04-29-2020,866,6,0,860,+19,1.022
04-30-2020,893,7,0,886,+27,1.031
05-01-2020,939,8,0,931,+46,1.052
05-02-2020,969,8,0,961,+30,1.032
05-03-2020,1005,8,0,997,+36,1.037
05-04-2020,1016,8,0,1008,+11,1.011
05-05-2020,1045,11,0,1034,+29,1.029
05-06-2020,1073,11,0,1062,+28,1.027
05-07-2020,1133,13,0,1120,+60,1.056
05-08-2020,1166,15,0,1151,+33,1.029
05-09-2020,1228,15,0,1213,+62,1.053
05-10-2020,1254,15,0,1239,+26,1.021
05-11-2020,1286,15,0,1271,+32,1.026
05-12-2020,1316,17,0,1299,+30,1.023
05-13-2020,1343,17,0,1326,+27,1.021
05-14-2020,1393,21,0,1372,+50,1.037
05-15-2020,1428,24,0,1404,+35,1.025
05-16-2020,1473,25,0,1448,+45,1.032
05-17-2020,1515,25,0,1490,+42,1.029
05-18-2020,1537,25,0,1512,+22,1.015
05-19-2020,1571,25,0,1546,+34,1.022
05-20-2020,1605,25,0,1580,+34,1.022
05-21-2020,1644,25,0,1619,+39,1.024
05-22-2020,1695,27,0,1668,+51,1.031
05-23-2020,1757,29,0,1728,+62,1.037
05-24-2020,1824,29,0,1795,+67,1.038
05-25-2020,1871,29,0,1842,+47,1.026
05-26-2020,1876,29,0,1847,+5,1.003
05-27-2020,1941,36,0,1905,+65,1.035
05-28-2020,2007,37,0,1970,+66,1.034
05-29-2020,2076,37,0,2039,+69,1.034
05-30-2020,2145,38,0,2107,+69,1.033
05-31-2020,2250,38,0,2212,+105,1.049
06-01-2020,2322,38,0,2284,+72,1.032
06-02-2020,2376,39,0,2337,+54,1.023
06-03-2020,2418,40,0,2378,+42,1.018
