Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,1040,75,0,0,+0,0.000
03-23-2020,1170,87,0,0,+130,1.125
03-24-2020,1170,87,0,0,+0,1.000
03-25-2020,1359,101,0,0,+189,1.162
03-26-2020,1577,109,0,0,+218,1.160
03-27-2020,1577,109,0,0,+0,1.000
03-28-2020,2077,136,0,0,+500,1.317
03-29-2020,2159,141,0,0,+82,1.039
03-30-2020,2161,144,0,0,+2,1.001
03-31-2020,2330,150,0,0,+169,1.078
04-01-2020,2330,150,0,0,+0,1.000
04-02-2020,2656,175,0,0,+326,1.140
04-03-2020,2787,186,0,0,+131,1.049
04-04-2020,2898,200,0,0,+111,1.040
04-05-2020,3167,208,0,0,+269,1.093
04-06-2020,3331,222,0,0,+164,1.052
04-07-2020,3486,230,0,0,+155,1.047
