Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,0,0,0,0,+0,0.000
03-23-2020,0,0,0,0,+0,0.000
03-24-2020,0,0,0,0,+0,0.000
03-25-2020,0,0,0,0,+0,0.000
03-26-2020,0,0,0,0,+0,0.000
03-27-2020,0,0,0,0,+0,0.000
03-28-2020,2,0,0,0,+2,0.000
03-29-2020,2,0,0,0,+0,1.000
03-30-2020,2,0,0,0,+0,1.000
03-31-2020,3,0,0,0,+1,1.500
04-01-2020,4,0,0,0,+1,1.333
04-02-2020,5,0,0,0,+1,1.250
04-03-2020,5,0,0,0,+0,1.000
04-04-2020,5,0,0,0,+0,1.000
04-05-2020,5,0,0,0,+0,1.000
04-06-2020,5,0,0,0,+0,1.000
04-07-2020,5,0,0,0,+0,1.000
04-08-2020,5,0,0,0,+0,1.000
04-09-2020,8,0,0,0,+3,1.600
04-10-2020,8,0,0,0,+0,1.000
04-11-2020,9,0,0,0,+1,1.125
04-12-2020,10,1,0,9,+1,1.111
04-13-2020,10,1,0,9,+0,1.000
04-14-2020,12,1,0,11,+2,1.200
04-15-2020,13,1,0,12,+1,1.083
04-16-2020,13,1,0,12,+0,1.000
04-17-2020,18,1,0,17,+5,1.385
04-18-2020,20,1,0,19,+2,1.111
04-19-2020,28,1,0,27,+8,1.400
04-20-2020,30,1,0,29,+2,1.071
04-21-2020,32,1,0,31,+2,1.067
04-22-2020,32,1,0,31,+0,1.000
04-23-2020,35,1,0,34,+3,1.094
04-24-2020,47,1,0,46,+12,1.343
04-25-2020,47,1,0,46,+0,1.000
04-26-2020,52,1,0,51,+5,1.106
04-27-2020,67,1,0,66,+15,1.288
04-28-2020,71,1,0,70,+4,1.060
04-29-2020,79,1,0,78,+8,1.113
04-30-2020,96,1,0,95,+17,1.215
05-01-2020,123,1,0,122,+27,1.281
05-02-2020,146,1,0,145,+23,1.187
05-03-2020,158,1,0,157,+12,1.082
05-04-2020,172,1,0,171,+14,1.089
05-05-2020,198,1,0,197,+26,1.151
05-06-2020,233,1,0,232,+35,1.177
05-07-2020,233,1,0,232,+0,1.000
05-08-2020,244,1,0,243,+11,1.047
05-09-2020,265,1,0,264,+21,1.086
05-10-2020,275,1,0,274,+10,1.038
05-11-2020,319,1,0,318,+44,1.160
05-12-2020,319,1,0,318,+0,1.000
05-13-2020,325,1,0,324,+6,1.019
05-14-2020,348,1,0,347,+23,1.071
05-15-2020,358,1,0,357,+10,1.029
05-16-2020,372,2,0,370,+14,1.039
05-17-2020,399,2,0,397,+27,1.073
05-18-2020,399,2,0,397,+0,1.000
05-19-2020,416,2,0,414,+17,1.043
05-20-2020,416,2,0,414,+0,1.000
05-21-2020,457,2,0,455,+41,1.099
05-22-2020,488,2,0,486,+31,1.068
05-23-2020,506,2,0,504,+18,1.037
05-24-2020,517,2,0,515,+11,1.022
05-25-2020,647,2,0,645,+130,1.251
05-26-2020,688,2,0,686,+41,1.063
05-27-2020,698,3,0,695,+10,1.015
05-28-2020,704,3,0,701,+6,1.009
05-29-2020,714,3,0,711,+10,1.014
05-30-2020,735,3,0,732,+21,1.029
05-31-2020,746,4,0,742,+11,1.015
06-01-2020,1122,5,0,1117,+376,1.504
06-02-2020,1137,5,0,1132,+15,1.013
06-03-2020,1168,6,0,1162,+31,1.027
