Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,6,0,0,0,+0,0.000
03-23-2020,7,0,0,0,+1,1.167
03-24-2020,15,1,0,0,+8,2.143
03-25-2020,18,2,0,0,+3,1.200
03-26-2020,28,2,0,0,+10,1.556
03-27-2020,35,2,0,0,+7,1.250
03-28-2020,51,2,0,0,+16,1.457
03-29-2020,56,2,0,0,+5,1.098
03-30-2020,62,2,0,0,+6,1.107
03-31-2020,78,3,0,0,+16,1.258
04-01-2020,85,3,0,0,+7,1.090
04-02-2020,108,3,0,0,+23,1.271
04-03-2020,119,4,0,0,+11,1.102
04-04-2020,146,6,0,0,+27,1.227
04-05-2020,172,6,0,0,+26,1.178
04-06-2020,190,7,0,0,+18,1.105
04-07-2020,235,8,0,0,+45,1.237
04-08-2020,266,12,0,0,+31,1.132
04-09-2020,312,16,0,0,+46,1.173
04-10-2020,346,18,0,0,+34,1.109
04-11-2020,392,20,0,0,+46,1.133
04-12-2020,427,20,0,407,+35,1.089
04-13-2020,459,21,0,438,+32,1.075
04-14-2020,501,24,0,477,+42,1.092
04-15-2020,527,26,0,501,+26,1.052
04-16-2020,559,28,0,531,+32,1.061
04-17-2020,592,30,0,562,+33,1.059
04-18-2020,620,35,0,585,+28,1.047
04-19-2020,636,41,0,595,+16,1.026
04-20-2020,646,41,0,605,+10,1.016
04-21-2020,666,53,0,613,+20,1.031
04-22-2020,682,57,0,625,+16,1.024
04-23-2020,707,58,0,649,+25,1.037
04-24-2020,735,61,0,674,+28,1.040
04-25-2020,772,63,0,709,+37,1.050
04-26-2020,793,63,0,730,+21,1.027
04-27-2020,833,63,0,770,+40,1.050
04-28-2020,854,71,0,783,+21,1.025
04-29-2020,873,81,0,792,+19,1.022
04-30-2020,913,82,0,831,+40,1.046
05-01-2020,934,83,0,851,+21,1.023
05-02-2020,968,83,0,885,+34,1.036
05-03-2020,999,86,0,913,+31,1.032
05-04-2020,1017,87,0,930,+18,1.018
05-05-2020,1038,103,0,935,+21,1.021
05-06-2020,1076,106,0,970,+38,1.037
05-07-2020,1093,112,0,981,+17,1.016
05-08-2020,1114,113,0,1001,+21,1.019
05-09-2020,1134,115,0,1019,+20,1.018
05-10-2020,1172,117,0,1055,+38,1.034
05-11-2020,1187,117,0,1070,+15,1.013
05-12-2020,1211,124,0,1087,+24,1.020
05-13-2020,1232,128,0,1104,+21,1.017
05-14-2020,1256,135,0,1121,+24,1.019
05-15-2020,1273,141,0,1132,+17,1.014
05-16-2020,1327,147,0,1180,+54,1.042
05-17-2020,1344,149,0,1195,+17,1.013
05-18-2020,1363,125,0,1238,+19,1.014
05-19-2020,1374,127,0,1247,+11,1.008
05-20-2020,1400,132,0,1268,+26,1.019
05-21-2020,1432,137,0,1295,+32,1.023
05-22-2020,1451,148,0,1303,+19,1.013
05-23-2020,1476,152,0,1324,+25,1.017
05-24-2020,1491,153,0,1338,+15,1.010
05-25-2020,1494,153,0,1341,+3,1.002
05-26-2020,1503,155,0,1348,+9,1.006
05-27-2020,1511,159,0,1352,+8,1.005
05-28-2020,1516,163,0,1353,+5,1.003
05-29-2020,1528,166,0,1362,+12,1.008
05-30-2020,1543,170,0,1373,+15,1.010
05-31-2020,1547,170,0,1377,+4,1.003
06-01-2020,1551,171,0,1380,+4,1.003
06-02-2020,1555,174,0,1381,+4,1.003
06-03-2020,1556,180,0,1376,+1,1.001
