Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,69,0,0,0,+0,0.000
03-23-2020,96,0,0,0,+27,1.391
03-24-2020,111,0,0,0,+15,1.156
03-25-2020,139,0,0,0,+28,1.252
03-26-2020,139,0,0,0,+0,1.000
03-27-2020,230,0,0,0,+91,1.655
03-28-2020,241,1,0,0,+11,1.048
03-29-2020,300,1,0,0,+59,1.245
03-30-2020,343,1,0,0,+43,1.143
03-31-2020,389,2,0,0,+46,1.134
04-01-2020,477,3,0,0,+88,1.226
04-02-2020,540,8,0,0,+63,1.132
04-03-2020,608,13,0,0,+68,1.126
04-04-2020,683,13,0,0,+75,1.123
04-05-2020,742,13,0,0,+59,1.086
04-06-2020,815,15,0,0,+73,1.098
04-07-2020,815,15,0,0,+0,1.000
04-08-2020,1041,23,0,0,+226,1.277
04-09-2020,1041,23,0,0,+0,1.000
04-10-2020,1230,31,0,0,+189,1.182
04-11-2020,1331,39,0,0,+101,1.082
04-12-2020,1445,42,0,1403,+114,1.086
04-13-2020,1516,45,0,1471,+71,1.049
04-14-2020,1621,58,0,1563,+105,1.069
04-15-2020,1711,62,0,1649,+90,1.056
04-16-2020,1767,70,0,1697,+56,1.033
04-17-2020,1914,71,0,1843,+147,1.083
04-18-2020,2073,75,0,1998,+159,1.083
04-19-2020,2162,75,0,2087,+89,1.043
04-20-2020,2216,82,0,2134,+54,1.025
04-21-2020,2287,87,0,2200,+71,1.032
04-22-2020,2379,89,0,2290,+92,1.040
04-23-2020,2540,100,0,2440,+161,1.068
04-24-2020,2717,105,0,2612,+177,1.070
04-25-2020,2879,115,0,2764,+162,1.060
04-26-2020,2990,118,0,2872,+111,1.039
04-27-2020,3080,118,0,2962,+90,1.030
04-28-2020,3192,123,0,3069,+112,1.036
04-29-2020,3382,128,0,3254,+190,1.060
04-30-2020,3509,138,0,3371,+127,1.038
05-01-2020,3766,140,0,3626,+257,1.073
05-02-2020,3975,141,0,3834,+209,1.055
05-03-2020,4161,145,0,4016,+186,1.047
05-04-2020,4252,151,0,4101,+91,1.022
05-05-2020,4370,151,0,4219,+118,1.028
05-06-2020,4529,162,0,4367,+159,1.036
05-07-2020,4762,165,0,4597,+233,1.051
05-08-2020,4985,170,0,4815,+223,1.047
05-09-2020,5199,173,0,5026,+214,1.043
05-10-2020,5245,173,0,5072,+46,1.009
05-11-2020,5323,173,0,5150,+78,1.015
05-12-2020,5662,185,0,5477,+339,1.064
05-13-2020,5758,194,0,5564,+96,1.017
05-14-2020,5992,202,0,5790,+234,1.041
05-15-2020,6157,207,0,5950,+165,1.028
05-16-2020,6382,209,0,6173,+225,1.037
05-17-2020,6489,215,0,6274,+107,1.017
05-18-2020,6645,215,0,6430,+156,1.024
05-19-2020,6709,221,0,6488,+64,1.010
05-20-2020,6905,231,0,6674,+196,1.029
05-21-2020,7128,237,0,6891,+223,1.032
05-22-2020,7291,249,0,7042,+163,1.023
05-23-2020,7465,250,0,7215,+174,1.024
05-24-2020,7615,250,0,7365,+150,1.020
05-25-2020,7723,250,0,7473,+108,1.014
05-26-2020,7767,250,0,7517,+44,1.006
05-27-2020,7845,270,0,7575,+78,1.010
05-28-2020,7933,281,0,7652,+88,1.011
05-29-2020,8063,287,0,7776,+130,1.016
05-30-2020,8238,288,0,7950,+175,1.022
05-31-2020,8331,291,0,8040,+93,1.011
06-01-2020,8408,292,0,8116,+77,1.009
06-02-2020,8450,307,0,8143,+42,1.005
06-03-2020,8511,315,0,8196,+61,1.007
