Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,10,0,0,0,+0,0.000
03-23-2020,10,0,0,0,+0,1.000
03-24-2020,17,0,0,0,+7,1.700
03-25-2020,19,0,0,0,+2,1.118
03-26-2020,31,0,0,0,+12,1.632
03-27-2020,47,0,0,0,+16,1.516
03-28-2020,68,1,0,0,+21,1.447
03-29-2020,85,1,0,0,+17,1.250
03-30-2020,97,1,0,0,+12,1.141
03-31-2020,146,5,0,0,+49,1.505
04-01-2020,180,6,0,0,+34,1.233
04-02-2020,215,6,0,0,+35,1.194
04-03-2020,244,7,0,0,+29,1.135
04-04-2020,313,8,0,0,+69,1.283
04-05-2020,335,8,0,0,+22,1.070
04-06-2020,369,8,0,0,+34,1.101
04-07-2020,418,11,0,0,+49,1.133
04-08-2020,461,12,0,0,+43,1.103
04-09-2020,525,19,0,0,+64,1.139
04-10-2020,576,23,0,0,+51,1.097
04-11-2020,676,25,0,0,+100,1.174
04-12-2020,744,25,0,719,+68,1.101
04-13-2020,796,26,0,770,+52,1.070
04-14-2020,819,31,0,788,+23,1.029
04-15-2020,876,33,0,843,+57,1.070
04-16-2020,978,41,0,937,+102,1.116
04-17-2020,1026,42,0,984,+48,1.049
04-18-2020,1095,43,0,1052,+69,1.067
04-19-2020,1105,45,0,1060,+10,1.009
04-20-2020,1182,47,0,1135,+77,1.070
04-21-2020,1227,54,0,1173,+45,1.038
04-22-2020,1292,57,0,1235,+65,1.053
04-23-2020,1346,61,0,1285,+54,1.042
04-24-2020,1445,63,0,1382,+99,1.074
04-25-2020,1515,67,0,1448,+70,1.048
04-26-2020,1533,69,0,1464,+18,1.012
04-27-2020,1586,70,0,1516,+53,1.035
04-28-2020,1715,77,0,1638,+129,1.081
04-29-2020,1786,81,0,1705,+71,1.041
04-30-2020,1846,83,0,1763,+60,1.034
05-01-2020,1929,92,0,1837,+83,1.045
05-02-2020,1993,95,0,1898,+64,1.033
05-03-2020,2036,95,0,1941,+43,1.022
05-04-2020,2098,97,0,2001,+62,1.030
05-05-2020,2161,103,0,2058,+63,1.030
05-06-2020,2233,106,0,2127,+72,1.033
05-07-2020,2288,111,0,2177,+55,1.025
05-08-2020,2359,118,0,2241,+71,1.031
05-09-2020,2392,122,0,2270,+33,1.014
05-10-2020,2445,124,0,2321,+53,1.022
05-11-2020,2493,125,0,2368,+48,1.020
05-12-2020,2534,128,0,2406,+41,1.016
05-13-2020,2588,132,0,2456,+54,1.021
05-14-2020,2684,134,0,2550,+96,1.037
05-15-2020,2747,136,0,2611,+63,1.023
05-16-2020,2812,140,0,2672,+65,1.024
05-17-2020,2843,140,0,2703,+31,1.011
05-18-2020,2886,140,0,2746,+43,1.015
05-19-2020,2946,144,0,2802,+60,1.021
05-20-2020,3024,149,0,2875,+78,1.026
05-21-2020,3087,162,0,2925,+63,1.021
05-22-2020,3128,166,0,2962,+41,1.013
05-23-2020,3191,167,0,3024,+63,1.020
05-24-2020,3260,167,0,3093,+69,1.022
05-25-2020,3299,167,0,3132,+39,1.012
05-26-2020,3320,168,0,3152,+21,1.006
05-27-2020,3347,170,0,3177,+27,1.008
05-28-2020,3494,175,0,3319,+147,1.044
05-29-2020,3538,185,0,3353,+44,1.013
05-30-2020,3573,186,0,3387,+35,1.010
05-31-2020,3616,190,0,3426,+43,1.012
06-01-2020,3639,190,0,3449,+23,1.006
06-02-2020,3689,200,0,3489,+50,1.014
06-03-2020,3806,202,0,3604,+117,1.032
