Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,2,0,0,0,+0,0.000
03-23-2020,2,0,0,0,+0,1.000
03-24-2020,2,0,0,0,+0,1.000
03-25-2020,3,0,0,0,+1,1.500
03-26-2020,3,0,0,0,+0,1.000
03-27-2020,3,0,0,0,+0,1.000
03-28-2020,4,0,0,0,+1,1.333
03-29-2020,4,0,0,0,+0,1.000
03-30-2020,8,0,0,0,+4,2.000
03-31-2020,8,0,0,0,+0,1.000
04-01-2020,9,0,0,0,+1,1.125
04-02-2020,12,0,0,0,+3,1.333
04-03-2020,14,0,0,0,+2,1.167
04-04-2020,18,0,0,0,+4,1.286
04-05-2020,18,0,0,0,+0,1.000
04-06-2020,32,0,0,0,+14,1.778
04-07-2020,34,0,0,0,+2,1.062
04-08-2020,39,0,0,0,+5,1.147
04-09-2020,44,1,0,0,+5,1.128
04-10-2020,49,1,0,0,+5,1.114
04-11-2020,50,1,0,0,+1,1.020
04-12-2020,52,1,0,51,+2,1.040
04-13-2020,54,1,0,53,+2,1.038
04-14-2020,57,1,0,56,+3,1.056
04-15-2020,57,1,0,56,+0,1.000
04-16-2020,59,1,0,58,+2,1.035
04-17-2020,62,1,0,61,+3,1.051
04-18-2020,63,1,0,62,+1,1.016
04-19-2020,81,1,0,80,+18,1.286
04-20-2020,85,1,0,84,+4,1.049
04-21-2020,92,1,0,91,+7,1.082
04-22-2020,97,1,0,96,+5,1.054
04-23-2020,106,1,0,105,+9,1.093
04-24-2020,114,1,0,113,+8,1.075
04-25-2020,120,1,0,119,+6,1.053
04-26-2020,140,1,0,139,+20,1.167
04-27-2020,157,1,0,156,+17,1.121
04-28-2020,158,1,0,157,+1,1.006
04-29-2020,204,1,0,203,+46,1.291
04-30-2020,240,1,0,239,+36,1.176
05-01-2020,280,1,0,279,+40,1.167
05-02-2020,298,1,0,297,+18,1.064
05-03-2020,330,1,0,329,+32,1.107
05-04-2020,390,1,0,389,+60,1.182
05-05-2020,441,1,0,440,+51,1.131
05-06-2020,452,1,0,451,+11,1.025
05-07-2020,503,1,0,502,+51,1.113
05-08-2020,547,1,0,546,+44,1.087
05-09-2020,595,1,0,594,+48,1.088
05-10-2020,595,1,0,594,+0,1.000
05-11-2020,634,1,0,633,+39,1.066
05-12-2020,650,1,0,649,+16,1.025
05-13-2020,687,1,0,686,+37,1.057
05-14-2020,701,1,0,700,+14,1.020
05-15-2020,733,1,0,732,+32,1.046
05-16-2020,791,1,0,790,+58,1.079
05-17-2020,800,1,0,799,+9,1.011
05-18-2020,892,1,0,891,+92,1.115
05-19-2020,912,1,0,911,+20,1.022
05-20-2020,934,6,0,928,+22,1.024
05-21-2020,995,6,0,989,+61,1.065
05-22-2020,1002,6,0,996,+7,1.007
05-23-2020,1033,6,0,1027,+31,1.031
05-24-2020,1047,6,0,1041,+14,1.014
05-25-2020,1084,6,0,1078,+37,1.035
05-26-2020,1098,6,0,1092,+14,1.013
05-27-2020,1119,6,0,1113,+21,1.019
05-28-2020,1140,6,0,1134,+21,1.019
05-29-2020,1176,6,0,1170,+36,1.032
05-30-2020,1194,6,0,1188,+18,1.015
05-31-2020,1205,6,0,1199,+11,1.009
06-01-2020,1222,6,0,1216,+17,1.014
06-02-2020,1244,6,0,1238,+22,1.018
06-03-2020,1262,6,0,1256,+18,1.014
