Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,6,0,0,0,+0,0.000
03-23-2020,5,0,0,0,+-1,0.833
03-24-2020,10,0,0,0,+5,2.000
03-25-2020,12,0,0,0,+2,1.200
03-26-2020,21,0,0,0,+9,1.750
03-27-2020,33,0,0,0,+12,1.571
03-28-2020,45,1,0,0,+12,1.364
03-29-2020,67,2,0,0,+22,1.489
03-30-2020,97,2,0,0,+30,1.448
03-31-2020,123,3,0,0,+26,1.268
04-01-2020,157,3,0,0,+34,1.276
04-02-2020,203,4,0,0,+46,1.293
04-03-2020,232,5,0,0,+29,1.143
04-04-2020,291,5,0,0,+59,1.254
04-05-2020,371,8,0,0,+80,1.275
04-06-2020,408,11,0,0,+37,1.100
04-07-2020,490,14,0,0,+82,1.201
04-08-2020,561,14,0,0,+71,1.145
04-09-2020,596,17,0,0,+35,1.062
04-10-2020,648,21,0,0,+52,1.087
04-11-2020,698,23,0,0,+50,1.077
04-12-2020,772,24,0,748,+74,1.106
04-13-2020,828,24,0,804,+56,1.073
04-14-2020,865,56,0,809,+37,1.045
04-15-2020,914,69,0,845,+49,1.057
04-16-2020,970,33,0,937,+56,1.061
04-17-2020,1030,35,0,995,+60,1.062
04-18-2020,1113,36,0,1077,+83,1.081
04-19-2020,1188,98,0,1090,+75,1.067
04-20-2020,1236,101,0,1135,+48,1.040
04-21-2020,1295,107,0,1188,+59,1.048
04-22-2020,1326,107,0,1219,+31,1.024
04-23-2020,1359,107,0,1252,+33,1.025
04-24-2020,1451,107,0,1344,+92,1.068
04-25-2020,1501,139,0,1362,+50,1.034
04-26-2020,1577,140,0,1437,+76,1.051
04-27-2020,1633,152,0,1481,+56,1.036
04-28-2020,1678,164,0,1514,+45,1.028
04-29-2020,1703,164,0,1539,+25,1.015
04-30-2020,1765,170,0,1595,+62,1.036
05-01-2020,1820,173,0,1647,+55,1.031
05-02-2020,1904,173,0,1731,+84,1.046
05-03-2020,1936,173,0,1763,+32,1.017
05-04-2020,1991,191,0,1800,+55,1.028
05-05-2020,2018,198,0,1820,+27,1.014
05-06-2020,2041,206,0,1835,+23,1.011
05-07-2020,2070,216,0,1854,+29,1.014
05-08-2020,2122,222,0,1900,+52,1.025
05-09-2020,2185,222,0,1963,+63,1.030
05-10-2020,2223,228,0,1995,+38,1.017
05-11-2020,2256,233,0,2023,+33,1.015
05-12-2020,2295,239,0,2056,+39,1.017
05-13-2020,2325,241,0,2084,+30,1.013
05-14-2020,2364,245,0,2119,+39,1.017
05-15-2020,2428,249,0,2179,+64,1.027
05-16-2020,2470,253,0,2217,+42,1.017
05-17-2020,2508,255,0,2253,+38,1.015
05-18-2020,2552,263,0,2289,+44,1.018
05-19-2020,2593,263,0,2330,+41,1.016
05-20-2020,2599,266,0,2333,+6,1.002
05-21-2020,2690,269,0,2421,+91,1.035
05-22-2020,2736,272,0,2464,+46,1.017
05-23-2020,2790,279,0,2511,+54,1.020
05-24-2020,2854,279,0,2575,+64,1.023
05-25-2020,2896,280,0,2616,+42,1.015
05-26-2020,2985,281,0,2704,+89,1.031
05-27-2020,3031,282,0,2749,+46,1.015
05-28-2020,3056,286,0,2770,+25,1.008
05-29-2020,3105,292,0,2813,+49,1.016
05-30-2020,3131,295,0,2836,+26,1.008
05-31-2020,3161,297,0,2864,+30,1.010
06-01-2020,3189,297,0,2892,+28,1.009
06-02-2020,3218,306,0,2912,+29,1.009
06-03-2020,3267,310,0,2957,+49,1.015
