Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,4,0,0,0,+0,0.000
03-23-2020,5,0,0,0,+1,1.250
03-24-2020,7,0,0,0,+2,1.400
03-25-2020,11,0,0,0,+4,1.571
03-26-2020,12,0,0,0,+1,1.091
03-27-2020,12,0,0,0,+0,1.000
03-28-2020,15,0,0,0,+3,1.250
03-29-2020,17,0,0,0,+2,1.133
03-30-2020,20,0,0,0,+3,1.176
03-31-2020,24,0,0,0,+4,1.200
04-01-2020,25,0,0,0,+1,1.042
04-02-2020,27,0,0,0,+2,1.080
04-03-2020,31,0,0,0,+4,1.148
04-04-2020,33,0,0,0,+2,1.065
04-05-2020,36,0,0,0,+3,1.091
04-06-2020,40,0,0,0,+4,1.111
04-07-2020,43,1,0,0,+3,1.075
04-08-2020,59,1,0,0,+16,1.372
04-09-2020,61,1,0,0,+2,1.034
04-10-2020,61,1,0,0,+0,1.000
04-11-2020,75,1,0,0,+14,1.230
04-12-2020,85,1,0,84,+10,1.133
04-13-2020,90,1,0,89,+5,1.059
04-14-2020,95,1,0,94,+5,1.056
04-15-2020,95,1,0,94,+0,1.000
04-16-2020,115,1,0,114,+20,1.211
04-17-2020,115,1,0,114,+0,1.000
04-18-2020,123,2,0,121,+8,1.070
04-19-2020,128,2,0,126,+5,1.041
04-20-2020,135,3,0,132,+7,1.055
04-21-2020,136,3,0,133,+1,1.007
04-22-2020,150,3,0,147,+14,1.103
04-23-2020,154,3,0,151,+4,1.027
04-24-2020,154,3,0,151,+0,1.000
04-25-2020,169,3,0,166,+15,1.097
04-26-2020,177,3,0,174,+8,1.047
04-27-2020,184,4,0,180,+7,1.040
04-28-2020,187,4,0,183,+3,1.016
04-29-2020,197,4,0,193,+10,1.053
04-30-2020,356,4,0,352,+159,1.807
05-01-2020,372,5,0,367,+16,1.045
05-02-2020,386,5,0,381,+14,1.038
05-03-2020,498,5,0,493,+112,1.290
05-04-2020,529,6,0,523,+31,1.062
05-05-2020,602,6,0,596,+73,1.138
05-06-2020,783,6,0,777,+181,1.301
05-07-2020,885,6,0,879,+102,1.130
05-08-2020,906,6,0,900,+21,1.024
05-09-2020,908,6,0,902,+2,1.002
05-10-2020,918,6,0,912,+10,1.011
05-11-2020,937,6,0,931,+19,1.021
05-12-2020,938,6,0,932,+1,1.001
05-13-2020,950,6,0,944,+12,1.013
05-14-2020,955,6,0,949,+5,1.005
05-15-2020,958,6,0,952,+3,1.003
05-16-2020,958,6,0,952,+0,1.000
05-17-2020,958,6,0,952,+0,1.000
05-18-2020,1052,7,0,1045,+94,1.098
05-19-2020,1053,7,0,1046,+1,1.001
05-20-2020,1058,7,0,1051,+5,1.005
05-21-2020,1062,7,0,1055,+4,1.004
05-22-2020,1067,7,0,1060,+5,1.005
05-23-2020,1067,7,0,1060,+0,1.000
05-24-2020,1067,7,0,1060,+0,1.000
05-25-2020,1067,7,0,1060,+0,1.000
05-26-2020,1070,7,0,1063,+3,1.003
05-27-2020,1074,7,0,1067,+4,1.004
05-28-2020,1076,7,0,1069,+2,1.002
05-29-2020,1082,7,0,1075,+6,1.006
05-30-2020,1082,7,0,1075,+0,1.000
05-31-2020,1082,7,0,1075,+0,1.000
06-01-2020,1093,7,0,1086,+11,1.010
06-02-2020,1093,7,0,1086,+0,1.000
06-03-2020,1094,7,0,1087,+1,1.001
