Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,26,2,0,0,+0,0.000
03-23-2020,30,2,0,0,+4,1.154
03-24-2020,32,2,0,0,+2,1.067
03-25-2020,42,3,0,0,+10,1.312
03-26-2020,56,3,0,0,+14,1.333
03-27-2020,76,4,0,0,+20,1.357
03-28-2020,101,5,0,0,+25,1.329
03-29-2020,124,6,0,0,+23,1.228
03-30-2020,164,6,0,0,+40,1.323
03-31-2020,206,8,0,0,+42,1.256
04-01-2020,212,8,0,0,+6,1.029
04-02-2020,275,10,0,0,+63,1.297
04-03-2020,304,11,0,0,+29,1.105
04-04-2020,348,11,0,0,+44,1.145
04-05-2020,379,11,0,0,+31,1.089
04-06-2020,397,12,0,0,+18,1.047
04-07-2020,434,14,0,0,+37,1.093
04-08-2020,462,14,0,0,+28,1.065
04-09-2020,496,15,0,0,+34,1.074
04-10-2020,547,14,0,0,+51,1.103
04-11-2020,584,16,0,0,+37,1.068
04-12-2020,617,16,0,601,+33,1.057
04-13-2020,642,18,0,624,+25,1.041
04-14-2020,657,18,0,639,+15,1.023
04-15-2020,677,22,0,655,+20,1.030
04-16-2020,687,24,0,663,+10,1.015
04-17-2020,721,25,0,696,+34,1.049
04-18-2020,739,25,0,714,+18,1.025
04-19-2020,769,27,0,742,+30,1.041
04-20-2020,785,28,0,757,+16,1.021
04-21-2020,795,29,0,766,+10,1.013
04-22-2020,794,29,0,765,+-1,0.999
04-23-2020,887,32,0,855,+93,1.117
04-24-2020,940,36,0,904,+53,1.060
04-25-2020,944,36,0,908,+4,1.004
04-26-2020,961,37,0,924,+17,1.018
04-27-2020,971,37,0,934,+10,1.010
04-28-2020,990,40,0,950,+19,1.020
04-29-2020,1003,41,0,962,+13,1.013
04-30-2020,1021,43,0,978,+18,1.018
05-01-2020,1067,42,0,1025,+46,1.045
05-02-2020,1085,42,0,1043,+18,1.017
05-03-2020,1118,45,0,1073,+33,1.030
05-04-2020,1138,46,0,1092,+20,1.018
05-05-2020,1160,49,0,1111,+22,1.019
05-06-2020,1176,54,0,1122,+16,1.014
05-07-2020,1212,54,0,1158,+36,1.031
05-08-2020,1219,62,0,1157,+7,1.006
05-09-2020,1249,65,0,1184,+30,1.025
05-10-2020,1268,65,0,1203,+19,1.015
05-11-2020,1285,68,0,1217,+17,1.013
05-12-2020,1317,69,0,1248,+32,1.025
05-13-2020,1332,70,0,1262,+15,1.011
05-14-2020,1350,73,0,1277,+18,1.014
05-15-2020,1385,74,0,1311,+35,1.026
05-16-2020,1401,79,0,1322,+16,1.012
05-17-2020,1456,78,0,1378,+55,1.039
05-18-2020,1481,89,0,1392,+25,1.017
05-19-2020,1520,89,0,1431,+39,1.026
05-20-2020,1542,89,0,1453,+22,1.014
05-21-2020,1585,88,0,1497,+43,1.028
05-22-2020,1666,92,0,1574,+81,1.051
05-23-2020,1677,92,0,1585,+11,1.007
05-24-2020,1699,92,0,1607,+22,1.013
05-25-2020,1736,93,0,1643,+37,1.022
05-26-2020,1759,93,0,1666,+23,1.013
05-27-2020,1767,99,0,1668,+8,1.005
05-28-2020,1802,100,0,1702,+35,1.020
05-29-2020,1847,101,0,1746,+45,1.025
05-30-2020,1894,105,0,1789,+47,1.025
05-31-2020,1908,105,0,1803,+14,1.007
06-01-2020,1943,105,0,1838,+35,1.018
06-02-2020,1967,112,0,1855,+24,1.012
06-03-2020,2087,113,0,1974,+120,1.061
