Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,19,1,0,0,+0,0.000
03-23-2020,25,1,0,0,+6,1.316
03-24-2020,27,1,0,0,+2,1.080
03-25-2020,38,1,0,0,+11,1.407
03-26-2020,63,1,0,0,+25,1.658
03-27-2020,93,2,0,0,+30,1.476
03-28-2020,109,3,0,0,+16,1.172
03-29-2020,151,3,0,0,+42,1.385
03-30-2020,231,3,0,0,+80,1.530
03-31-2020,272,4,0,0,+41,1.177
04-01-2020,374,5,0,0,+102,1.375
04-02-2020,479,5,0,0,+105,1.281
04-03-2020,584,5,0,0,+105,1.219
04-04-2020,804,7,0,0,+220,1.377
04-05-2020,877,8,0,0,+73,1.091
04-06-2020,1006,8,0,0,+129,1.147
