Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,12,0,0,0,+0,0.000
03-23-2020,13,0,0,0,+1,1.083
03-24-2020,22,0,0,0,+9,1.692
03-25-2020,33,0,0,0,+11,1.500
03-26-2020,44,0,0,0,+11,1.333
03-27-2020,52,0,0,0,+8,1.182
03-28-2020,65,0,0,0,+13,1.250
03-29-2020,87,0,0,0,+22,1.338
03-30-2020,113,1,0,0,+26,1.299
03-31-2020,121,1,0,0,+8,1.071
04-01-2020,131,1,0,0,+10,1.083
04-02-2020,141,2,0,0,+10,1.076
04-03-2020,173,4,0,0,+32,1.227
04-04-2020,182,5,0,0,+9,1.052
04-05-2020,197,6,0,0,+15,1.082
04-06-2020,230,8,0,0,+33,1.168
04-07-2020,255,9,0,0,+25,1.109
04-08-2020,255,9,0,0,+0,1.000
04-09-2020,315,13,0,0,+60,1.235
04-10-2020,346,16,0,0,+31,1.098
04-11-2020,388,20,0,0,+42,1.121
04-12-2020,403,24,0,379,+15,1.039
04-13-2020,446,24,0,422,+43,1.107
04-14-2020,460,29,0,431,+14,1.031
04-15-2020,490,35,0,455,+30,1.065
04-16-2020,535,44,0,491,+45,1.092
04-17-2020,569,46,0,523,+34,1.064
04-18-2020,593,48,0,545,+24,1.042
04-19-2020,600,48,0,552,+7,1.012
04-20-2020,639,58,0,581,+39,1.065
04-21-2020,643,59,0,584,+4,1.006
04-22-2020,722,63,0,659,+79,1.123
04-23-2020,751,66,0,685,+29,1.040
04-24-2020,808,69,0,739,+57,1.076
04-25-2020,834,73,0,761,+26,1.032
04-26-2020,864,74,0,790,+30,1.036
04-27-2020,892,75,0,817,+28,1.032
04-28-2020,900,76,0,824,+8,1.009
04-29-2020,919,79,0,840,+19,1.021
04-30-2020,963,80,0,883,+44,1.048
05-01-2020,1014,86,0,928,+51,1.053
05-02-2020,1036,89,0,947,+22,1.022
05-03-2020,1036,89,0,947,+0,1.000
05-04-2020,1047,94,0,953,+11,1.011
05-05-2020,1065,95,0,970,+18,1.017
05-06-2020,1085,100,0,985,+20,1.019
05-07-2020,1114,104,0,1010,+29,1.027
05-08-2020,1130,103,0,1027,+16,1.014
05-09-2020,1142,105,0,1037,+12,1.011
05-10-2020,1153,107,0,1046,+11,1.010
05-11-2020,1161,109,0,1052,+8,1.007
05-12-2020,1171,110,0,1061,+10,1.009
05-13-2020,1179,110,0,1069,+8,1.007
05-14-2020,1203,115,0,1088,+24,1.020
05-15-2020,1218,115,0,1103,+15,1.012
05-16-2020,1234,116,0,1118,+16,1.013
05-17-2020,1269,116,0,1153,+35,1.028
05-18-2020,1280,116,0,1164,+11,1.009
05-19-2020,1290,117,0,1173,+10,1.008
05-20-2020,1299,121,0,1178,+9,1.007
05-21-2020,1303,121,0,1182,+4,1.003
05-22-2020,1298,121,0,1177,+-5,0.996
05-23-2020,1304,122,0,1182,+6,1.005
05-24-2020,1331,121,0,1210,+27,1.021
05-25-2020,1346,126,0,1220,+15,1.011
05-26-2020,1360,129,0,1231,+14,1.010
05-27-2020,1360,130,0,1230,+0,1.000
05-28-2020,1366,128,0,1238,+6,1.004
05-29-2020,1375,130,0,1245,+9,1.007
05-30-2020,1381,131,0,1250,+6,1.004
05-31-2020,1397,133,0,1264,+16,1.012
06-01-2020,1400,136,0,1264,+3,1.002
06-02-2020,1402,133,0,1269,+2,1.001
06-03-2020,1404,133,0,1271,+2,1.001
