Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,407,5,0,0,+0,0.000
03-23-2020,536,7,0,0,+129,1.317
03-24-2020,662,11,0,0,+126,1.235
03-25-2020,812,13,0,0,+150,1.227
03-26-2020,1229,21,0,0,+417,1.514
03-27-2020,1465,26,0,0,+236,1.192
03-28-2020,1465,26,0,0,+0,1.000
03-29-2020,1829,32,0,0,+364,1.248
03-30-2020,2474,44,0,0,+645,1.353
03-31-2020,3019,54,0,0,+545,1.220
04-01-2020,3518,64,0,0,+499,1.165
04-02-2020,4045,78,0,0,+527,1.150
04-03-2020,4566,89,0,0,+521,1.129
04-04-2020,4605,93,0,0,+39,1.009
04-05-2020,5955,132,0,0,+1350,1.293
04-06-2020,6377,147,0,0,+422,1.071
04-07-2020,6936,169,0,0,+559,1.088
04-08-2020,7559,198,0,0,+623,1.090
04-09-2020,7955,223,0,0,+396,1.052
04-10-2020,8443,242,0,0,+488,1.061
