Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,15,0,0,0,+0,0.000
03-23-2020,15,0,0,0,+0,1.000
03-24-2020,18,0,0,0,+3,1.200
03-25-2020,20,0,0,0,+2,1.111
03-26-2020,28,1,0,0,+8,1.400
03-27-2020,43,1,0,0,+15,1.536
03-28-2020,54,1,0,0,+11,1.256
03-29-2020,61,1,0,0,+7,1.130
03-30-2020,61,1,0,0,+0,1.000
03-31-2020,87,1,0,0,+26,1.426
04-01-2020,105,1,0,0,+18,1.207
04-02-2020,121,1,0,0,+16,1.152
04-03-2020,130,1,0,0,+9,1.074
04-04-2020,150,1,0,0,+20,1.154
04-05-2020,167,1,0,0,+17,1.113
04-06-2020,188,1,0,0,+21,1.126
04-07-2020,209,1,0,0,+21,1.112
04-08-2020,238,1,0,0,+29,1.139
04-09-2020,258,1,0,0,+20,1.084
04-10-2020,274,5,0,0,+16,1.062
04-11-2020,296,5,0,0,+22,1.080
04-12-2020,309,5,0,304,+13,1.044
04-13-2020,324,5,0,319,+15,1.049
04-14-2020,344,5,0,339,+20,1.062
04-15-2020,367,7,0,360,+23,1.067
04-16-2020,378,7,0,371,+11,1.030
04-17-2020,385,8,0,377,+7,1.019
04-18-2020,413,8,0,405,+28,1.073
04-19-2020,425,8,0,417,+12,1.029
04-20-2020,446,8,0,438,+21,1.049
04-21-2020,468,8,0,460,+22,1.049
04-22-2020,475,9,0,466,+7,1.015
04-23-2020,498,10,0,488,+23,1.048
04-24-2020,529,10,0,519,+31,1.062
04-25-2020,564,11,0,553,+35,1.066
04-26-2020,596,11,0,585,+32,1.057
04-27-2020,628,12,0,616,+32,1.054
04-28-2020,688,12,0,676,+60,1.096
04-29-2020,727,14,0,713,+39,1.057
04-30-2020,746,15,0,731,+19,1.026
05-01-2020,832,15,0,817,+86,1.115
05-02-2020,881,16,0,865,+49,1.059
05-03-2020,931,16,0,915,+50,1.057
05-04-2020,961,18,0,943,+30,1.032
05-05-2020,998,24,0,974,+37,1.039
05-06-2020,998,24,0,974,+0,1.000
05-07-2020,1043,26,0,1017,+45,1.045
05-08-2020,1070,29,0,1041,+27,1.026
05-09-2020,1127,30,0,1097,+57,1.053
05-10-2020,1159,30,0,1129,+32,1.028
05-11-2020,1195,30,0,1165,+36,1.031
05-12-2020,1210,35,0,1175,+15,1.013
05-13-2020,1283,38,0,1245,+73,1.060
05-14-2020,1339,44,0,1295,+56,1.044
05-15-2020,1374,48,0,1326,+35,1.026
05-16-2020,1430,48,0,1382,+56,1.041
05-17-2020,1446,48,0,1398,+16,1.011
05-18-2020,1486,48,0,1438,+40,1.028
05-19-2020,1527,48,0,1479,+41,1.028
05-20-2020,1579,49,0,1530,+52,1.034
05-21-2020,1700,49,0,1651,+121,1.077
05-22-2020,1807,51,0,1756,+107,1.063
05-23-2020,1831,52,0,1779,+24,1.013
05-24-2020,1821,52,0,1769,+-10,0.995
05-25-2020,2047,52,0,1995,+226,1.124
05-26-2020,2186,52,0,2134,+139,1.068
05-27-2020,2274,53,0,2221,+88,1.040
05-28-2020,2318,63,0,2255,+44,1.019
05-29-2020,2429,62,0,2367,+111,1.048
05-30-2020,2529,62,0,2467,+100,1.041
05-31-2020,2575,62,0,2513,+46,1.018
06-01-2020,2611,66,0,2545,+36,1.014
06-02-2020,2636,67,0,2569,+25,1.010
06-03-2020,2659,67,0,2592,+23,1.009
