Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,9,0,0,0,+0,0.000
03-23-2020,9,0,0,0,+0,1.000
03-24-2020,12,0,0,0,+3,1.333
03-25-2020,13,0,0,0,+1,1.083
03-26-2020,19,0,0,0,+6,1.462
03-27-2020,29,0,0,0,+10,1.526
03-28-2020,31,0,0,0,+2,1.069
03-29-2020,41,1,0,0,+10,1.323
03-30-2020,51,1,0,0,+10,1.244
03-31-2020,77,1,0,0,+26,1.510
04-01-2020,100,2,0,0,+23,1.299
04-02-2020,108,2,0,0,+8,1.080
04-03-2020,117,3,0,0,+9,1.083
04-04-2020,138,4,0,0,+21,1.179
04-05-2020,154,4,0,0,+16,1.116
04-06-2020,180,6,0,0,+26,1.169
04-07-2020,180,6,0,0,+0,1.000
04-08-2020,191,6,0,0,+11,1.061
04-09-2020,214,7,0,0,+23,1.120
04-10-2020,234,9,0,0,+20,1.093
04-11-2020,249,13,0,0,+15,1.064
04-12-2020,270,14,0,256,+21,1.084
04-13-2020,307,16,0,291,+37,1.137
04-14-2020,317,21,0,296,+10,1.033
04-15-2020,330,25,0,305,+13,1.041
04-16-2020,367,25,0,342,+37,1.112
04-17-2020,401,28,0,373,+34,1.093
04-18-2020,407,28,0,379,+6,1.015
04-19-2020,419,28,0,391,+12,1.029
04-20-2020,430,32,0,398,+11,1.026
04-21-2020,445,36,0,409,+15,1.035
